6155879
/m/0ft3bd
/m/0ft3bd
Samuel Beckett
examines 1
example 1
except 1
exclusively 1
explained 1
explains 1
explanation 1
express 1
expresses 1
expression 2
externalisation 1
extremely 1
eyes 1
face 2
fact 2
fade 2
fails 1
faint 1
fall 1
far 1
fear 2
feel 1
feet 1
fictional 1
figment 1
final 2
find 1
finitude 1
first 1
floor 1
floorboards 1
flowing 1
food 1
footfalls 4
for 12
form 1
former 2
forth 3
forties 2
four 2
frequently 1
frescoes 1
friends 1
from 12
front 1
frost 1
full 1
generally 1
german 1
gets 3
ghost 12
ghostly 2
ghosts 2
girl 4
girlhood 2
girls 1
give 1
go 2
goes 1
going 1
gone 1
gradually 2
guesses 1
had 5
hall 1
halts 2
hand 1
hands 1
happened 2
has 16
hasnt 1
haunted 1
haunting 2
have 7
he 6
head 1
health 1
hear 1
heard 3
her 30
herself 9
hesitation 2
hildegard 1
him 1
himself 1
his 4
history 1
hold 1
home 1
how 2
however 4
hugs 1
i 2
identified 1
if 8
ii 1
iii 1
illuminated 1
imaginings 1
important 2
impression 1
in 56
indefinite 1
individual 1
inner 1
insists 1
instead 1
instructed 1
interpreted 1
interrupts 1
interview 1
into 3
introduced 1
invented 1
inventing 1
invention 1
invisible 1
is 61
isolated 1
issue 2
it 24
its 1
james 1
john 1
jonathan 1
journey 1
jung 1
just 6
kalb 1
kind 1
knew 1
know 1
knowlson 1
knows 1
l 1
lacrosse 1
landing 1
last 1
late 1
later 1
latin 1
learn 3
least 1
left 1
length 2
let 1
lets 1
life 5
lifelong 1
light 7
lights 2
like 4
likely 1
line 1
lipmoistening 1
list 1
lit 1
literally 2
little 1
living 4
local 1
location 1
locked 1
london 1
long 1
low 1
lower 3
m 2
make 1
makes 1
making 2
manner 1
manuscript 1
many 1
mary 1
matterofcourse 1
may 40
mays 6
me 2
mean 1
meaning 1
means 2
meant 1
measured 1
memories 1
mere 1
metre 1
metronome 1
might 2
mind 4
monologues 1
more 2
mother 21
mothers 6
motion 1
mouth 1
mrs 6
much 1
mundane 1
musical 1
must 3
my 1
nailed 1
name 3
narrating 1
narrative 2
narratives 2
needed 1
never 6
night 3
nightwear 1
nine 3
ninety 2
no 5
north 1
not 22
objectify 1
oblivious 1
observed 1
obsessive 1
of 53
offered 1
offering 1
often 2
old 3
on 9
one 11
only 7
opens 2
opted 1
or 6
other 2
others 1
our 1
out 6
outside 2
over 2
own 1
p 1
pace 1
paces 9
pacing 4
pallor 1
parallel 1
parallelisms 1
part 9
particular 1
parts 1
past 4
path 1
pause 1
perceived 1
performs 1
perhaps 1
person 1
personal 1
picture 1
pile 1
pilling 1
places 1
play 8
plot 1
point 3
pointed 1
poor 4
posture 1
prayer 1
preceding 1
premiere 1
prescribed 1
present 3
printed 2
probably 1
pronoun 1
pronounced 1
protagonists 1
pun 2
put 1
questioned 1
questions 1
quieter 1
quite 2
r 1
rather 1
ray 1
reader 2
real 2
realise 1
really 1
reason 1
recitation 1
recognize 1
reenact 1
reenactment 1
reflect 1
reflects 1
relation 1
remains 1
remembered 1
reminder 1
reminiscent 1
repeated 2
repetitive 1
replied 1
request 1
requires 1
research 1
residual 1
resonance 1
resumes 1
returns 1
reveal 1
revolving 2
right 1
room 1
rote 1
routine 1
runs 1
said 2
same 6
sandpaper 1
say 4
says 3
scarcely 1
scene 1
schmahl 2
second 1
secondary 1
seconds 2
section 2
sections 1
seeing 1
seek 1
seeking 1
seem 1
seems 1
seen 2
sees 1
self 2
semblance 2
sense 2
sentence 2
sentences 1
separate 1
sequel 1
sequence 1
service 1
seven 1
severed 1
shadow 2
she 48
shes 2
shift 1
should 4
shoulders 1
shouldnt 2
significantly 3
similar 2
similarities 1
similarity 1
simply 3
simultaneously 1
since 1
single 1
skull 1
sleeps 1
slightly 1
slip 1
slippers 1
slow 1
slower 1
slump 1
small 1
snatches 1
so 3
soft 1
softer 1
soles 1
some 1
someone 1
something 2
sometimes 1
somewhat 1
soon 1
sound 2
south 1
speak 1
speaking 3
speaks 2
spectre 1
spoken 2
sponge 1
spontaneous 1
spot 1
stage 2
stake 1
step 1
steps 1
story 7
storytherefore 1
straighten 1
strange 3
stretch 1
stretches 1
strip 4
structure 2
style 1
subdivided 1
suffering 2
suggestive 1
suggests 1
summarising 1
supper 1
suppose 1
supposed 1
taken 2
takes 1
tale 2
talking 1
tangle 1
tattered 1
tatters 1
tell 1
telling 1
tells 3
ten 1
tending 1
text 5
texts 1
than 2
that 31
the 166
their 3
then 3
there 13
therefore 1
theres 1
these 2
they 5
thing 1
third 2
this 12
though 2
three 1
through 3
throughout 1
tied 1
time 7
timing 1
title 1
to 44
together 1
told 3
tone 1
too 4
towards 1
trace 3
traditionally 1
tragic 1
traumatised 1
truth 1
turn 1
turning 1
twice 1
two 1
umbilical 1
uncertainty 1
undefined 1
understanding 1
undoubtedly 1
unearthly 1
unreal 1
unrealistic 1
unresolved 1
unsure 1
until 3
up 11
us 2
used 1
uttering 1
v 1
various 1
ventured 1
verbal 1
vertical 1
very 5
viewers 1
visible 1
vitality 1
voice 10
voices 1
w 2
wait 1
walk 5
walking 3
walks 1
wall 2
was 13
watching 2
watt 1
way 4
we 6
wears 1
well 1
were 2
what 3
when 9
where 4
whereas 1
which 10
while 2
whitelaw 2
whitelaws 1
who 7
whole 1
whose 1
why 2
will 4
winter 4
winters 1
with 11
within 1
without 1
woman 4
word 2
words 2
work 1
worked 1
world 3
would 2
written 2
wrong 1
years 1
yes 4
you 8
your 2
youre 1
