20975319
/m/05b5r7k
/m/05b5r7k
Christopher Tolkien
feels 3
feet 1
fell 1
fellhearted 1
female 1
fenrir 2
field 2
fighting 2
fights 1
filled 2
final 2
finally 2
find 2
finger 2
finished 1
fire 11
first 1
fishing 1
fists 1
five 1
flames 2
flesh 3
foes 1
following 1
for 54
forces 2
forest 4
forever 1
forfeited 1
forge 1
forged 1
forges 1
forgive 1
form 1
former 2
forswearer 1
forth 5
fortune 2
forward 2
foster 2
fostered 1
fragments 1
framing 1
frantic 1
friendship 1
frigid 1
from 17
fulfill 1
fulfilled 4
funeral 5
funerals 1
further 5
future 1
gain 1
gallows 2
gates 2
gautish 1
gautland 1
gauts 2
gave 1
gift 1
give 2
given 2
gives 2
gjuki 1
glamored 1
gloatingly 1
glories 1
glory 4
go 2
goads 1
goblets 3
gods 4
goes 2
gold 31
golden 3
goldhaunted 1
gone 1
good 1
gothic 1
goths 6
gotthorm 1
gram 7
grandfather 1
grandson 1
grani 6
grasp 1
graven 1
great 3
greeted 1
grief 3
grieved 2
grimhild 16
grips 1
grmnir 6
ground 1
growing 1
grown 1
grows 2
grudgingly 1
gudrun 56
guise 1
gunnar 50
gutthorm 4
had 5
hair 1
half 2
hall 23
hammer 1
hand 5
hands 2
hang 1
happiness 1
happy 2
hardens 2
harm 1
harp 4
has 29
hasten 1
hatred 3
haunts 1
hautily 1
have 14
having 3
hawks 1
he 63
heal 1
healing 1
health 1
heard 1
hears 1
heart 11
hearts 1
height 1
heights 2
held 2
her 98
herald 3
heralds 1
hero 1
heroes 1
herself 4
hewing 1
hgni 24
hides 1
hilt 1
him 44
himself 2
hindarfell 3
his 86
hjalli 2
hoard 14
hoary 1
hoenir 1
holding 1
hollow 1
honey 1
honi 1
honorable 1
honorably 1
hope 1
hoped 1
hopes 1
horned 1
horns 2
horrified 2
horror 4
horse 3
horseback 2
horses 1
hounds 2
hour 1
how 4
however 21
hreidmar 6
hun 1
hunland 11
hunnic 4
hunnish 1
huns 10
hunt 1
hunting 1
hunts 1
hurl 2
hurling 1
husband 12
hut 1
i 2
icy 1
idea 1
if 9
immediately 1
immortal 1
impaling 1
impetuously 1
implores 1
impressed 1
in 91
inferno 1
infiltrate 1
informs 4
injured 1
inlaws 2
inside 2
insisting 1
insists 5
instead 1
intending 1
interest 1
intimidated 1
into 14
invade 1
invitation 1
invite 1
is 63
it 17
jealousy 1
join 1
jotunheim 1
journey 1
jtunns 1
just 1
justice 1
keep 1
keeping 1
kill 2
kindled 1
kindles 1
king 16
kingdom 4
kings 4
kinship 1
knees 1
knife 2
know 3
knowing 2
laden 1
laid 2
land 4
language 1
large 2
last 16
lasts 1
late 1
later 12
latter 2
laugh 1
laughing 2
laughs 2
laughter 1
law 1
lay 2
leaps 2
learn 1
learns 1
leave 3
leaving 1
left 1
lie 2
lies 2
life 7
lift 1
light 1
lightning 2
likeness 1
listening 2
listens 2
little 1
live 1
lived 1
lives 5
loads 1
loathing 3
logic 1
loki 7
long 8
longer 2
longingly 1
longship 1
longships 1
longstanding 1
look 1
looks 1
loot 1
lord 2
lords 5
lordship 1
loss 2
lost 2
loud 1
love 3
loved 1
lovelier 1
loves 1
lovingly 1
lust 2
lying 3
made 2
maiden 1
maidens 1
make 1
man 4
manner 1
many 11
marrer 1
marriage 6
married 1
marries 1
marry 3
marrying 1
masterless 1
masters 1
mate 1
mates 1
mattress 1
may 1
me 3
mead 16
meanwhile 7
meet 1
men 4
merely 1
message 1
met 1
midgard 2
mighty 2
mind 2
minions 1
miss 1
mixture 1
mjllnir 1
mock 1
mocks 1
moment 2
moments 1
months 1
mood 1
moon 1
more 4
morning 2
mortal 3
mortals 1
most 1
mother 9
mountainside 1
mourn 2
mouth 1
moved 1
moving 1
much 1
murder 1
murderer 1
murdering 1
must 3
naked 1
name 2
names 1
near 1
nearby 1
necks 1
need 1
nephews 1
never 8
new 1
news 3
next 1
niflung 6
niflungs 27
night 5
nightmares 1
nights 1
nine 5
no 10
nodding 1
noise 1
nor 1
norns 2
north 1
not 8
notices 1
now 5
nuptial 1
oak 3
oath 7
oaths 3
obey 1
obeyed 1
obeys 1
odin 16
of 160
off 3
offer 2
offered 1
offering 1
offers 1
often 1
old 3
omen 1
on 18
once 1
one 12
oneeyed 1
only 15
onto 1
open 2
opinion 1
opportune 1
or 4
ordering 1
orders 8
original 2
other 1
others 1
otr 3
otter 1
out 6
outlaws 1
over 6
overjoyed 2
overthrown 1
own 2
paid 1
palace 3
pale 1
parentage 2
pass 5
passes 2
passing 1
past 2
pathway 1
pay 2
payment 1
peace 1
pelt 2
people 1
perils 1
perish 1
permission 1
permit 1
persuade 1
pieces 1
pillaged 1
pit 3
plead 1
pleads 4
pleased 1
plight 1
plundering 1
point 2
poisoned 4
pondering 1
ponders 4
possess 1
possesses 1
potion 2
pour 1
power 1
preferring 1
prepare 1
prepared 2
presence 1
present 1
presenting 1
preserve 2
price 2
princess 2
promise 1
prophesied 1
prophesies 3
protector 1
prove 1
proven 1
prowess 1
pull 1
pulling 1
purpose 1
puts 1
pyre 3
quake 1
quarrel 1
queen 10
queenly 1
quite 1
radiantly 1
ragnark 2
raids 1
raising 1
rallies 2
range 1
ransom 3
ravens 2
reach 2
reaches 3
read 1
real 1
realizing 2
reason 4
reborn 1
recalling 1
recalls 1
receive 2
recompense 1
refers 1
refused 1
refuses 7
regin 15
regret 2
regularise 1
reign 1
relates 2
release 1
relenting 1
reluctantly 1
remains 6
remarrying 1
reminding 1
reminds 2
remnants 2
removes 1
rend 1
requests 3
rerir 1
rescue 1
resistance 1
respect 1
respective 1
responds 1
response 9
responsible 1
result 2
retorts 1
return 4
returning 1
returns 5
revealed 1
reveals 3
rhine 2
ridden 1
ride 1
rider 1
rides 2
riding 5
ring 6
rises 1
river 2
roast 1
roasting 1
rode 1
role 1
roof 1
roofless 1
room 2
rule 3
rules 1
runes 3
runic 1
sacking 1
sacrosanct 1
saddened 1
sadly 1
salmon 1
same 1
satisfaction 1
say 1
saying 4
says 1
scatters 1
screams 2
sea 4
seat 1
seated 1
seducing 1
seduction 1
see 4
seed 1
seeing 2
seeking 1
seeks 2
seer 1
seeress 1
sees 1
seething 2
seize 1
seized 1
seizes 2
sell 1
sends 2
sensibly 1
sent 4
serpent 9
serpents 1
servant 1
set 2
seven 3
severely 1
shadow 1
shaft 1
shall 12
shame 1
shameful 1
shape 1
share 2
shaven 1
she 44
shewolf 1
shies 1
shine 1
ship 2
shocked 2
short 1
shortly 1
should 3
shows 1
sick 1
side 3
sides 1
siggeir 6
sight 4
sigmund 16
sign 4
sigrlinn 6
sigurd 85
silent 1
silver 1
sinfjtli 9
singing 1
sings 3
sink 1
sinks 1
sired 2
sister 2
sits 2
sitting 1
skulls 1
slab 1
slain 8
slaughtered 1
slavery 1
slay 5
slayer 8
slaying 7
slays 6
sleep 3
sleeping 2
sleipnir 1
slew 1
slices 2
slight 1
slink 1
smites 1
smiting 1
snaevar 1
snakes 1
snaps 1
snarls 1
sneaking 1
so 4
solemn 1
son 10
song 1
sons 10
soon 5
sorrow 1
sound 1
spare 2
spared 1
speak 1
speaking 1
speaks 5
spear 1
spell 3
spends 1
spit 1
spiteful 1
spoken 1
spot 1
spreads 1
spring 1
springs 1
squire 1
stabs 2
stag 2
stake 1
stand 1
stands 1
states 2
stead 1
steals 1
steed 2
still 9
stilled 2
stings 1
stone 2
stoned 1
story 2
strings 1
stripped 1
strong 1
stronger 1
struck 1
stung 1
stunned 3
subsequent 1
subsequently 1
subterranean 1
succeed 1
succeeded 1
succeeds 2
such 2
suddenly 1
suggesting 1
suggests 1
suicide 1
suitor 1
summon 1
summons 6
sunder 1
sung 1
surprise 2
surrounding 1
surrounds 3
suspecting 1
suspects 1
sway 1
swear 1
swearing 1
swears 1
swoon 1
sword 17
swore 3
sworn 1
tablet 2
tactic 1
take 4
taken 1
takes 4
taking 2
tampered 1
tapestry 1
taunts 2
tears 1
tell 1
tells 1
tempt 1
than 2
that 98
the 373
their 33
them 19
themselves 2
then 9
there 12
therefore 3
these 3
they 21
think 1
thinking 1
this 6
thor 2
thrall 2
threatens 1
three 1
throne 1
through 10
throughout 1
thrown 1
thus 1
time 6
to 163
toasts 1
together 4
too 1
topples 1
torment 1
torn 1
touched 1
toward 3
towards 1
towering 1
town 1
tr 1
transformed 1
trap 2
treacherous 2
treasures 1
trees 1
tribute 1
troll 1
trolls 1
troth 1
troubled 2
trusts 1
try 1
turn 2
turns 1
twice 1
twins 1
two 2
unborn 1
unbreakable 1
uncles 1
under 4
understands 1
unfit 1
unfortunately 1
unharmed 1
unimaginable 1
unimpressed 5
unless 1
unmoved 5
unquenched 1
unsheathed 2
unsmiling 1
until 3
unweeping 1
up 1
upon 14
urging 1
usurp 1
vain 1
valhalla 6
valkyrie 3
valuable 1
values 1
vassal 1
vassals 4
veil 1
vengeance 2
vexed 1
via 1
viking 3
vingi 8
violent 1
visit 1
visits 1
vlsung 6
vlsungs 4
voice 1
vow 1
vowed 2
vows 11
waiting 2
wakes 1
walls 1
wanders 2
war 7
warning 1
warns 1
warrior 9
warriors 5
wars 1
was 10
wash 1
washing 1
watches 1
watchmen 1
water 2
way 2
ways 1
wealth 1
weapons 1
wears 1
weaving 1
wed 7
wedding 4
weds 1
weep 1
welcome 1
welcomed 1
well 1
were 2
weregild 4
westward 1
what 2
when 13
where 3
wherein 1
whether 4
which 11
while 1
who 13
whole 2
whom 1
whose 1
wide 1
widow 2
wielding 1
wife 5
will 28
wine 3
winters 1
wise 1
wished 2
wishes 5
witchhearted 2
with 38
withdraws 1
within 2
without 1
witless 2
woe 1
woes 1
wolf 4
wolves 1
woman 3
women 1
won 1
wonder 1
wooden 1
words 2
world 3
worlds 3
worms 5
worst 2
worth 1
would 3
wounded 1
wounds 1
woven 1
wreak 1
wrought 1
years 6
young 2
your 1
