14560682
/m/03d7ys7
/m/03d7ys7
Lin Carter
jam 1
janchan 2
jaws 1
journeystash 1
just 2
kalood 1
kaloodbuilt 1
kaloodha 1
karn 14
kill 4
kiss 1
knife 2
know 2
komar 1
kraan 15
lab 3
land 1
lands 1
last 2
later 1
latter 1
laugh 1
leadership 1
least 1
leave 1
leaving 2
led 1
leftover 1
lie 1
like 1
lizard 1
logic 1
long 1
loss 2
made 1
makes 1
male 1
manages 1
mandibles 2
manufacture 1
marriage 1
married 2
maul 1
meaning 1
meantime 1
meanwhile 2
mind 1
mindradiations 1
misery 1
modified 2
more 1
morning 1
much 2
muchdue 1
multiple 1
must 1
named 1
naturally 1
nearby 1
nears 1
neck 1
needs 1
negotiates 1
neighbourhood 1
never 2
new 1
next 1
niamh 19
nictitatingmembrane 1
night 3
nine 5
no 3
not 4
now 2
number 5
numbers 1
occupant 2
odd 2
oddlooking 1
of 30
off 2
officers 2
offonly 1
oily 2
older 1
on 9
once 1
one 8
ones 1
open 1
or 1
orders 1
other 2
others 1
out 4
outside 1
outso 1
over 1
oxygen 1
pain 1
panic 1
panics 1
part 1
party 1
perfected 1
performed 1
permanently 1
persuade 2
persuaded 1
petals 1
phaolon 8
phaolona 1
phaolonese 2
phaolonhoping 1
pilots 3
plan 2
plans 1
point 1
pointing 1
points 1
poke 1
pressing 1
prevented 1
prevents 1
prince 1
prisoner 1
process 1
promises 1
promptly 2
pulling 1
pulls 1
pushing 1
put 1
puts 2
putting 2
quest 1
quickly 3
quiver 1
quoron 5
race 1
react 1
rear 1
recognise 1
recognised 1
recognises 2
recovers 1
relax 1
release 1
rescue 1
result 1
retreat 1
return 1
returns 1
rival 1
rkkith 6
ruler 2
scouts 1
scratches 1
scream 1
search 1
see 1
seeing 1
seen 2
sensed 1
sent 1
served 1
setting 1
severely 1
she 4
sheathe 1
sheer 1
shoot 1
shooting 1
shoots 1
shouts 1
shuts 1
skysled 2
slain 1
slave 1
slay 1
slays 1
slightly 1
slips 1
smiles 1
smith 1
some 4
something 1
sometime 1
sonamed 1
sound 1
source 1
spare 1
spear 1
spearpoint 1
spears 1
specifically 1
spell 1
stab 1
stabs 1
star 1
startled 1
stashes 1
state 2
stepping 1
still 1
stop 1
stopping 1
storage 1
strange 1
strikes 1
structure 1
struggles 1
surgery 2
surprise 1
surviveand 1
swallow 1
swords 1
take 1
takes 3
taking 1
technique 1
teenaged 1
tell 1
tells 4
temporary 2
tethers 1
than 2
that 17
the 100
their 3
them 6
themselves 1
then 19
they 8
third 1
this 4
those 1
though 1
threat 1
three 1
throat 1
through 2
throw 1
throwing 1
throws 1
tide 1
to 59
told 2
tone 1
too 1
torsoonly 1
touching 1
tourand 1
towards 1
tower 4
trained 1
treacherous 2
tree 1
trees 1
treetop 2
tries 4
tubular 2
turn 1
two 7
under 1
understands 1
unscuccessfully 1
until 1
upon 1
urge 1
usage 1
use 2
varda 10
victorious 1
view 1
voice 2
waawaawaaa 1
wait 1
walks 1
warlord 1
warned 1
warns 1
warriors 1
was 2
watch 1
watcher 1
watching 1
wawa 1
weapon 1
weapons 3
weaponsmanufacturing 1
wedding 1
what 1
when 7
where 2
whereupon 1
which 6
while 1
who 4
wild 1
will 3
wish 1
with 14
withdrawal 1
words 1
would 1
write 1
writes 1
xargo 1
xikchaka 9
ythid 1
ythids 1
zaiphs 1
zarqa 7
zorak 20
zoukar 2
