1273337
/m/04p4j3
/m/04p4j3
Salman Rushdie
hull 1
human 1
idol 1
iff 10
image 1
impermanent 1
in 34
inefficient 1
inspire 1
instruments 1
interior 1
interprets 1
into 6
is 38
it 23
its 3
job 1
joke 1
juggle 1
juggling 1
just 1
k 7
kahani 5
keeps 1
khalifa 1
khattamshud 9
kind 1
kitab 2
knocks 1
knows 1
lake 2
land 8
lands 1
language 2
latching 1
leader 1
learn 1
learns 1
leave 1
library 1
like 3
lives 1
long 1
longer 1
looks 2
loses 1
lost 1
love 1
loves 1
luxurious 1
machines 2
mad 1
made 1
magical 1
mail 1
major 1
make 1
makes 1
mali 2
man 6
many 1
materialize 1
materializes 1
meaning 1
means 2
measly 1
meet 2
meeting 1
might 1
minutes 2
misery 1
mist 3
mistake 1
mood 1
moon 2
mother 5
moves 1
mr 3
mudra 3
must 2
mutinous 1
name 4
named 2
names 1
neighbor 2
nets 1
next 2
no 2
noise 1
normally 1
not 3
novel 2
now 1
ocean 1
of 43
off 5
offers 1
office 1
often 1
old 4
on 15
one 2
onion 1
only 2
onto 1
open 1
opens 1
or 1
order 3
other 1
out 7
over 1
overwhelms 1
own 1
owner 1
pages 1
parrotlooking 1
part 1
pass 1
peace 2
people 1
performing 1
pick 1
picks 1
plans 1
plentimaw 2
plug 2
poison 1
poisoning 1
poisonous 1
political 1
politician 1
politicos 2
polluted 1
port 1
possible 1
prepares 1
preparing 2
prince 2
princess 5
process 1
promotion 1
protective 1
protests 1
pulls 2
put 1
puts 1
quick 1
raindrops 1
raining 1
rank 1
rashid 13
reach 3
real 1
realizes 5
receives 1
reluctantly 1
remaining 1
remembered 1
reminds 1
removed 2
rescue 1
return 2
returns 1
revealed 1
riddles 1
road 1
rock 1
room 2
roots 1
run 1
running 1
sacrifice 1
sad 3
saddness 1
sails 1
saw 1
school 1
schoolwork 1
sea 8
seal 1
second 2
seductive 1
see 2
sees 5
sends 1
sengupta 1
sense 1
shadow 4
shadows 1
shaped 1
she 3
ship 3
shows 1
sights 1
silence 3
singing 1
sleeping 1
smells 1
so 7
soaked 1
soldiers 1
some 1
someone 1
soon 2
source 1
space 1
speak 1
speaking 1
speaks 1
spell 1
spider 1
spin 2
spy 2
stands 1
statue 1
stolen 1
stories 9
story 10
storyteller 1
storytelling 2
stream 1
strip 1
stutters 1
such 1
suddenly 1
sunlight 1
sunset 1
take 4
taken 1
takes 3
team 1
telepathically 1
tell 1
telling 1
tells 10
that 32
the 133
their 5
them 7
then 4
there 4
they 21
thick 1
think 1
thinks 1
this 5
thoughts 1
through 2
throws 1
tiny 2
to 53
told 1
too 1
towards 2
tower 2
transported 1
trapped 1
trek 1
trespassers 1
tries 1
trouble 1
turn 2
turns 1
twilight 1
under 1
understand 1
undetectable 1
unintelligible 1
until 2
up 4
upon 1
upstairs 1
usefulness 1
useless 1
uselessness 1
valley 6
very 3
vial 1
volunteers 1
wakes 2
walk 1
walrus 7
wants 1
war 4
warrior 2
was 1
watched 1
water 7
way 1
weasly 1
wetsuit 1
when 11
where 6
which 3
who 4
why 2
will 3
window 2
wishes 3
wishwater 3
with 10
within 1
words 3
worried 1
would 1
wrench 3
yacht 2
zone 1
