1400224
/m/04zkwn
/m/04zkwn
Sidney Sheldon
robes 1
room 2
rubio 16
run 7
running 1
runs 1
saddened 1
safe 2
said 1
same 1
sang 1
save 1
saved 1
saves 1
saving 1
say 2
scott 11
search 3
secret 1
secrets 1
secure 1
security 3
seduces 1
see 2
seeing 1
sees 1
sends 1
sent 3
sentenced 1
sergeant 1
seven 1
several 1
sex 1
shall 1
shares 1
she 68
shepherd 1
shes 1
shocked 1
shoot 1
shoots 1
shop 1
shortly 1
should 1
shoulder 1
show 2
sick 1
sign 1
sin 1
since 2
sister 22
sisters 2
sleep 1
sleeping 5
slept 1
slowly 1
small 2
sneaks 1
snide 1
so 11
soldiers 3
solid 1
some 1
someone 3
sons 1
soon 2
spain 8
spanish 1
speak 2
speaking 2
speaks 1
speech 2
split 1
square 2
stabbed 1
stabbing 1
start 2
started 2
starting 3
starts 2
state 1
states 1
stating 1
staying 1
steal 2
still 3
stops 2
store 4
storm 1
story 1
stream 1
strict 1
stunningly 1
subject 1
suffered 1
suicide 1
supposed 1
supposedtobe 1
sure 1
survived 1
susan 3
suspect 1
suspects 1
suspicion 1
switzerland 5
sympathetic 1
take 7
taken 1
takes 5
taking 2
talk 1
tasks 1
teenagerpaolo 1
telephone 1
tell 1
teller 1
telling 1
tells 8
ten 1
teresa 12
teresas 2
terrorist 5
terrorists 7
than 1
thank 1
that 60
the 220
theatre 1
their 11
them 11
themselves 2
then 5
there 5
they 32
thing 1
think 1
thinks 2
this 7
though 2
thought 2
threatens 1
three 1
threw 1
thrilled 1
through 5
throughout 1
tightened 1
time 4
times 1
tipped 1
to 147
together 5
tomboy 1
too 4
took 1
town 7
townspeople 1
traitor 2
trap 2
travel 1
traveling 4
travels 1
treated 1
tries 4
trip 1
trust 1
trying 1
tucker 7
turn 1
turns 2
twins 1
two 3
tying 1
typhoid 1
ugly 1
unborn 1
understand 1
understands 1
unknown 1
until 6
unzips 1
up 9
updates 1
upon 1
upset 1
usefulness 1
using 1
valuable 1
vila 3
violence 1
violent 1
voice 1
vowed 1
vows 1
wait 1
waiting 1
waits 1
wanders 1
want 2
wanted 2
wantedlist 1
wants 1
war 1
was 23
way 2
wealthy 1
wedding 2
week 1
were 7
what 2
when 18
where 10
whereabouts 1
which 3
while 6
whip 1
who 23
whole 1
whore 1
whose 3
wife 2
wild 1
will 8
wine 1
wires 1
wished 1
wishes 1
wishing 1
with 40
wolf 1
woman 1
wondering 1
wont 2
wore 1
worked 2
worker 1
world 3
would 8
wouldbe 1
wrong 1
year 1
years 7
yet 1
york 2
young 1
younger 2
ze 1
