4885959
/m/0cslmq
/m/0cslmq
Jeff Smith
goes 1
gold 2
gone 2
goodbye 1
goofy 1
gorge 1
grandmother 1
granma 13
graveyard 3
great 4
grips 1
ground 1
grounds 4
group 1
grow 1
guard 1
guards 1
guides 1
guys 1
had 9
halves 1
hammer 1
hand 1
hands 1
happens 1
hard 1
harvestar 1
harvestars 1
has 10
hat 1
have 5
having 3
hay 3
he 19
heading 1
hearing 1
hears 1
hed 2
help 3
her 35
herself 3
hid 1
hidden 4
hide 2
hideous 1
hideout 1
hides 1
hills 1
him 11
himself 3
his 14
holiday 1
home 1
honey 1
hood 2
hope 2
hordes 1
horns 11
host 1
hot 1
house 1
how 1
hug 1
huge 2
husband 1
i 2
idea 1
if 3
iill 1
image 1
impales 1
imprisoning 1
in 36
increase 1
insect 1
inside 1
insists 1
instead 1
instruments 1
into 8
invading 1
iron 1
is 26
it 18
its 1
ja 3
jaw 1
joke 1
journey 2
jumps 1
just 2
kept 1
kill 4
killed 2
killing 2
kills 1
king 1
kingdok 4
knocks 2
known 2
ladder 2
large 2
later 1
latter 1
lead 1
leading 1
learn 1
learning 1
leave 5
leaves 3
leaving 1
left 1
leg 2
lets 1
lied 1
light 3
like 1
lives 1
location 3
locked 1
locks 1
locust 5
locusts 2
long 1
longer 1
look 4
looking 1
looks 1
lord 4
loses 1
lost 3
loyal 1
lucius 4
lump 1
lunaria 2
make 2
makes 2
manner 1
many 1
masters 1
may 3
mdash 1
me 1
meaningless 1
meanwhile 2
meeting 1
men 1
mentioned 1
mentions 3
mercy 1
met 1
mim 5
mind 1
missing 1
moment 3
momentarily 2
moments 1
money 1
monks 1
moonwort 1
moral 1
more 2
mother 2
mountains 1
mounts 1
move 1
much 1
must 2
narrowly 1
nearby 1
necessity 1
needs 1
never 1
next 1
no 3
noises 1
not 4
nothing 2
now 2
number 1
obey 1
occurring 1
odysseus 1
of 51
off 2
oh 1
old 1
on 11
one 4
only 1
open 3
opposes 1
or 3
order 1
orders 2
original 1
originally 1
other 3
others 3
out 9
outofcontrol 1
outside 2
over 2
overwhelmed 1
own 1
pages 1
parallels 1
paranoid 1
parents 2
past 2
pawa 3
pawas 3
pawn 1
payment 1
people 2
perceives 1
perilous 1
phoney 24
piece 2
pinned 1
pit 1
place 1
platter 2
play 1
point 1
poisoned 1
polyphemus 1
possessing 1
possession 1
possibility 1
possible 1
possibly 1
prefers 1
prepared 1
presents 1
previous 1
process 1
promise 1
promised 1
promises 1
prophetesslike 1
pulls 2
pursued 1
pursues 1
pursuit 1
quantities 1
quarrel 1
queen 2
quiche 2
rat 14
rather 1
reach 1
reaches 1
reaching 1
readers 2
realizes 2
reason 1
reasons 1
red 8
refer 1
reference 1
refuses 4
reinforcements 1
remaining 1
remember 1
reminder 1
removes 1
replies 3
reply 1
replying 1
resulting 1
results 1
retreats 1
return 5
returns 1
reunites 1
reveal 1
revealing 1
ritual 1
river 1
rock 2
roque 3
rose 6
running 2
runs 1
sacred 1
saddened 1
same 3
says 2
scare 2
scarred 1
scythe 1
search 1
see 7
seek 2
seen 1
sees 5
sequence 1
series 1
setting 1
shackles 1
shares 1
she 19
shedding 1
shock 1
short 1
shot 1
shouts 1
show 1
shown 1
shows 3
siege 1
similarly 1
since 2
sinner 2
skull 1
small 1
smile 1
smiley 18
sneak 2
snow 1
snowflakes 2
so 5
soldiers 5
solstice 3
some 1
something 1
spared 1
spears 1
special 1
springs 1
stair 3
stale 1
stamped 1
stares 1
starts 1
stay 2
still 1
stomach 1
stopping 1
stops 1
story 6
striving 1
struggle 1
subject 2
sudden 1
suggesting 1
surprise 1
surrounding 2
sword 1
take 2
takes 2
taking 1
taneal 4
tanen 3
tarsil 8
teach 1
tears 2
ted 3
teeth 2
tell 1
tells 8
tend 1
than 2
that 39
the 186
their 9
them 18
then 18
there 2
therefore 1
these 1
they 23
think 2
thinking 1
thinks 1
this 10
thorn 49
though 2
threatens 1
three 3
through 2
throughout 1
thrown 1
thus 1
tight 1
time 3
to 88
told 1
tooth 1
touch 1
touches 1
touching 1
toward 2
tower 1
trapped 1
treasure 8
trick 1
tried 1
tries 3
triggering 1
try 2
trying 1
tunnel 1
turn 1
two 4
under 2
underground 1
underneath 1
unharmed 1
until 2
up 6
use 2
used 1
using 1
valley 3
vedu 2
veniyan 3
venu 1
visions 4
volume 1
wagon 2
wait 1
wakes 2
walked 1
walks 1
wall 5
wanted 1
wants 1
warn 1
warning 1
was 3
watch 1
water 2
waterfall 1
way 2
we 1
weaker 1
well 2
when 9
where 7
whereas 1
wherein 3
whereupon 7
which 12
while 4
who 6
whom 1
whose 1
why 3
will 8
winter 5
with 19
without 1
woke 1
woman 1
woods 1
would 3
you 2
your 2
youre 1
