25842601
/m/09v45kv
/m/09v45kv
Henry Harpending
geographical 1
germs 1
globe 1
go 1
gould 1
gracility 1
grain 1
greatest 1
greatly 1
group 1
guns 1
habitation 1
had 6
halfway 1
halt 1
happened 1
harpending 8
has 6
have 17
he 1
helped 2
herders 1
higher 2
historical 1
history 5
historyor 1
historys 1
hold 1
holds 1
homo 2
horses 1
human 13
humans 7
hundredfold 1
huntergatherers 1
hypotheses 1
hypothesis 2
idea 2
ideas 1
ignoring 1
imagine 1
implies 1
imply 1
in 31
including 1
increased 2
increases 1
increasing 1
indigenous 1
indoeuropean 2
infectious 1
information 1
inhabited 1
intelligence 1
interbreeding 1
into 1
invention 1
iq 1
is 9
it 11
its 1
itself 1
j 1
jared 1
jews 1
just 1
kelleher 2
kurgan 2
kurgans 1
lactose 1
lands 1
language 3
larger 1
legend 1
less 1
lie 1
light 1
likely 1
lineage 2
linguistics 1
little 1
living 1
local 1
long 1
longstanding 1
look 1
looking 1
made 1
main 1
major 4
makes 1
making 1
mankind 1
manness 1
mans 1
many 2
markers 1
may 2
mayr 1
mcph1 1
mean 1
meat 1
media 1
merely 1
microcephalin 4
might 1
migration 1
milk 3
milkdrinking 1
miller 1
minds 1
mistaken 1
mixing 1
modern 6
modes 2
mongols 1
more 8
much 1
muscle 1
must 1
mutations 5
natural 2
neandertals 1
neanderthal 1
neanderthals 1
necessarily 1
need 2
neighbors 1
neighbours 1
neolithic 1
neutral 1
never 1
new 5
no 3
nor 1
not 5
note 1
now 2
obvious 1
occurred 1
of 43
on 3
once 1
one 6
only 2
opportunity 1
opposing 1
or 6
origins 3
other 2
others 1
our 1
out 2
outpaced 1
over 2
own 1
pale 2
paper 1
paradigm 1
pause 1
people 2
peoples 1
per 1
perhaps 2
period 2
periods 1
place 1
places 1
plantgrowing 1
platform 1
pleistocene 1
pointing 1
population 5
populations 6
positive 1
possible 2
possibleto 1
praise 1
preamble 1
present 1
pressure 1
pressures 3
previously 1
prior 1
probably 1
produce 1
produces 1
proposed 1
provided 1
provides 1
psychic 1
published 1
quoting 1
race 2
range 2
rapidly 2
rate 2
rates 1
rather 1
reasons 1
received 1
recent 1
recently 2
reduced 1
refute 1
regional 1
regions 1
regulates 1
reject 1
relative 1
relatives 1
replaced 1
replacing 2
represents 1
research 2
researchers 1
resolve 1
respective 1
result 1
resulting 1
revolution 1
roles 1
rst 1
sacrificed 1
same 5
scythians 1
seas 1
second 1
see 1
seeks 1
selection 9
selective 3
serve 1
sets 1
seven 1
several 2
sexual 2
shape 1
shared 1
shift 1
significant 1
since 1
size 1
sizedetermining 1
skeletal 2
skin 6
skins 2
slc24a5 1
so 3
something 1
soon 1
source 2
space 1
spanish 1
speakers 1
species 1
specific 1
speed 1
spread 4
spreading 1
stanford 1
steel 1
stephen 1
strength 1
strong 2
studied 1
study 1
such 4
suddenly 1
suggest 2
sunlight 2
superior 1
support 1
supports 1
survived 1
sweep 1
taken 1
takes 1
tens 1
than 9
that 25
the 91
their 13
them 2
themselves 1
theoretically 1
theory 1
there 2
thereby 1
theres 1
these 1
thesis 1
they 4
thinking 1
this 11
thorough 1
those 1
thousands 1
three 1
through 2
throughout 1
tie 1
time 3
times 4
title 1
to 32
too 1
took 1
towards 1
traced 1
treats 1
trend 1
trigger 1
true 1
two 3
under 3
understanding 1
unfortunately 1
unity 1
up 2
urban 1
used 1
usual 1
variant 1
variants 2
various 1
view 1
viewpoint 1
vitamin 2
walking 1
warriors 1
was 3
way 1
ways 2
we 2
weaken 1
were 5
weve 1
when 3
where 2
whereas 1
whether 1
which 5
why 1
wide 1
will 2
wisdom 3
wishful 1
with 8
without 1
wolpoff 1
world 1
worldwide 1
would 2
writers 1
writes 1
written 1
years 5
zulus 2
