23346803
/m/06w507p
/m/06w507p
Carl Hiaasen
ocean 1
of 25
off 2
office 1
officer 1
old 1
on 8
once 1
one 2
only 2
operating 1
option 1
opts 1
or 3
out 4
outfoxes 1
outside 1
own 1
paid 1
pair 1
palms 1
panics 1
parents 1
partner 1
partnership 1
past 1
patrol 1
performs 1
perjury 1
personal 1
plan 2
planning 1
plans 2
plot 1
point 1
pointed 1
police 1
portable 1
prestige 1
prestigious 1
prime 1
prison 1
producer 1
profession 1
promising 1
prosthesis 1
purchases 1
purely 1
pushes 1
puts 1
quickly 1
rare 1
rather 1
reality 1
realizes 1
realizing 2
receive 1
receiving 1
recreating 1
recruiting 1
remembered 1
repeat 1
reputation 1
resolved 1
responds 1
results 1
retired 1
returning 1
returns 2
reynaldo 8
rid 1
room 1
rudy 21
said 1
same 1
says 1
scare 1
scared 1
schedules 1
sea 1
secondhand 1
security 1
sends 1
sensationalist 1
sentenced 2
service 1
she 10
shootout 1
shot 2
shotgun 1
shoulder 1
show 1
shows 1
shyster 1
since 1
so 3
social 1
someone 1
stabs 1
start 1
state 2
still 2
stilt 6
story 1
stranahan 26
strike 1
strongest 1
stuffed 1
stump 1
submachine 1
such 1
sue 1
suitcase 1
supposedly 1
sure 1
surgeon 1
surgery 4
surgical 1
surviving 1
suspect 1
swimming 1
swims 1
sword 1
takes 1
taking 2
talent 1
talk 2
television 1
tells 3
terms 1
than 1
that 17
the 61
them 4
then 5
there 1
they 2
theyll 1
this 1
threads 1
threat 1
through 5
ties 1
time 2
timmy 2
to 52
told 3
trained 1
training 1
trap 1
treatments 1
tree 2
tried 1
tries 1
trimmer 2
trimmers 1
truth 1
trying 1
turns 1
unconscious 1
under 1
until 1
up 4
use 1
various 1
vengeful 1
viceversa 1
vicki 1
victoria 4
video 1
videotape 1
videotaped 1
visit 1
visits 2
wants 1
warning 1
watch 1
way 3
weathered 1
weed 1
were 1
whacker 1
what 1
when 9
where 1
which 1
whispering 1
whistleblower 1
who 4
with 11
without 1
wood 1
work 1
wounded 1
wrong 1
yet 2
york 3
your 3
