5355263
/m/0dh2c2
/m/0dh2c2
Ian Rankin
was 12
watson 1
wayward 1
welcome 1
well 1
went 2
were 2
what 3
when 3
where 1
which 3
while 5
who 14
why 1
wild 1
willie 5
with 22
without 1
words 1
work 2
working 1
worse 2
would 1
written 1
years 4
