418808
/m/0263vy
/m/0263vy
Thomas Hardy
reputation 1
requesting 1
requires 1
resentment 1
respected 1
resume 1
return 4
returns 2
reunited 2
reveal 1
revealed 1
reveals 1
rid 1
rise 1
risk 1
risky 1
rivalry 2
root 1
rudely 1
ruined 1
rumlaced 1
run 1
safe 1
sailor 1
sale 1
says 1
science 1
scotsman 1
scrupulous 1
sea 1
search 1
second 1
secret 7
secretive 2
see 3
seeking 1
sees 1
seizure 1
selfish 1
sells 1
send 1
sent 1
sets 3
sexton 1
sexual 1
shame 1
she 19
short 1
since 3
situation 1
so 1
sober 1
sobriety 1
social 1
society 1
sold 1
some 2
something 1
soon 1
sophisticated 1
specifically 1
speculations 1
spurred 1
stalling 1
standing 1
started 1
starts 4
staunch 1
stay 1
still 3
stops 1
story 2
stroke 1
successful 1
such 1
sueur 1
suitor 1
surname 1
surrounding 1
susan 16
swears 1
taken 1
takes 1
technically 1
tell 2
tells 1
temper 1
terms 1
than 1
that 22
the 48
their 4
them 1
there 1
these 1
they 4
thinking 1
this 7
though 1
threatened 1
through 1
tidy 1
time 4
timely 1
to 63
told 2
toll 1
too 2
touch 1
towards 1
town 2
townspeople 1
traveling 1
treats 1
trouble 1
trying 1
twentyfirst 1
two 1
unexpectedly 1
until 3
unwilling 1
up 5
valid 1
vendor 1
very 2
violent 1
visit 1
visits 1
wait 1
walk 1
wanted 1
wants 4
warn 1
was 5
way 3
wealthy 3
weekend 1
well 4
wessex 1
what 3
when 8
where 1
whether 2
which 2
while 2
who 15
whom 2
widower 1
wife 9
will 3
wished 1
with 15
without 1
witnessed 1
woman 4
work 2
would 1
writes 1
year 1
years 3
yet 3
young 2
