155505
/m/014chh
/m/014chh
Nevil Shute
relatively 1
remain 2
remaining 1
remains 2
replies 1
reports 1
republic 1
residents 1
response 1
restoring 1
result 1
results 1
retaliatory 1
return 2
sail 3
san 1
sash 1
school 1
scientific 1
scientist 1
scorpion 1
scuttle 1
season 1
seattle 2
see 1
selfpity 1
sending 1
sent 1
services 1
set 1
several 1
sexually 1
she 5
ship 1
shorter 1
shorthand 1
should 1
show 1
shute 1
sickness 1
signal 3
signals 1
simultaneously 1
since 1
sitting 1
slowly 2
small 1
so 2
some 1
someone 1
sound 1
south 3
southern 3
southernmost 1
southward 2
soviet 2
soviets 2
speaking 1
spend 1
spends 1
states 3
steady 1
still 4
stop 1
story 1
strange 1
strength 1
strike 1
submarine 5
submariners 1
submarines 1
succumbing 1
suffering 1
suicide 4
supply 1
survive 1
survived 1
survivors 1
swinging 1
symptoms 1
take 1
takes 3
tanks 1
technology 1
telegraph 1
territorial 1
territory 1
that 13
the 80
their 8
them 2
then 2
theory 1
there 1
these 2
they 7
think 1
thinks 1
this 2
though 2
through 2
time 4
to 44
together 1
towers 6
town 1
travel 2
travels 1
tries 2
triggering 1
trip 2
turn 1
two 1
typically 1
typing 1
under 1
union 1
united 4
up 2
us 1
used 1
uss 1
ussr 1
very 1
violent 1
visits 1
wants 1
war 3
was 1
washington 2
watches 1
waters 1
weather 1
well 2
were 3
what 2
when 2
where 1
whether 2
which 5
while 1
who 4
whoever 1
wife 3
will 3
window 1
wine 1
with 15
woman 1
working 1
world 2
young 1
zealand 1
zone 1
