13253892
/m/03b_fv1
/m/03b_fv1
Ashok Banker
retained 1
return 4
returns 2
revealed 1
reveals 3
revelation 1
rolled 1
rolls 1
safe 1
safer 1
same 1
sarasa 1
save 1
saved 1
saying 1
says 1
scene 1
sea 2
seeks 1
seems 1
sees 1
send 1
sends 3
sent 1
serpents 1
set 1
shadow 1
she 19
sheer 3
shock 1
shocking 1
should 1
shreds 1
side 2
simply 2
simultaneously 1
sin 1
single 1
sita 15
size 3
skillfully 1
slaughtered 1
sleep 1
slightly 2
so 2
society 1
something 2
son 3
sons 1
spare 1
speed 2
spirit 1
spread 1
spurred 1
state 1
stated 1
states 8
steps 1
stone 3
stonelifting 1
stones 2
story 1
streets 1
strength 3
succession 1
sugreeva 3
supernatural 1
supersonic 1
sure 1
surpanakha 2
surprise 1
surprised 1
surrenders 2
swiftly 1
sympathetic 1
sympathetically 1
systematically 1
tail 5
take 4
taken 1
takes 4
taking 1
talking 1
tearing 1
tears 1
tells 3
ten 1
term 1
terms 1
tests 1
than 4
that 37
the 97
their 4
them 1
then 3
therefore 2
they 4
this 3
thoroughly 1
threat 1
threaten 1
threatens 2
through 4
time 1
timespan 1
to 80
tortured 1
towards 1
tower 7
training 1
trapped 1
travels 1
trees 1
tried 1
triumphant 1
troops 1
turn 1
two 1
unable 2
uncorrupted 1
under 4
unhurt 1
unknown 1
unless 1
unparalleled 1
untapped 1
up 4
upon 6
use 3
used 1
uses 1
using 2
utter 1
utters 1
vanar 5
vanars 3
vast 1
vayu 3
vibhishan 3
voice 1
vow 1
wait 1
waiting 1
waits 1
wakes 1
walks 1
war 1
warning 1
was 9
way 2
weapon 2
weeks 1
welcome 1
what 2
whatever 1
when 4
where 2
which 2
while 1
who 11
will 9
willing 1
winds 2
wished 1
wishes 1
with 11
without 1
work 2
works 1
worship 2
worthy 1
would 2
wrong 2
