18766270
/m/04gjxtk
/m/04gjxtk
Sergey Lukyanenko
get 4
gets 2
getting 1
girl 5
girls 2
given 1
go 2
goal 1
going 1
gone 2
good 1
granddaughter 1
grandfather 2
grew 1
group 1
guerrilla 1
guest 1
happened 1
happening 1
has 10
have 7
he 23
headquarters 2
heads 1
health 1
hearing 2
hearts 1
help 1
her 6
herbert 1
herself 2
hibernation 1
hide 1
high 1
highly 1
him 13
himself 4
hip 1
hired 1
his 29
hits 1
homeplanet 1
honored 1
hop 1
hoping 1
hotel 2
how 1
however 8
human 3
humanity 1
humans 2
hyperchannels 1
ice 3
if 1
immediately 2
imperative 3
imperial 3
implant 1
implanting 1
imprinted 1
in 25
incapable 2
industrialist 5
iney 15
ineyoccupied 1
informs 2
inhabitants 1
inna 7
inside 1
instead 1
instructions 1
insurance 2
interstellar 1
into 9
introduces 1
invasion 1
investigate 1
investigation 1
invite 1
invoke 1
is 42
it 6
its 4
jedi 1
job 2
joust 1
jump 2
just 1
key 1
kill 1
knew 1
knightlike 1
know 1
kuwait 8
lady 3
lake 2
landing 1
last 2
lastditch 1
later 1
launch 1
law 1
laws 1
learn 2
least 1
leave 4
leaves 1
leaving 1
lethal 1
letters 1
life 3
lifetime 1
lifetimes 1
like 1
lion 18
listen 1
live 2
lived 1
lives 2
lobe 1
local 2
located 2
long 1
look 1
lose 1
losing 1
loyalty 1
luxury 1
made 1
major 1
make 1
makes 3
making 1
man 4
manage 1
many 1
massive 1
may 1
means 3
medium 1
meet 1
meets 1
melts 1
members 2
memory 1
mentioned 1
mentions 1
met 1
middle 1
minds 1
mindtomachine 1
mission 2
misuse 1
modified 1
module 3
modules 2
money 2
months 1
moral 1
morally 1
most 5
mother 1
move 1
multifunctional 1
must 2
muster 1
mysterious 1
name 2
named 3
names 1
natasha 9
nature 1
nearby 1
necessary 2
neige 1
neighbors 2
neuroshunt 2
neuroshunts 2
never 1
new 8
next 2
nickname 1
night 1
no 3
normal 2
not 3
note 1
novel 2
obsolete 1
obtain 1
obtaining 1
of 57
off 4
offered 1
offers 1
old 5
on 18
once 1
one 7
only 2
or 5
order 3
orders 1
ore 1
organization 1
other 2
out 8
outside 1
over 1
override 1
own 2
paid 1
paramedics 1
parents 5
part 1
pay 2
paying 1
peacefully 1
people 3
perfect 1
permanent 1
person 2
phage 6
phageintraining 2
phages 9
pittance 1
pity 1
placed 1
plan 2
planet 5
planning 1
plasma 2
pod 2
point 1
policy 2
political 2
pool 1
poor 1
poorly 1
population 3
position 1
positions 1
poverty 1
practice 1
president 1
prevent 1
prevents 1
prison 1
problem 2
process 2
produced 1
program 4
propaganda 1
protective 1
psychiatrist 1
psychological 1
purpose 3
push 1
quality 1
quarry 5
question 1
questions 1
quick 1
quickly 1
quirk 1
radically 1
radioactivity 1
rational 1
real 1
realization 1
realizes 2
reasoning 1
receives 1
refuses 2
regaining 1
related 1
relearning 1
remain 1
remained 1
remains 1
remove 1
reporting 1
request 1
require 2
residency 1
rest 1
reunited 1
reveals 2
rid 1
rides 1
right 2
rock 1
role 1
room 2
ru 1
russian 1
sacrifices 1
safely 1
same 2
save 2
saves 1
school 2
secretly 1
semiintelligent 1
semiliving 1
sending 1
sent 3
series 1
serve 2
set 1
several 2
she 3
ship 7
ships 1
shortage 1
shortly 1
shows 1
shunted 1
side 1
signal 1
signs 1
similar 1
simple 1
simplest 1
since 1
sister 1
six 1
skate 1
slightly 1
slowly 1
smuggle 1
snag 1
snaps 1
sneak 2
sneaks 1
snezhinskaya 2
snow 6
social 4
society 1
soft 1
solvent 1
some 2
something 1
sooner 1
space 2
special 1
specifically 1
specification 1
speeds 1
spend 1
spread 1
stability 1
standard 2
stas 16
station 1
stead 1
stereotypical 1
still 1
stop 1
storage 1
story 1
stream 1
strength 1
stricken 1
strong 1
stronger 1
structure 1
such 2
suddenly 1
suicide 1
suitcase 1
suitcases 1
supervisor 1
support 4
surprise 1
surprised 1
surprises 1
surprisingly 1
surveillance 1
survive 1
suspicious 1
take 1
taken 2
takes 5
taxi 1
team 1
teenage 1
teenagers 2
tell 3
temporarily 1
tend 1
test 1
than 1
that 28
the 136
their 13
them 7
themselves 1
then 4
there 1
they 10
thinking 1
this 6
thousands 1
threat 1
threatening 1
through 2
throughout 2
tiki 1
tikkirey 43
time 6
to 95
took 1
trace 1
tracked 1
transport 2
travel 1
traverse 1
treated 1
trigger 1
trivializes 1
troupe 1
turning 1
turns 1
tv 2
two 1
unconscious 1
under 2
undetected 1
unemployed 1
unemployment 1
unknown 1
unlike 1
up 4
upgrade 1
upon 1
use 1
used 1
uses 2
using 5
verbal 1
version 1
views 1
villa 1
voice 4
wanted 2
was 7
watched 1
water 1
way 2
wealthy 2
weapon 1
week 1
well 1
were 3
wetware 1
what 1
when 1
where 6
which 9
while 8
whip 7
who 7
whose 1
will 5
willpower 1
wintertime 1
with 19
without 2
woman 2
women 1
work 2
workers 1
working 1
works 1
worlds 2
would 2
wounds 1
written 1
ychromosome 1
years 5
young 1
younger 1
zh 1
