4484806
/m/0c4_zc
/m/0c4_zc
Georg Agricola
substances 1
such 3
suggests 1
sulphide 2
sulphur 1
sun 1
supply 1
surface 3
surveying 3
surveyors 1
tables 1
tap 1
tapped 2
taxing 1
techniques 5
temper 1
temperature 1
tend 1
text 1
than 1
that 19
the 138
their 2
them 2
then 11
theory 1
there 4
these 5
they 1
this 24
though 1
timber 1
time 1
times 2
tin 2
titles 1
to 37
too 1
tools 1
top 1
torn 1
touchstone 1
trades 1
transferred 1
treadmills 1
treatise 1
trenching 1
triangular 2
trucks 1
tunnel 3
tunnels 4
twelve 2
twig 1
types 2
under 1
underground 3
unless 1
up 3
use 5
used 6
using 7
usually 1
valleys 1
value 1
varies 1
various 7
vegetation 1
vein 4
veins 15
ventilating 1
very 2
vitriol 1
washed 1
washing 3
water 7
waterwheels 2
we 1
wealth 1
wedges 1
weights 2
well 3
were 2
what 1
wheelbarrows 1
when 5
where 1
which 10
who 3
whole 1
whom 1
wicker 1
will 3
wind 1
windlass 1
with 24
without 2
wood 2
woodcuts 1
wooded 1
wooden 1
woods 1
work 2
worked 1
workers 1
workings 2
works 2
worthless 1
worthwhile 1
would 1
wrapped 1
writers 2
writings 1
written 1
xii 1
yield 1
