9670468
/m/02pnp5g
/m/02pnp5g
Mór Jókai
hungary 1
hurried 1
husband 1
idyllic 1
if 10
immediately 1
imre 1
in 37
increase 1
information 2
inheritance 2
inspects 1
intent 1
into 5
introduced 1
invest 1
invested 1
investigation 1
investing 1
investments 1
invited 1
is 47
island 8
it 17
its 3
jewelry 1
jewels 1
journey 2
just 2
kacsuka 12
keep 3
kill 1
king 1
knowing 4
knows 9
komrom 8
krisztyn 8
lady 1
land 3
landlord 1
lands 5
large 1
last 2
later 3
law 1
lead 1
learns 1
lease 1
least 1
leaves 5
let 1
levetinc 4
lies 2
lieutenant 2
life 1
like 1
living 1
look 1
looking 1
loss 1
lot 1
love 5
loves 3
luxurious 1
lying 1
made 2
make 2
makes 3
making 3
man 5
mansion 2
marriage 1
marry 6
marrying 1
meanwhile 1
meet 2
meets 1
mentions 1
merchant 4
midas 1
mihly 1
mind 2
minister 3
ministry 1
miserable 1
money 12
month 1
more 6
mother 1
move 2
mr 1
much 2
must 1
name 1
near 2
need 2
neither 1
never 1
new 2
news 1
newspapers 1
next 2
nickname 1
niece 1
night 3
no 5
noble 1
nobleman 1
nobody 1
nomi 6
not 17
nothing 2
notices 2
now 2
of 40
off 3
offers 1
official 1
old 1
on 13
one 6
only 4
opening 1
order 2
ordered 1
originally 1
others 1
ottoman 5
out 3
overheard 1
overhears 1
own 1
owned 1
owner 1
owners 1
painted 1
part 1
pasha 2
people 1
planning 1
plans 1
playing 1
pleased 1
poison 1
police 1
poor 1
possessions 1
potion 2
preparing 1
pretends 1
previous 2
private 2
profit 1
promise 1
promising 1
property 1
provides 1
pursue 1
pursued 1
quality 1
question 1
raise 1
raised 1
read 1
realizes 2
recalls 1
receives 1
recognized 1
red 2
refuses 2
remain 1
remaining 1
reported 1
reports 1
respects 1
rest 4
return 2
returns 1
reveal 1
reveals 1
rich 4
richest 1
rightfully 1
river 2
ruined 2
runs 2
sack 2
sacks 3
safe 1
said 1
sake 1
same 1
saved 1
say 1
says 5
schools 1
scoundrel 1
secret 1
see 1
sees 1
sell 2
selling 1
sentence 1
serbian 1
servant 2
sewing 1
sharing 1
she 19
ship 11
shipload 3
should 1
shrinks 1
since 5
sinks 1
sixteen 1
sleep 2
sleeping 1
small 2
so 8
soaked 1
social 1
sold 1
soldiers 1
some 1
someone 2
something 3
soon 2
speak 2
spend 2
spy 2
st 1
start 1
started 1
starts 1
state 1
stay 3
stealing 1
still 3
stop 1
success 2
successful 1
suicide 1
suitor 1
sultan 2
sunken 2
supervising 1
supply 1
supplying 1
sure 1
suspect 1
suspects 1
suspicions 1
swear 1
swears 1
taken 2
takes 3
tdor 1
tells 14
tempted 1
ten 2
tenant 1
terza 8
test 1
than 2
that 45
the 129
their 6
them 8
then 4
there 4
therefore 1
they 12
theyll 1
thief 1
thinking 1
thinks 1
third 1
thirteenyearold 1
thirty 1
this 8
though 2
thoughts 1
thousand 2
thus 2
tima 35
timr 45
title 1
to 69
told 1
too 1
touch 1
touches 1
town 5
transport 1
travel 1
traveled 1
travellers 1
travels 3
treasure 3
treatment 1
tricks 1
trikalisz 2
turkish 1
turn 1
unclaimed 1
under 1
undiscovered 1
unspoiled 1
up 3
use 1
vienna 1
visit 1
visits 1
voice 1
waiting 2
wake 1
wakes 2
want 1
wanted 2
wantes 1
wants 2
warm 1
warmly 1
was 8
watching 1
way 4
wealth 10
wedding 4
welcome 1
welcomes 1
went 2
were 1
what 5
wheat 9
when 10
where 3
which 6
who 11
whole 4
why 2
widow 1
wife 2
will 26
with 26
without 1
witness 1
wonder 1
words 1
work 2
workers 1
working 1
world 2
worth 3
worthless 2
would 3
years 2
you 1
young 2
zfia 1
