69919
/m/0j5mn
/m/0j5mn
Marcel Proust
despair 2
despairs 1
desperate 1
despite 8
develops 1
dictatorial 1
diction 1
died 3
dies 1
different 1
diminishes 1
dine 1
dinner 5
dinners 2
diplomat 2
diplomatic 1
diplomatically 1
dipped 1
disappointed 2
discerns 1
discover 1
discovers 4
discreet 1
discuss 2
discussed 1
discussing 1
discussion 2
disguises 1
dislike 1
dismissal 1
dispatches 1
displayed 1
displays 1
distrust 2
divorced 1
do 2
doctor 2
does 1
done 1
down 1
downstairs 1
draft 1
draws 1
dreams 2
dreyfus 2
dreyfusard 1
drive 1
drives 1
drunkenness 1
due 1
duel 1
during 4
duty 1
earlier 1
early 1
earthy 1
elegant 3
elstir 3
elstirs 1
encapsulates 1
enchantment 1
encounter 1
encounters 4
end 2
engage 1
engaged 1
engagement 1
enlist 1
enlisted 1
entering 1
entertain 1
enthralls 1
entranced 1
ephrussi 1
eroded 1
especially 1
esteem 1
esteemed 1
even 1
evening 3
events 1
ever 2
every 3
everyday 1
everyone 1
everyones 1
evident 1
evokes 1
exalted 1
excellent 1
exchanging 1
expected 1
experiences 1
explains 2
expound 1
expresses 1
extremely 2
face 1
failed 1
failure 1
fake 1
fakes 1
falling 1
falls 1
falsely 2
fame 1
familiar 1
family 8
familys 2
fascinated 1
fashion 3
father 3
favorite 1
features 2
feeling 1
feels 3
fellow 3
few 2
figaro 1
fight 1
fighting 1
figure 1
figures 1
final 2
finally 4
finds 2
first 4
flowers 3
followed 1
following 1
for 29
forcheville 4
forget 1
forgotten 1
former 2
forms 1
franoise 6
franoises 1
frantic 1
friend 13
friends 5
friendship 3
from 22
fugitive 1
fully 1
furious 1
gain 1
games 1
general 1
gently 1
germany 1
gesture 2
gets 2
gilberte 22
gilbertes 1
girls 6
gisele 1
given 1
gives 4
gladly 1
glamorous 1
glamour 1
glimpse 1
go 9
goes 5
gone 2
good 3
goodnight 1
gossip 2
gradually 4
grandmother 8
grandmothers 1
greatnephew 1
greeted 1
grief 2
group 3
grow 1
growing 1
grown 2
grows 3
guarded 1
guermantes 30
guermantess 4
guest 2
guests 6
habit 1
had 6
happen 1
happens 1
happenstance 1
has 34
hat 1
haughty 1
have 4
having 2
he 125
heads 1
headwaiter 2
hears 1
heart 1
help 3
helped 1
her 75
hereditary 1
herself 1
hesitating 1
high 1
highest 1
highly 1
him 52
himself 4
hints 1
hire 1
his 75
history 1
holds 1
homage 1
home 13
hopes 1
horribly 1
host 1
hostess 2
hotel 6
house 4
how 5
however 1
humor 1
husband 2
i 2
idea 1
if 1
ignores 1
ill 1
illness 1
image 1
immediately 1
immense 1
impressions 3
impulses 1
in 50
inappropriate 1
incident 3
incidents 1
include 1
includes 2
including 6
indicates 1
indifference 1
indifferent 4
infatuated 1
inferior 1
informally 1
informs 1
initial 1
insects 1
inside 2
insists 1
inspire 1
inspires 1
instead 2
intelligent 1
intercourse 1
interest 2
intermittencies 1
interprets 1
interrogates 1
intervention 1
intimately 1
into 4
intrigues 1
introduced 2
introduces 2
introducing 1
introduction 1
invalid 1
invents 1
invert 3
inverts 1
investigate 1
invitation 4
invited 1
invites 3
inviting 1
involuntary 2
involved 1
involving 2
is 78
it 7
its 2
jealous 1
jealously 1
jealousy 3
jewish 4
joined 1
joins 2
jupien 5
jupiens 4
just 3
keeps 1
killed 1
kiss 2
knew 2
know 2
knowing 2
known 1
knows 2
lady 4
laments 1
landscape 1
last 2
late 2
latenight 1
later 11
le 1
lea 4
leading 1
leads 1
leanings 1
learn 3
learning 2
learns 6
leave 3
leaves 1
leaving 3
left 2
legrandin 3
legrandins 3
lends 2
length 2
leonie 1
lesbian 1
lesbianism 2
lesbians 1
lessrefined 1
letter 2
letters 2
liaisons 2
library 1
lied 1
lies 1
life 3
lift 1
like 2
lineages 1
linked 2
listens 1
little 5
live 2
lived 1
living 1
local 1
long 2
longer 1
longs 1
looks 2
losing 1
love 5
loved 1
lover 1
loves 1
lowered 1
lunch 1
lying 2
m 13
made 2
madeleine 1
magic 1
maintain 1
make 2
makes 3
making 1
male 1
man 2
manages 1
mannerisms 1
many 1
marriage 1
marriages 1
married 4
marry 4
marvels 3
matured 1
maturing 1
meaning 1
medical 1
meet 3
meeting 1
meets 5
member 1
memories 3
memory 4
mentioned 1
mentions 2
mere 2
met 1
method 1
might 1
military 3
mind 1
misprint 1
mission 2
mistress 4
mistresses 1
misunderstanding 1
mlle 5
mme 38
mockery 1
modelled 1
months 2
more 7
morel 16
morels 2
morning 1
mostly 2
mother 6
mothers 2
motif 1
motive 1
moved 1
moves 1
msglise 4
much 1
muses 1
music 1
must 2
mysteriousness 1
name 2
named 3
names 1
narrator 87
narrators 4
natural 1
nature 6
near 1
nearby 2
nearing 1
nephew 4
never 2
new 4
newest 1
newly 1
news 2
next 3
niece 5
night 3
no 2
nobility 1
norms 1
norpois 7
norpoiss 1
nostalgic 1
not 6
noting 2
notorious 1
novel 1
now 15
obedience 1
object 1
obliviousness 1
observations 1
observes 3
occasion 1
occupies 1
odette 4
odettes 1
of 103
off 4
offers 1
officers 1
often 2
old 4
on 27
one 11
ones 1
onlookers 1
only 5
open 1
openly 1
operator 1
or 2
ordinary 1
orgasm 1
origin 1
ostracized 1
other 2
others 4
out 7
outlive 1
outside 1
over 1
overwhelms 1
own 2
paid 1
painter 3
paintings 1
parents 3
paris 4
parma 1
part 2
participating 1
particularly 1
parties 1
parting 1
party 9
passersby 1
passes 1
passing 1
past 3
paths 1
paving 1
pedantic 1
people 2
perceptions 1
perform 1
performance 1
performing 1
person 1
persuade 1
perverse 1
petty 1
phrase 2
picnics 1
pieces 1
pines 1
pink 2
placenames 1
places 2
planned 1
plans 3
play 2
played 1
playing 1
ploy 1
plunges 2
politics 1
ponders 4
popular 1
position 1
possess 1
possesses 1
preference 1
prefers 1
prepared 1
present 1
previously 1
pride 1
prince 5
princess 1
princesse 1
princesses 1
proclivities 1
prodreyfus 1
promiscuous 1
proper 1
proprietor 1
prostitute 2
protest 1
protg 1
proust 1
provoking 1
public 2
publishes 1
putting 1
quarrel 2
quickly 1
rachel 3
randomness 1
range 1
reading 1
reads 1
realizes 4
reason 1
recall 1
recalls 3
receive 1
received 2
receives 2
receiving 1
recital 2
reconcile 3
recounts 3
recruit 1
refined 1
reflects 4
reformed 1
refuge 1
regrets 1
regular 2
rejection 1
relations 2
relationship 3
relationships 1
reluctantly 1
remains 1
remarks 1
remembers 4
remind 1
reminders 1
renew 2
renewals 1
renewed 1
renewing 1
renting 1
repairing 1
replies 1
report 1
reports 2
reproduction 1
repudiate 1
reputation 1
rescues 1
resembling 1
residence 1
resolves 2
resort 1
respected 2
respite 1
restless 1
retrieve 1
return 5
returned 1
returning 2
returns 3
revealed 2
reveals 2
revenge 1
reverting 1
reviews 4
ride 2
rides 1
ridicule 1
riding 1
ripped 1
roads 1
robert 1
room 3
roots 1
row 1
rude 2
ruminates 1
sad 1
sadder 1
sainteuverte 1
saintloup 20
saintloups 5
salon 3
sanatorium 1
saniette 2
savors 1
saw 1
scandalous 1
scene 3
scenes 1
scorn 2
sea 2
seascape 1
seaside 1
secondrate 1
secret 2
secretly 1
see 5
seeing 1
seek 1
seeks 3
seems 3
seen 1
sees 8
self 1
send 1
sends 2
sensations 1
sense 1
septet 1
seriously 1
servant 1
services 1
set 1
several 4
sevigne 1
share 1
she 31
shell 1
shifts 1
shock 1
shocked 2
shockingly 1
shop 1
should 1
showers 1
sick 1
sight 1
sights 1
signed 1
signs 1
similar 1
simonet 2
simpleton 1
single 1
sister 3
ski 1
slandering 1
sleep 2
sleeping 1
sleeps 1
smell 1
snack 1
sneaks 1
snob 1
snobbish 1
so 2
social 6
society 14
solely 1
solo 1
some 2
someone 2
something 1
son 2
sonata 2
sons 1
soon 1
speak 1
speaks 1
speculation 1
spend 1
spending 1
spies 3
spouses 1
spurred 1
staff 2
staking 1
standards 1
standing 1
star 1
start 1
starts 1
state 1
station 1
status 1
stay 1
staying 1
stays 1
steeples 1
stermaria 3
still 5
stomps 1
stones 1
stopped 1
stops 2
storms 1
story 1
strange 1
strangely 1
strategy 2
street 3
streets 1
stridently 1
stroke 1
strolling 2
strong 2
struck 1
struggles 1
studio 1
stunned 1
style 2
subjected 1
subsequently 1
such 1
suddenly 1
suffering 2
suffers 1
suggestive 1
suggests 1
summers 1
supposed 1
surprising 1
surrendered 1
surroundings 1
suspect 1
suspects 3
suspicion 1
suspicious 3
swann 21
swanns 7
symbolic 1
sympathy 1
tailor 1
take 1
taken 1
takes 3
taking 3
talent 1
taste 1
tastes 1
tea 2
teenage 2
telegram 1
tells 2
temporarily 1
temptation 1
tenant 1
terms 1
than 2
that 17
the 305
theater 2
their 24
them 8
then 15
there 4
these 2
they 20
things 3
this 1
threatened 1
threatens 1
three 2
through 1
ties 1
time 5
times 1
tired 1
to 137
together 4
told 1
tolerate 1
too 3
took 1
topic 1
tortures 1
total 1
totally 1
tours 1
toward 2
towards 4
town 2
tradition 1
train 4
transported 1
travel 1
trees 1
tries 5
trips 1
trocadero 1
trocadro 1
true 5
trustworthy 1
truth 1
try 2
trying 1
turns 3
two 8
type 1
typically 1
ulterior 1
ultraaristocratic 1
unable 2
unaware 1
uncle 3
uncomfortable 1
uneducated 1
unexplained 1
unfamiliar 1
unique 1
unperturbed 1
unseen 1
unsuitable 2
unsuspecting 1
until 2
unusual 1
unwell 2
up 5
urges 1
used 1
valet 1
valets 1
valid 1
vantage 1
various 1
vaugobert 1
vendors 1
vengeance 1
venice 3
verdurin 3
verdurins 15
verify 1
very 1
villeparisis 6
villeparisiss 1
vinteuil 6
violinist 1
visit 9
visited 2
visiting 4
visits 9
vital 1
waiting 3
wakefulness 1
walk 1
walking 6
walks 4
wanted 2
wanting 1
war 1
warmly 1
was 8
watched 1
watches 1
way 13
ways 2
weary 1
well 6
welltodo 1
went 2
what 3
when 6
where 6
whereabouts 1
which 10
while 13
white 1
who 32
whole 2
whom 3
whose 4
wife 3
wifes 1
will 10
wisdom 1
wish 1
wishes 1
wishing 1
with 67
within 2
woman 2
women 3
wondering 1
word 1
works 2
world 1
worse 1
worsened 1
would 1
wrestle 1
writer 3
writes 3
writing 7
yard 1
years 5
young 5
youthful 1
