4021390
/m/0bcyk6
/m/0bcyk6
Jacqueline Carey
sees 1
senate 1
senator 1
sends 1
sent 1
serenissima 1
series 1
shahrizai 3
shares 1
sharizai 1
she 10
shocked 1
should 1
side 3
sidonie 12
siege 3
signifies 1
sister 2
sixteen 1
sixteenth 1
skaldic 1
slowly 1
so 3
some 2
somewhat 1
son 2
spawn 1
spear 1
spending 1
spends 1
splintered 1
status 1
stay 1
still 2
stitches 1
struck 1
struggle 1
student 2
studies 1
studying 2
stunted 1
stupor 1
succession 1
summer 3
summoned 1
sunlight 1
supersede 1
surely 1
suspects 1
swear 1
symbol 2
tadius 2
take 1
taken 1
takes 2
talorcan 2
teaches 1
tell 1
telling 1
tells 2
temple 3
terre 3
territory 1
than 2
that 36
the 97
their 2
them 3
then 3
there 4
they 3
things 1
this 12
though 1
throne 3
through 1
throughout 1
thrown 2
throws 1
tiberian 1
tiberium 3
to 76
told 2
took 1
top 1
tour 1
townsfolk 1
toys 1
traditional 1
trained 1
traitor 1
trampled 1
trapped 2
travel 2
tree 1
trevalion 3
troyeslemont 1
trust 1
try 1
trying 1
turmoil 1
turn 1
turned 1
turns 2
two 2
unbind 1
under 3
university 4
unseen 4
untrusting 1
up 3
upon 2
urging 1
valerian 1
vanished 1
vary 1
verreuil 1
very 1
victorious 1
visit 2
visiting 1
visits 1
wane 1
want 1
wanted 1
wants 2
war 1
warning 1
was 5
way 1
wear 1
wearing 1
wed 2
wedding 2
well 1
were 2
what 1
when 8
where 10
which 4
while 5
whispers 1
who 5
why 1
wild 1
will 3
with 16
within 1
without 1
words 1
works 1
would 8
wouldnt 1
writing 1
wrong 2
wrought 1
year 2
young 2
your 1
ysandre 1
