2723148
/m/07_18s
/m/07_18s
Astrid Lindgren
forced 1
forest 1
forever 1
fort 1
found 1
frighten 1
frightened 1
from 10
funeral 1
garden 1
gathered 1
get 1
gets 3
given 1
go 3
going 1
gone 1
gradually 1
grandfather 2
grim 3
groups 1
guarded 1
guards 1
had 1
hands 1
happy 3
has 8
have 5
having 1
he 21
help 2
helping 1
her 3
hide 2
hides 3
high 3
him 16
himself 7
his 36
home 1
horn 1
horse 5
house 5
hubert 3
i 2
if 5
ignorant 1
igoring 1
illness 1
immediately 1
impenetrable 1
in 25
including 1
informed 1
inhabitants 1
injured 1
inside 2
instead 1
interprets 1
into 5
is 28
it 6
join 1
joins 1
jonatan 28
jonathan 2
jossi 6
joy 1
jump 1
jumping 1
kader 1
karl 28
karm 1
karma 2
karmanjaka 3
katla 21
keeping 1
kept 1
kill 2
kills 1
know 1
knowledge 1
known 1
land 4
last 1
later 2
leader 1
leaves 2
led 1
left 2
lejon 1
liberators 1
lies 3
life 2
light 3
like 3
lindworm 1
line 1
lionheart 1
little 1
lives 2
living 1
longer 2
looks 1
loss 1
lost 1
luckily 1
makes 1
male 1
man 5
manage 2
manages 2
many 1
mark 1
marksman 1
married 1
mattias 4
meet 2
meets 1
men 7
ment 1
message 1
messages 1
middle 1
mocks 1
moments 1
months 1
more 1
morning 1
mother 2
mountain 2
mountains 1
movement 2
moves 1
must 1
nangijala 7
nangilima 2
neareternal 1
never 1
next 2
night 2
no 2
not 5
occupied 1
of 26
off 2
offenses 1
oh 1
old 5
on 16
once 2
one 4
ones 1
only 2
open 1
original 1
orvar 6
other 4
others 1
out 9
outside 4
over 2
overtaking 1
own 1
paralysed 1
part 1
peace 1
people 5
picks 1
pigeon 1
place 1
planning 1
pledge 1
point 1
points 1
prevail 1
priest 1
problems 1
protests 1
publicly 1
pull 1
punish 1
punishmentfor 1
pursuing 2
pushes 1
quickly 1
rally 1
range 1
really 1
rebellion 2
release 1
reluctantly 1
remicent 1
rescues 1
resist 1
resistance 3
reunion 1
ride 1
riders 1
rides 3
riding 2
right 2
rise 1
river 6
rock 1
rose 9
runs 1
safely 1
saints 1
satisfied 1
savagely 1
saving 1
second 1
secret 1
see 6
seems 2
sense 1
separated 1
service 1
set 1
she 1
shirt 1
short 1
shortly 1
shot 1
show 3
shows 3
shrewd 1
sick 1
side 2
sill 1
since 2
sit 1
sits 1
sitting 1
skills 1
slaves 1
sleep 1
small 3
snooping 1
so 2
sofia 6
soldier 1
soldiers 8
some 1
someone 2
something 1
soon 2
spits 1
spot 1
spreads 1
square 1
standing 2
stars 1
start 2
starts 2
starvation 1
still 2
stop 1
story 1
storytelling 1
subdued 1
suspension 2
suspicious 1
swedish 1
swimming 1
take 1
takes 1
tavernkeeper 1
tell 1
telling 1
tells 4
tends 1
tengil 14
tenuous 1
terrorize 1
that 17
the 114
their 3
them 3
then 2
there 4
thereafter 1
they 19
theyre 1
this 2
thorn 8
three 1
throughout 1
throwing 1
throws 2
tide 1
time 4
times 2
to 47
together 1
too 1
totally 1
towards 1
traitor 4
traveling 1
treason 1
tree 1
tribute 1
trnrosdalen 1
true 1
trumpet 2
tunnel 2
turned 1
turns 2
two 5
tyrant 1
unbeatable 1
under 2
underground 2
understand 1
until 3
up 7
upon 1
uses 1
using 1
valley 12
valleys 1
veder 1
village 2
vows 1
wait 1
waiting 1
wall 3
want 1
was 1
waterfall 1
weak 1
weakened 1
weapons 1
well 2
went 1
were 2
when 8
where 7
which 7
while 1
white 3
who 8
whose 1
wide 1
will 8
window 2
wish 1
with 12
woke 1
won 1
wonder 1
wooden 1
words 1
work 1
would 3
year 2
years 2
yes 2
