4643023
/m/0cf4t7
/m/0cf4t7
Charles Sheffield
has 11
have 10
haven 1
having 2
he 23
headquarters 1
heads 1
heightens 1
helical 1
hell 1
help 3
her 29
herself 2
him 9
his 9
home 2
hope 1
host 1
hours 1
however 1
human 8
humanity 9
humans 3
humidity 1
hunch 1
hundred 1
identity 1
if 3
illegal 2
illicit 1
imagine 1
immediately 1
important 1
in 22
increasing 1
inexperience 1
infants 2
information 1
ingenious 1
ingenuity 1
initial 1
inner 1
inside 1
inspect 1
inspecting 1
instances 1
instincts 1
instituted 1
intellect 1
intends 1
interest 1
interested 1
interfering 1
interruption 1
into 4
intractable 1
intrigued 1
inverse 1
investigate 1
investigates 1
investigation 1
involved 1
is 25
island 3
isolated 1
isolation 2
it 4
its 1
itself 1
job 1
join 1
junior 1
just 2
kangaroos 1
keep 2
kindred 1
knowing 1
kruskal 1
last 1
lavish 1
learn 1
leave 2
leaves 1
left 1
leg 1
legendary 1
legitimacy 1
life 1
limitations 1
little 1
live 1
lives 1
locked 1
lofty 1
logian 2
logians 3
looking 1
lures 1
maintains 1
major 1
make 1
makes 2
malfunctions 1
manages 2
manufacturer 1
many 1
mars 13
martian 2
massive 1
match 1
meanwhile 1
meeting 1
meets 1
melford 9
meters 2
methane 1
mind 3
minds 1
misguided 1
mods 1
monitor 1
monsters 1
more 1
morone 2
most 2
mother 1
motives 1
moved 2
murder 3
murderer 1
mystery 2
name 1
natural 1
nearly 1
need 1
new 5
no 2
nonetheless 1
nonhumans 1
noninterference 1
not 3
now 1
obvious 1
occasionally 1
of 36
off 1
offer 2
offers 1
office 1
on 13
one 3
only 1
onto 1
oort 1
opens 1
operation 1
operative 1
opposed 1
or 1
order 1
orders 1
organ 1
organization 1
original 1
ostensibly 1
other 1
out 5
outlawed 1
outsystem 1
own 2
paid 1
part 1
party 1
passed 1
passing 1
past 2
pelvis 1
people 1
perfect 1
performs 1
permission 1
personal 4
persuades 1
physicist 1
pinnacle 1
places 1
point 2
policy 1
populated 1
population 1
populations 1
position 2
positive 1
positives 1
possibilities 1
possible 1
possibly 1
powerful 1
present 1
presented 1
president 2
private 1
problem 1
problems 1
procedure 1
profile 1
profit 1
programs 1
progress 1
project 1
promises 2
prosecute 1
provide 1
provides 1
psychological 1
purposes 1
pursuing 1
put 2
puzzled 1
questionable 1
race 2
rapid 1
ready 1
realize 1
realizes 3
receives 1
recent 1
recently 2
reclusive 1
recognizes 1
recruited 1
recruitment 1
referring 1
refuse 1
regarded 1
regeneration 1
regimen 1
rejects 1
relationship 1
relative 1
relinquish 1
reluctantly 1
remote 1
request 2
research 2
resemble 1
resides 1
resort 1
resources 2
retired 1
retirement 1
reveal 1
revelation 1
revive 1
revolutionary 1
richest 1
roger 7
rules 1
sabotaged 1
safe 1
samarkand 4
same 2
sandra 1
saturn 1
score 1
seals 1
search 1
seeks 1
send 1
sending 1
separate 1
sets 1
several 2
she 14
short 1
should 1
shuttling 1
signs 1
simple 1
site 1
situation 1
smashing 1
snub 1
so 3
society 1
software 1
some 2
somehow 1
son 2
sondra 14
sparsely 1
special 1
speciation 1
specimens 1
spends 1
spent 1
spirit 1
spotted 1
stated 1
steps 1
stonewalling 1
stopover 1
strange 1
subject 1
subspecies 1
successfully 2
such 1
suddenly 1
suit 1
summon 1
superior 2
supersentient 1
supervisor 1
supposedly 1
surface 5
survived 1
suspect 1
suspected 1
suspicions 1
system 3
taboo 1
tactic 1
takes 2
tall 1
tank 3
tanks 3
target 1
tax 2
techniques 1
technology 1
tell 1
telling 2
tens 1
terraforming 2
test 12
that 20
the 90
their 5
them 2
themselves 1
then 1
theoretical 1
there 2
these 1
they 10
thickening 1
thin 1
think 1
third 1
thirteen 1
this 5
those 1
three 1
through 2
time 3
tired 1
to 63
too 1
towards 1
traffic 1
treats 1
trudy 18
truly 1
truth 2
two 1
ultimate 1
unable 3
unannounced 1
unassisted 1
unbroken 1
under 1
undergoing 1
underlings 1
undermine 1
undertakings 1
underway 1
unfolding 1
uninvited 1
unnerved 1
unrestricted 1
unsolved 1
unwelcome 1
up 2
upon 1
urgency 1
vaguely 1
vehemently 1
venture 1
very 1
view 1
visit 5
visits 2
walk 1
walking 1
warrants 1
was 5
waste 1
way 1
week 1
were 3
what 2
when 3
where 2
which 3
while 1
who 3
whole 2
why 1
will 3
win 1
with 9
without 1
wolf 18
work 1
would 4
yacht 1
years 6
