11123616
/m/02r0s03
/m/02r0s03
William Boyd
it 12
its 1
itself 1
jepson 1
jeronimo 3
journey 1
juliana 1
just 1
kay 8
keep 1
keeps 1
killed 1
knocked 1
laced 1
lack 2
lagarda 1
landowner 1
larry 1
later 2
launches 1
learns 2
leave 4
leaving 1
lends 1
leys 1
library 1
lie 1
life 2
like 1
lisbon 4
listerism 1
little 1
living 1
local 1
locate 1
look 1
looking 1
looks 1
los 1
love 5
luard 1
luneta 2
luzon 1
lying 1
machines 1
made 1
make 5
makes 1
malacanan 1
man 3
manila 4
marine 1
mark 1
marriage 1
married 1
maximilian 1
may 2
meantime 3
medical 1
medicine 1
meet 2
meeting 1
meets 3
men 4
mestizo 1
met 1
methods 1
meyerson 2
meynard 1
micheltorreno 1
might 2
military 1
misinformed 1
missing 1
missionary 1
month 1
months 1
more 3
morgue 1
morning 1
mortuary 1
most 1
mother 4
mothers 1
mrs 2
much 1
murder 3
murderer 1
must 1
mystery 1
naked 1
name 1
near 1
nearly 1
needs 1
negative 1
never 1
new 3
newly 1
next 3
nicanor 1
nipa 3
not 3
note 2
notes 1
novel 1
now 7
nuns 1
obliged 1
obsessive 1
of 32
offer 1
office 1
official 2
old 3
on 11
once 3
one 8
only 2
operating 2
operation 2
opinion 1
opinions 1
opportunity 1
order 1
other 2
out 2
over 5
owing 1
own 1
paget 1
paid 1
pain 1
palace 1
pantaleon 6
pantaleons 1
panteleon 1
parade 1
paris 1
parlor 1
part 1
party 1
passenger 1
passengers 1
past 1
patient 1
paton 4
pay 1
peninsularo 1
performed 1
performer 1
performs 1
persuades 1
philip 2
philippines 2
photograph 1
place 2
plan 2
plane 1
planning 1
planted 1
policeman 1
poor 1
portugal 1
practice 3
preferring 1
pregnant 2
presumes 1
pretending 1
private 2
prize 1
pushes 1
put 1
puts 2
putting 1
questions 1
quiroga 3
railway 1
ranch 1
reaction 1
read 2
reader 1
readying 1
real 1
rebellion 1
rebuffs 1
receives 1
recently 1
reception 1
recognise 1
reconciliation 1
recover 1
recovery 1
reencounters 1
refuses 1
regiment 1
remonstrates 1
remorseful 1
removed 2
resolve 1
return 3
returned 1
returns 2
reunited 1
reveal 1
reveals 2
rivalry 1
room 1
rooms 1
roque 1
round 1
rudolfa 1
rugola 1
rum 1
sale 2
salvador 13
sampaloc 1
san 4
sante 1
sawbones 1
saying 1
says 1
scalpel 1
school 2
scientific 1
scotsman 1
scrambles 1
script 1
search 1
see 5
seeing 1
seen 1
sell 1
sending 1
servants 1
set 2
seven 1
severely 1
she 27
shed 1
show 1
showing 1
shows 4
side 1
sieverance 9
sieverances 2
similar 1
sinister 1
site 1
situation 3
six 1
sizeable 1
sleeping 1
slept 1
slow 1
slum 1
small 1
smuggled 1
so 2
soldier 1
some 1
son 3
south 1
southern 1
spaniard 1
speak 1
spilled 1
spots 1
start 1
states 2
stating 2
still 1
story 1
stray 1
street 1
strong 1
studying 1
successful 1
successfully 1
such 1
suffering 1
summoned 2
sure 1
surgeon 2
surgery 1
surgical 1
surprise 1
sutures 1
taft 1
tafts 1
take 3
taken 3
takes 3
taking 2
target 1
teacher 1
tell 3
telling 2
tells 10
tennis 1
terrified 1
test 1
than 2
that 23
the 101
theatre 3
their 8
them 2
then 4
there 3
they 16
thinking 1
thinks 1
third 1
this 3
threatens 1
three 1
thrilled 1
through 1
time 2
to 81
together 1
told 1
totally 2
touch 1
towards 1
track 1
trained 1
trapped 1
tries 2
trip 2
trips 1
trouble 1
try 1
trying 1
turner 1
two 3
under 1
understands 1
undressed 1
unhygienic 1
university 1
unsuccessful 1
until 1
up 3
update 1
usa 1
very 3
village 1
visit 4
visited 2
visiting 1
visits 3
vital 1
walking 1
wall 1
wants 1
ward 1
warms 1
was 4
way 2
weeks 1
what 1
when 1
where 3
which 1
whilst 1
white 1
who 16
whole 1
whom 4
whore 1
whorehouse 1
whose 2
why 1
wieland 4
wielands 1
wife 7
will 2
winded 1
with 14
woman 4
work 2
working 1
would 2
writer 1
year 1
years 1
young 2
