3345895
/m/096y6s
/m/096y6s
Clive Cussler
shelter 1
ship 6
ships 1
shocked 1
shortly 1
should 1
sides 1
sign 1
sitting 1
situation 1
sneak 1
soldiers 2
some 2
speed 1
spot 1
stanton 1
starts 1
steal 2
stop 2
stopped 1
storm 1
stranded 1
stripped 1
subplot 1
successfully 1
such 1
suggested 1
summoned 1
sun 1
sunken 1
superyacht 1
supply 1
supposed 1
supposedly 1
surrender 1
survived 1
suspected 1
swimming 1
systems 1
take 2
taking 2
team 6
tebezza 5
ten 1
texas 2
that 13
the 117
their 3
them 3
themselves 1
then 4
theory 1
there 3
thereafter 1
they 31
this 3
though 1
threatens 1
three 1
tide 2
time 2
tips 1
to 51
tombs 3
too 1
tour 1
tourists 1
toward 1
train 2
trains 1
transsahara 2
treated 1
trip 1
truck 1
truth 1
trying 2
type 1
un 3
under 4
underground 2
understand 1
unfortunately 1
uniforms 1
union 4
unit 2
unnaturally 1
until 2
unusually 1
up 6
us 1
use 2
using 1
vain 1
various 2
vessel 1
vicinity 1
village 2
villages 1
voisin 3
walk 1
walked 1
walking 1
war 1
warera 1
was 6
waste 6
water 2
way 3
weapon 1
week 2
well 3
were 3
when 4
where 6
which 11
while 3
who 4
whose 1
will 2
wishes 1
with 13
without 1
working 2
world 2
worldwide 1
yacht 5
yves 1
zateb 1
