23871057
/m/0gfc_w0
/m/0gfc_w0
David Drake
eagles 2
earl 1
eats 2
elfina 1
elves 1
encounter 1
encounters 1
end 3
enough 1
entering 1
entrance 1
escape 1
escaped 1
escapes 1
escaping 1
events 1
eventually 2
everyone 3
evil 1
ewis 2
ewisone 1
exact 1
except 1
exchange 1
execution 1
existence 2
extra 1
fabric 1
faces 1
father 1
fauns 1
feel 1
few 1
fights 1
finally 1
find 6
finds 1
first 2
fits 1
flee 1
flees 1
footwide 1
for 5
forest 1
former 1
forward 1
fossil 1
fossilized 1
freedom 1
frees 1
friends 1
frightened 1
from 14
frozen 2
fruit 3
full 1
further 1
future 2
garric 14
garricthe 1
get 1
ghouls 1
give 1
gives 3
goes 1
graceful 1
great 2
grotesque 1
group 1
guardian 2
guards 1
had 2
haft 1
half 4
halfsister 1
happenings 1
harbor 3
harm 1
harna 1
harpies 1
has 11
hasnt 1
have 2
he 18
head 4
help 5
helped 1
helps 1
her 22
herself 2
him 10
himself 3
hippogriffs 1
hires 1
his 22
historical 1
homesincluding 1
hoping 1
horace 1
human 3
humanoids 1
hundreds 1
ice 3
if 1
ignore 1
ilna 12
ilnacashels 1
images 1
immediately 1
imminent 1
imprison 1
imprisoned 1
in 29
incantations 1
including 2
increase 1
informs 1
inside 2
instead 1
insulting 1
intend 1
interior 1
into 5
introduction 1
investigating 1
involved 1
ironferruled 1
is 19
island 3
isles 4
it 10
job 1
just 1
katchin 1
katchincashels 1
kidnap 2
kidnapped 2
kidnaps 1
kill 1
killing 1
kills 4
king 5
klestis 6
klestris 1
krias 8
kriasa 1
land 2
landure 9
landurea 1
landures 5
large 2
last 1
later 2
leaving 1
lens 1
lerdocruler 1
level 1
liane 2
lianea 1
life 3
live 2
lived 1
living 1
locked 1
long 1
lord 9
lords 1
love 1
magic 1
magical 3
main 1
make 2
makes 1
malkar 1
mammoths 1
maneating 1
manifest 2
many 1
massive 1
master 1
matters 2
means 1
meanwhile 1
meet 1
meets 1
member 1
men 1
merges 1
merota 5
merotalord 1
midnight 1
miller 1
mission 1
mnarprinciple 1
modeled 1
moment 1
monster 1
more 1
mosasaur 1
most 1
motion 1
mummified 1
mummy 3
murdered 1
must 2
mutineer 1
mutiny 3
mykona 1
mysterious 1
named 5
necromancer 2
necromancers 5
needs 1
negotiates 1
new 1
news 1
next 2
niece 2
night 3
no 2
noblewoman 1
not 2
nothing 1
novel 1
nowempty 1
objects 1
ocean 1
of 70
on 10
once 2
one 6
ones 2
open 1
opines 1
order 1
originally 1
others 2
out 2
own 4
paintings 1
pass 1
passage 1
past 2
people 3
peoplea 1
performing 1
philosopher 1
pirate 1
place 1
plane 2
planes 2
poet 1
polis 1
portal 2
portals 1
possessed 1
possible 1
power 4
powerful 5
powers 1
prefers 1
previous 1
prince 3
problem 1
prompting 1
promptly 1
punch 1
purlio 10
pursued 1
pursuing 1
put 3
puts 3
quarterstaff 3
race 1
raise 2
raised 1
reach 2
reaches 1
reanimate 1
reanimated 2
rebellion 1
receives 1
reconnaissance 1
recover 1
recovers 1
refuge 1
refused 1
refuses 1
reisegarric 1
releases 1
reluctantly 1
repair 1
replacing 1
reptilian 4
rescue 2
rescuing 2
resembles 2
residence 1
retrieve 1
returning 1
returns 3
reveals 3
revives 1
right 1
ring 2
rock 1
rokonar 1
rokonarbird 1
romantically 1
royal 2
royhasgarrics 1
ruined 1
rushes 1
rushila 1
sacrifice 1
sailor 1
sailors 2
same 1
sandrakkan 4
sapphire 3
satchel 2
scaled 1
sea 2
second 1
seeing 1
seeks 1
selfserving 1
send 1
sends 1
sent 2
serpents 1
serve 1
set 1
seven 7
several 4
severs 1
sharina 7
sharinagarrics 1
sharinas 1
she 15
sheepherder 1
shepherd 1
ship 1
ships 2
showed 1
similar 1
simple 1
sinking 1
sister 1
slay 1
small 1
snakeskin 3
snatches 1
so 1
solitude 2
some 5
someone 1
somewhere 1
son 1
sought 1
spell 2
spells 2
spend 1
spending 1
spiderlike 1
sprite 2
state 2
stay 1
stayed 1
stolen 1
stone 1
story 1
strength 1
study 1
stupor 1
subdues 1
suggestion 1
sunk 1
surrenders 1
swarm 1
sword 1
sycophantic 1
tadai 3
tadaigarrics 1
tadais 2
take 2
taken 2
takes 9
tall 3
temple 1
tending 1
tenoctris 11
tenoctrisa 1
tenoctrisit 1
terror 1
that 22
the 120
their 7
them 7
then 5
there 5
these 1
they 25
thing 3
third 2
though 1
thread 1
three 2
throne 1
through 9
thus 1
thwarted 1
tiglaththe 1
time 9
to 65
together 1
tongue 1
toughlooking 1
tow 1
transformed 1
trapped 1
travel 1
treasurer 1
tree 2
treesdryads 1
tries 1
trying 1
turns 1
two 1
uncle 2
unconscious 1
undead 2
under 2
underworld 5
unifying 1
unrequited 1
unwitting 1
up 4
upon 1
use 3
used 3
uses 2
using 4
valencecurrent 1
valles 5
variety 1
viewing 2
visit 1
vivisected 1
vonculosailing 1
wafer 2
warn 1
warned 1
warns 1
was 8
watch 1
way 2
weak 1
well 1
were 1
when 5
where 7
which 14
while 7
whisked 1
who 15
whoever 1
whom 1
whose 1
wife 1
wildulfruler 1
wise 1
wisea 1
with 24
witness 1
wizard 11
wizardess 1
wizards 1
wolvesreptilian 1
woman 3
world 1
would 1
years 1
yole 9
zombies 1
