1066922
/m/0431bb
/m/0431bb
John Steinbeck
direct 1
directions 3
discovered 1
discussed 4
discussion 1
disheartened 1
dislike 1
disneyland 1
distortion 1
dive 1
divide 1
divided 1
doesnt 2
dog 4
donna 1
dont 3
dr 1
drawn 1
dread 1
dreaded 1
driven 2
driving 1
drove 1
due 1
during 5
eager 1
early 1
eat12 1
edna 1
either 1
elaborated 1
election 1
embraces 1
encountered 2
encounters 1
end 2
ends 1
england 1
enjoyed 2
enormously 1
entered 2
entering 1
entities 1
episode 2
equal 1
evacuation 1
even 3
event 1
events 1
ever 1
every 2
everyday 1
everything 1
everywhere 1
exactly 1
example 3
expense 1
experience 1
experienced 1
experiences 1
explained 2
exploits 1
explore 1
explorers 2
exploring 1
express 1
eyes 2
fact 1
failed 1
faithful 1
falls 1
family 2
famous 2
fargo 1
father 2
favorite 1
fear 4
fearing 1
fearless 1
feel 1
felt 3
ferber 1
ferry 1
field 1
filled 1
filthy 1
first 1
fitted 1
flat 1
flint 1
florence 1
for 18
forced 1
foreshadow 1
former 1
found 2
frantic 1
freely 1
french 3
frenchman 1
frenchspeaking 1
fresh 1
friend 3
friends 2
from 11
further 1
future 3
galatoire 1
gall 1
gandhiinspired 1
gary 1
gas 1
generosity 1
gentle 1
giant 1
gifted 1
give 2
given 1
giving 1
go 3
goddamn 1
goes 1
good 1
goodbye 1
government 3
grapes 2
gratification 1
great 2
greatly 1
greco 1
grew 1
group 2
growing 1
grown 1
growth 1
guides 1
had 16
hand 1
harbor 1
hard 1
hardworking 1
has 2
hate 1
have 8
he 72
healed 1
hear 1
heard 1
heaven 1
here 1
heshe 1
highway 2
him 10
himself 2
his 42
hit 1
home 3
homes 2
hometown 2
honest 1
hopes 1
horn 1
hospital 1
hours 1
house 1
how 7
however 1
hurricane 2
hurried 1
i 9
id 1
ideals 1
ideas 1
if 7
ignorance 1
ill 1
illinois 1
im 2
imagine 1
imagined 1
impressed 1
in 46
incident 1
incorrect 1
increase 1
indeed 1
individuals 1
information 2
initially 1
initiate 1
injun 1
inscription 1
instance 2
instant 1
instincts 1
insults 1
integration 1
into 3
intrigued 1
introduced 1
involved 1
irreverent 1
is 11
island 3
isle 3
it 22
its 3
ive 1
jamming 1
jews 2
john 1
joke 1
journey 3
joy 1
junk 2
just 3
kill 1
kind 1
kinds 1
king 1
know 1
known 1
labor 1
lack 1
laidback 1
lamented 2
language 1
large 1
last 1
later 1
learned 2
learning 2
leave 2
leaving 1
left 3
lewis 5
life 6
lifelong 1
lifetime 1
like 8
limited 1
list 2
literary 1
little 2
live 1
lived 1
living 1
lobster 1
local 2
locals 2
london 3
long 3
longer 1
longing 1
looked 1
looks 2
lost 1
lot 3
louvre 1
love 4
luther 1
lyle 1
made 3
maine 5
make 1
makes 1
making 2
man 4
many 4
marked 1
martin 2
mass 1
matter 1
may 2
me 1
mean 1
media 1
memory 1
men 2
mental 1
mentality 1
mentioned 4
mere 1
met 2
michigan 1
middle 1
midwestern 2
might 1
migrant 1
mind 1
mindset 1
minnesota 1
minute 1
misrepresented 1
mississippi 1
mobile 2
montana 3
more 8
morning 1
most 3
mother 1
mountains 2
mr 1
much 2
must 1
my 4
myself 1
name 1
names 1
narrative 1
nation 2
national 1
natural 1
naval 1
nearing 1
never 2
new 15
newcomer 1
next 4
nez 1
niagara 1
night 1
no 4
nod 1
nonconfrontational 1
normal 1
north 6
northern 1
not 8
noted 3
noting 1
novel 1
novels 1
now 4
nuclear 1
oblivious 1
obvious 1
occurring 1
of 85
off 1
offer 1
officer 1
official 1
often 1
ohio 1
old 4
on 17
once 2
oncerebellious 1
one 5
ones 1
only 2
opines 1
or 8
oregon 1
orleans 3
other 6
others 1
our 4
out 3
outgoing 1
outside 1
over 4
own 4
pablo 1
packaged 1
pages 1
paper 1
paris 1
park 1
particularly 1
passersby 1
passing 1
passionately 2
past 1
paul 2
people 18
perce 1
permanent 1
person 1
pest 1
pick 1
pickers 1
place 6
places 2
plains 1
planned 1
pnbsp12 1
pnbsp180 1
pnbsp6 1
point 1
policeman 1
political 2
pontiac 1
population 2
position 1
potato 1
praise 1
preparations 1
presence 1
previous 2
printed 1
problem 1
production 1
programs 1
progress 1
progression 1
protesting 1
proud 1
prove 1
put 2
queer 1
quickly 1
racially 1
racism 2
racist 1
radio 1
rafter 1
raining 1
rapid 1
raved 1
reached 1
reaching 1
real 1
realizations 1
realize 1
realized 2
recalling 1
reckless 1
redwood 1
redwoods 1
referred 1
referring 2
reflected 1
reflecting 1
refuses 1
region 1
regularity 1
regulars 1
related 1
relations 2
remarks 1
remore 1
remote 1
representative 1
represented 1
resolved 1
respect 1
respectable 1
restaurant 3
result 1
retain 1
retelling 1
revisit 1
rich 1
ride 1
ridicule 1
right 1
risk 1
river 2
road 3
roads 2
roark 1
robert 1
rocinante 2
rocky 1
romanticized 1
room 1
route 1
sag 1
said 4
sailor 1
salinas 3
salute 1
san 1
sat 1
sauk 2
saving 1
saw 2
saxon 1
say 2
says 1
scenes 1
school 2
schools 1
search 2
seattle 2
secluded 1
section 1
see 1
seeing 2
seemed 5
seen 3
selfcontained 1
sendup 1
sense 1
separate 1
sequoia 1
shared 1
sharing 1
shooting 1
shops 1
should 2
show 1
showed 2
showing 1
side 1
similar 3
similarity 1
simple 1
since 1
sinclair 1
singing 1
slaphappy 1
slightly 1
slip 1
small 2
so 6
socalled 2
society 4
sold 1
some 3
someone 2
something 4
somewhere 1
sons 1
soon 1
source 1
south 5
southern 3
speaking 1
speaks 1
specialized 1
spell 1
spent 1
spite 1
spoke 1
st 3
state 4
states 4
station 1
stationed 2
stay 1
stayed 2
steinbeck 47
stopped 2
stopping 1
stores 2
story 1
strangers 1
street 1
string 1
strong 1
student 1
stupid 1
sub 1
submarine 1
submarines 1
such 5
sudden 1
suddenly 1
sufferings 1
suggested 1
summer 1
sunday 1
supposed 1
surroundings 1
symbolic 1
sympathetic 1
takes 1
talk 4
talked 3
taste 1
tasted 1
technological 1
technologies 1
technology 1
teen 1
television 1
telling 1
tells 1
tend 1
terse 1
tersely 1
texans 1
texas 7
than 3
thanksgiving 3
that 37
the 139
their 5
them 2
then 17
theory 1
there 5
they 14
thing 1
think 1
this 6
thomas 1
those 2
thou 1
though 4
thought 4
thoughtful 1
thoughts 2
thrifty 1
through 10
throughout 1
thus 1
thy 2
time 3
tiny 1
tire 2
tires 1
to 90
together 1
toledo 1
tombstone 1
took 3
top 2
tourists 1
towards 3
town 4
traffic 2
transition 1
travel 2
traveled 7
traveling 2
travels 4
treat 1
trees 3
tribes 1
trip 2
trouble 2
truck 2
true 2
trust 1
turkey 1
turkeys 2
turned 1
two 1
ubiquity 1
ufizzi 1
unaffected 1
unbelievable 1
uncertainty 2
under 1
undergone 1
understanding 1
unexpected 2
unfortunate 1
unknown 1
unsettled 1
up 6
upon 2
urinate 1
us 4
used 1
uses 2
usually 1
uturn 1
vainest 1
valley 2
veterinary 1
views 2
villages 1
vintage 1
visit 2
visited 4
visiting 1
waited 1
wanderlust 1
war 1
wary 1
was 23
washington 1
waste 1
wastefulness 1
waters 2
way 4
we 1
wealthy 1
welcome 1
welcomed 1
wellequipped 1
went 8
were 16
west 3
what 5
when 8
where 9
wherever 1
whether 1
which 4
while 4
white 2
who 10
whom 2
whose 1
why 1
wildcat 1
will 1
willing 1
winter 1
wisconsin 1
with 15
without 2
witnesses 2
wolfe 1
wonder 2
wondered 2
wondrous 1
words 1
workers 1
works 2
world 1
would 2
wpa 1
wrath 2
writer 2
writing 1
wrote 3
years 2
yellowstone 1
york 3
you 4
youngstown 1
your 1
youth 1
