8171933
/m/026v4yc
/m/026v4yc
Sol Yurick
pieces 1
pin 1
pins 3
place 2
plan 1
play 1
plays 1
police 4
positions 1
possibly 1
process 1
prom 1
promise 1
promptly 1
proposes 1
prostitute 1
public 1
puerto 1
puffing 1
punishment 1
purse 1
putting 1
quits 1
quote 1
radio 1
rage 1
rank 1
rape 1
reacts 1
reads 1
realize 1
referring 1
reflecting 1
reflection 1
refuse 1
regretfully 1
regular 1
reinforcements 1
relaying 1
relieve 1
remaining 1
remove 1
removes 1
removing 1
replaces 1
resenting 1
resentment 1
respond 1
restless 1
retaliates 1
retaliating 1
returning 1
rican 1
ridden 1
rifling 1
right 1
riled 1
riles 1
ritual 1
rival 1
rivera 1
riverside 1
role 1
round 1
route 2
rubs 1
rumble 2
run 1
running 1
rush 1
rushing 1
safe 2
school 1
scout 1
scouts 1
screaming 1
secluded 1
secondincommand 1
see 1
selecting 1
senior 1
sense 2
set 1
settle 1
several 1
severely 1
sex 2
sexual 1
shakes 1
she 2
sheriff 1
shootout 1
shop 1
show 1
shuttle 1
signaled 1
sister 1
sitting 1
situation 1
so 2
society 1
song 1
speech 1
spite 1
spot 1
square 1
stab 1
stabbing 1
start 2
starts 2
station 4
stick 1
sticking 1
stickpins 1
still 2
stirring 1
stolen 2
stopped 1
story 1
street 3
strength 1
strongest 1
subway 6
suggests 1
suspiciously 1
switchblade 1
symbols 1
tag 1
tailed 1
take 2
takes 3
taking 1
talks 1
task 1
teasing 1
telling 1
tends 1
that 5
thats 1
the 146
their 15
them 11
then 6
there 3
they 13
theyre 1
things 1
this 2
thrones 2
through 3
throughout 3
thumb 1
time 1
times 1
tipped 1
to 38
track 1
tracks 1
train 6
transit 2
travels 1
trio 5
truce 1
trying 1
tunnel 3
turf 1
turfs 1
turn 2
turns 1
twice 1
unable 1
unexpected 2
unleashes 1
until 2
up 7
uptown 1
urinate 1
used 1
usually 1
van 1
venture 1
version 1
victory 3
violent 1
waiting 4
walk 1
wall 2
wallie 1
war 2
was 1
weapons 1
wears 1
well 1
when 8
where 3
which 1
while 4
who 4
why 1
willingly 1
window 1
winning 1
wins 1
with 18
without 1
woman 2
wonders 1
woodlawn 1
work 1
worker 1
writing 1
york 1
young 1
youngest 1
youth 1
