1869208
/m/062hcb
/m/062hcb
Mark Twain
visited 1
voices 3
waiting 1
wandering 1
war 2
was 2
wednesday 1
wellknown 1
what 1
when 2
where 2
while 4
who 4
will 1
win 1
winning 1
wisdom 1
wisest 1
with 17
woman 1
would 3
writing 3
x 1
xx 1
xxi 1
xxii 1
xxiv 1
xxviii 1
year 3
years 6
yet 4
you 1
young 1
