5053182
/m/0d0n60
/m/0d0n60
Jerzy Andrzejewski
others 1
out 8
overhears 1
own 1
paid 1
panics 1
part 4
partisan 1
party 3
passed 1
passengers 1
passes 1
path 1
patrol 1
people 2
persistent 1
person 1
picking 1
place 3
play 2
podgrski 22
podgrskis 1
point 1
poised 1
poland 3
polish 1
politics 1
polonaise 1
postwar 1
ppr 2
presumably 2
prewar 1
prison 4
probably 1
produce 2
promises 1
prompting 1
province 1
purchase 2
quite 1
raises 1
reader 1
really 1
recall 1
recalls 1
reception 1
recognized 1
recognizes 2
reconsider 1
recounts 1
reflects 1
refuses 1
remember 1
remembers 2
reminds 1
replies 1
resume 1
return 1
returned 6
returns 2
road 4
role 1
room 12
rooms 1
run 1
rybicki 1
safe 1
same 1
say 1
says 3
scene 1
school 1
secret 1
secretary 2
see 2
separate 2
seriously 1
several 1
share 1
she 14
shift 1
shoot 2
short 1
shortly 1
shot 1
shots 1
side 1
sister 1
sisterinlaw 2
sleeps 1
smolarski 1
so 4
some 4
somehow 1
son 2
sons 1
soon 1
soviet 2
speak 1
spend 1
spends 1
spent 1
stalinist 1
stalk 1
staniewiczowa 5
starts 1
station 1
staying 2
stays 1
steal 1
stefan 1
stolen 1
stop 2
stops 2
story 3
strongly 1
subjected 1
such 1
suddenly 3
suggest 1
superior 1
supposed 1
surrenders 1
surrounding 1
suspicion 1
suspicions 1
szczuka 32
szczukas 4
szretter 3
take 1
taken 4
takes 1
talk 2
talking 2
technical 1
tell 1
telling 1
tells 7
than 1
that 42
the 126
their 4
them 7
there 1
these 1
they 12
thinking 1
thinks 1
this 4
time 2
to 84
together 2
too 1
town 1
train 2
transporting 1
tries 2
trip 1
turn 2
turned 1
turns 2
two 4
ultimately 1
under 3
union 1
unknown 1
until 1
up 3
upon 1
very 4
visit 8
visiting 1
waga 6
waiting 1
walk 1
walking 1
wants 5
war 6
warsaw 2
was 11
way 4
ways 1
we 1
weapons 1
were 2
what 4
when 3
where 5
whether 2
which 7
while 7
who 14
whom 1
why 1
wife 4
will 5
with 16
witokrzyski 1
woman 1
wool 1
work 1
workers 2
world 1
worst 1
would 1
writes 1
young 1
younger 1
zloties 2
zloty 1
