97723
/m/0p4s9
/m/0p4s9
Meredith Willson
in 27
inappropriate 1
including 1
incriminating 2
independence 1
indiana 3
informs 1
insisting 1
instead 1
instruments 5
interested 1
interrupt 1
interrupted 1
interrupting 1
interrupts 1
intimate 1
into 2
intrigue 1
invented 1
iowa 3
is 15
island 2
it 5
ive 1
join 2
journal 3
just 2
kid 1
kids 1
kisses 1
kissing 1
knight 1
known 2
labeled 1
ladies 6
later 2
launch 1
lead 1
leading 2
leads 3
leave 2
leaves 1
leaving 1
left 1
legit 1
lesson 1
lessonif 1
lessons 1
librarian 2
library 3
lida 1
life 1
light 1
likes 2
limited 1
lisp 1
lisping 1
little 2
lives 1
local 1
love 3
loves 1
mackecknie 1
made 1
madison 1
major 1
man 3
marcellus 5
marian 34
mayor 8
me 1
meanwhile 2
meet 1
meeting 1
men 1
mentions 1
met 1
mind 1
minuet 1
miser 1
missed 1
moment 1
money 1
morning 1
mother 1
moving 1
mrs 3
music 1
musical 1
musically 1
musician 1
my 5
named 1
never 2
new 3
next 3
night 1
nonetheless 1
not 2
notes 1
now 1
ocean 1
of 17
off 1
old 2
on 6
once 1
one 1
only 1
opinions 1
orders 1
other 2
out 4
over 2
overhears 1
owns 1
page 2
paid 1
parents 3
parlor 2
paroo 4
persuades 1
piano 3
pickalittle 2
planned 1
plans 1
play 1
playing 1
pool 3
porch 1
practice 1
practices 1
premise 1
prevent 1
proceeding 1
proceedings 1
professor 4
promising 1
pushes 1
quality 1
quartet 2
questions 1
rabelais 1
ranks 1
read 1
realizes 1
really 1
refuses 1
regarding 1
rehearse 1
rejection 1
relationship 1
released 1
reminds 1
reprise 2
repriseseventysix 1
reserved 1
resigning 1
retrieving 1
returns 2
reversed 1
river 5
rock 2
rose 1
rumors 1
run 1
sadder 1
said 2
salesman 1
salesmen 1
say 2
saying 1
scam 1
scheme 1
schemes 1
school 7
search 1
secretly 1
see 2
selfconscious 2
sets 2
seventysix 1
shall 1
she 20
shes 1
shinn 8
shipoopi 2
should 1
shy 1
side 1
sight 1
signs 1
simply 1
sin 1
since 3
sing 3
singing 1
sings 1
sitting 1
skips 1
slap 1
slips 2
snatch 1
so 5
sociable 1
social 2
someone 3
song 1
songs 1
spending 1
stage 1
standards 1
stands 1
star 1
state 2
stay 1
stops 1
stranger 1
stubborn 1
stumbles 1
suddenly 1
suitcase 1
summer 2
sweetheart 1
system 1
table 3
take 1
taken 1
takes 2
taking 1
talkalittle 2
talked 1
teach 1
teaches 1
tears 1
teases 1
teenage 1
teenagers 3
tell 3
telling 2
tells 11
than 1
that 26
the 92
their 8
them 5
themnbspndash 1
then 1
there 2
they 8
think 2
thinking 1
this 1
those 1
three 1
through 1
till 2
time 2
to 52
told 2
tommy 6
topic 1
town 12
townspeople 4
traditional 1
train 5
trained 1
trains 1
traveling 2
tries 5
trombones 2
trouble 3
true 1
try 1
turn 1
turns 1
uniform 1
uniforms 2
unrequited 1
until 2
untrue 1
up 4
upon 1
urge 1
urges 2
us 1
very 1
wagon 2
waits 1
walks 1
warn 1
was 5
washburn 1
wasnt 1
way 1
we 1
wells 2
what 2
when 1
where 4
which 1
while 2
whistle 1
white 1
who 8
whom 1
whose 1
why 1
widowed 1
wife 1
will 4
win 1
winthrop 9
wiser 1
wishes 1
with 17
without 2
won 1
work 1
wrong 1
ya 2
yet 1
you 7
zaneeta 1
