18244814
/m/04cqyl3
/m/04cqyl3
Kim Sterelny
pnbsp12 1
pnbsp120 2
pnbsp125 1
pnbsp14 1
pnbsp141 1
pnbsp146 3
pnbsp15 4
pnbsp150 1
pnbsp151 3
pnbsp152 1
pnbsp153 4
pnbsp158 2
pnbsp161 3
pnbsp162 3
pnbsp165 2
pnbsp166 2
pnbsp167 1
pnbsp170 3
pnbsp171 1
pnbsp172 2
pnbsp173 2
pnbsp174 2
pnbsp175 3
pnbsp176 2
pnbsp177 2
pnbsp178 1
pnbsp2 2
pnbsp3 1
pnbsp6 1
pnbsp65 1
pnbsp67 1
pnbsp7 2
pnbsp70 1
pnbsp71 1
pnbsp78 3
pnbsp8 2
pnbsp86 1
point 1
pointing 1
points 2
poisoned 1
polemic 1
polemical 1
pools 1
popularity 1
population 6
populations 6
populationsthe 1
poses 1
positively 1
possibilities 10
possibility 3
possibilityexpanding 1
possible 6
possibly 1
postcambrian 1
postmodern 1
potential 1
potentiality 1
potentially 1
power 1
ppnbsp100101 1
ppnbsp125126 1
ppnbsp15160 1
ppnbsp153154 1
ppnbsp15815 1
ppnbsp164165 1
ppnbsp7778 1
practice 1
precambrian 5
preceding 1
preconditions 1
predator 1
predatorprey 1
predict 1
predictable 2
prediction 1
predominant 1
present 1
preservation 2
prevent 1
prey 1
principles 2
prior 1
probably 7
problem 5
problematic 1
problems 1
process 3
processes 2
producing 1
products 1
professional 1
profound 1
profoundly 1
progress 3
progressive 4
prokaryotes 1
proliferation 1
promote 2
proper 2
properties 5
property 1
proponents 1
prospects 2
prosper 1
protoarthropod 1
prove 2
proved 1
provides 1
pseudoscience 1
psychological 1
psychologists 2
psychology 2
pterosaurs 1
public 2
publications 7
published 1
punctuated 5
purpose 1
pursues 1
puzzling 1
qualitative 1
question 1
questions 2
quite 2
race 2
races 1
racist 1
radiation 4
radical 1
random 1
randy 1
range 5
ranges 1
rape 1
rapid 3
rare 2
rates 1
rather 8
reaction 1
readability 1
readapt 1
reader 1
reading 2
real 4
really 5
reason 2
reasonable 2
reasons 1
recent 2
recently 1
recognisable 1
recognise 1
recognised 1
recommended 1
reconstructionswho 1
record 9
redeployed 1
redness 1
reduction 2
reductionism 1
referring 1
reflect 1
reflecting 2
reflection 1
reflections 2
reflects 1
regarding 1
regimes 4
regular 1
reject 2
rejects 1
related 1
relates 1
relation 1
relationship 7
relationships 3
relative 3
relatively 3
relatives 1
relativism 1
relevance 3
relevant 2
reliability 1
religion 10
religions 1
rely 1
remain 3
remains 5
remnants 1
reoccurring 1
repeatable 1
replayed 1
replaying 1
replicating 1
replication 7
replicationenhancing 1
replicator 1
replicators 5
represent 1
represents 1
reproduction 4
reptiles 2
requires 1
reshaping 1
resolve 1
respect 1
respective 2
responding 1
rest 1
restricted 1
result 10
resulting 1
returns 1
review 1
revitalised 1
revolutions 1
rhetoric 1
rich 2
richerson 1
ridley 2
right 12
rignt 1
robert 1
role 14
roles 1
roster 1
rule 1
rules 4
salient 2
same 6
sample 1
satisfy 1
savage 1
saw 2
say 4
scale 6
scaled 1
scaledup 1
scales 1
science 19
sciences 2
scope 1
score 1
scumbag 1
second 2
secondly 1
section 2
see 4
seem 3
seems 6
sees 5
segmentation 2
segmented 1
selecting 1
selection 33
selectionism 1
selectionist 1
selectionists 3
selective 1
selfish 2
sense 1
sensitivity 1
sensory 1
sequences 1
series 4
set 5
several 1
sex 3
sexist 1
sexual 4
shale 4
shales 1
shape 2
shaping 1
shared 2
shares 1
sharks 1
sharp 2
shelled 1
shelly 1
shifting 1
short 3
should 2
show 4
shows 1
sicklecell 1
significance 1
significantly 1
similar 5
similarity 1
similarly 3
simon 1
simple 3
simpleminded 1
simpler 1
simplest 2
simply 1
simpson 1
simultaneously 1
since 5
single 2
singlecelled 1
sirius 1
sites 1
size 3
sizes 1
skeptical 1
skewed 2
skills 2
smack 1
small 4
smith 5
snails 1
so 18
social 4
socially 2
society 1
sociobiological 1
sociobiologists 1
sociobiology 2
sociocultural 2
soft 1
softbodied 1
solution 1
some 18
someone 1
something 1
sometimes 2
somewhat 3
sorting 1
sound 1
source 1
speaker 1
speakers 1
special 3
speciation 11
species 44
specieslevel 4
specific 1
spectacular 1
split 1
splits 2
sponges 2
spread 5
spreading 1
squid 1
stabilising 1
stability 2
stable 1
stage 2
stance 1
standard 2
starfish 1
starts 2
stasis 3
state 1
states 1
stayed 1
step 1
sterelny 27
still 3
story 2
strange 2
strategies 2
streamlining 1
strict 1
striking 1
strong 1
structural 1
structure 1
structures 1
student 1
studied 1
studies 1
study 1
stuffing 1
subdivisions 1
success 2
successive 1
succumbed 1
such 17
sudden 2
sufficient 1
suggest 1
suggested 1
suggestion 1
suited 1
summarises 1
supply 4
support 1
supporting 1
supports 1
suppose 3
supposed 1
supposes 1
surprising 1
survivable 1
survival 9
survive 2
survived 2
surviving 2
survivors 2
suspects 1
switch 1
synapsids 1
system 2
systematic 2
systematics 1
systems 2
szathmary 4
szathmry 1
tacitly 1
take 1
takes 1
taking 1
tale 2
tape 2
target 1
techniques 1
tell 1
tempos 1
tend 1
tendency 2
tends 2
terms 1
testing 1
than 17
that 150
the 392
their 26
theism 1
theisms 1
them 4
themes 2
themselves 1
then 7
theories 1
theory 7
there 31
these 17
they 29
think 9
thinking 3
thinks 11
thirdly 1
this 42
thornhill 1
those 11
though 5
thought 5
threatens 1
through 5
throughout 1
thus 7
tie 1
tightly 1
time 19
timeframe 1
times 5
timescale 1
timescales 1
tissue 1
to 151
together 2
tolerances 1
too 4
tools 1
topics 1
towards 4
traces 1
tracks 1
tradition 1
traditions 1
traits 3
trajectories 1
transformation 1
transforming 1
transition 1
transitions 5
translating 1
transmission 1
transmitted 1
transpire 1
treatment 1
tree 2
trend 11
trends 1
tries 1
true 5
truth 2
truths 2
tuna 1
turn 3
twentyyear 1
two 6
type 1
typically 1
ubiquitous 1
ultimate 1
ultimately 1
unchanging 1
unclear 1
uncontroversial 1
unconvincing 1
under 3
undercurrent 1
underlying 1
underpinnings 1
understand 1
understanding 4
undirected 1
unfortunate 1
ungenerous 1
unique 1
units 1
unknown 1
unlikely 1
unpredictability 1
unpredictable 1
until 5
unusual 1
up 6
upper 3
upward 3
upwards 1
urvival 1
us 5
used 1
using 3
usually 1
utterances 1
utterly 1
values 4
variance 1
variants 2
variation 12
varieties 1
various 4
vast 2
vehicle 1
vehiclebuilding 1
vehicles 8
velvet 1
version 1
versions 1
vertebratelike 1
very 8
vestiges 1
view 14
viewpoint 1
views 7
vindicating 1
virulently 1
visible 1
vitiated 1
wall 3
walls 1
warped 1
was 17
watershed 1
watersheds 1
way 6
ways 6
we 12
weight 1
weiner 1
welfare 1
well 5
wellfounded 1
wellworkedout 1
went 1
were 9
western 1
what 4
whatever 1
when 8
where 5
whereas 6
whether 1
which 45
while 17
whole 4
wholly 2
whomare 1
whose 3
why 2
wide 1
will 14
winners 1
winter 1
wiped 1
with 51
within 8
without 3
wobbles 1
wold 1
wonderful 2
work 5
working 2
works 4
world 9
worms 2
worse 1
would 11
writings 4
wrong 1
years 12
yet 3
york 1
youngest 1
your 1
zerofossil 1
