989119
/m/03x2m1
/m/03x2m1
Thomas Hardy
inherited 1
innkeeper 1
inside 1
instead 3
intercept 1
interest 1
into 1
investigate 1
is 23
it 3
its 1
keeps 1
knew 2
knocking 1
knocks 1
knowing 1
known 1
knows 1
labouring 1
large 1
last 1
late 2
later 3
least 1
leaving 1
length 1
lets 1
letter 2
light 1
like 1
living 3
loathes 1
local 1
location 1
lonely 1
long 1
looking 1
looks 1
lost 1
love 3
loved 1
lovers 1
lowly 1
make 2
man 4
marking 1
marriage 4
marries 2
marry 2
meanwhile 1
meet 3
merchant 1
mercy 1
merely 1
middle 1
miles 1
mineral 1
minor 1
minutes 1
miserably 1
mistress 1
moments 1
money 1
months 1
more 1
mortifies 1
most 1
mother 6
move 1
moves 1
mrs 6
much 1
murder 1
murdering 1
my 1
name 1
named 1
narrative 1
native 1
nearby 1
nearly 1
neighbour 1
nevertheless 1
new 2
next 2
niece 1
night 6
no 3
not 2
nothing 1
novel 1
now 6
object 1
objects 1
obliged 1
ochre 1
oddity 1
of 26
off 3
offering 1
offers 1
on 11
one 2
only 1
openly 1
opposed 1
or 4
others 1
out 7
outcome 1
pagan 1
paris 3
passenger 2
passion 1
path 1
pay 1
period 1
physically 1
place 1
planned 1
planning 1
plans 2
plunges 1
point 1
poor 1
position 1
possible 1
postponed 1
preaching 1
preoccupied 1
prepare 1
previous 1
proceeding 1
promise 1
proud 1
publicly 1
pursuit 1
quarrels 2
queenly 1
racked 1
raging 1
rain 1
ran 1
rancour 1
reaches 1
readies 1
reading 1
realises 2
reappears 1
recklessly 1
reconciliation 1
red 3
reddle 1
reddleman 3
refuses 1
regards 1
relationship 1
remains 1
remorse 1
remove 1
reproaches 1
resort 1
return 1
returned 1
returning 1
returns 1
revives 1
richer 1
roams 1
role 1
run 1
rural 1
rushes 1
sad 1
save 1
saw 2
schoolmaster 2
seaside 1
secure 1
seeds 1
sees 2
send 1
sends 2
session 1
set 1
settle 1
several 1
shadwater 1
she 36
sheep 1
shell 1
shrewd 1
signal 1
signalled 1
since 1
sleep 1
slowly 1
small 1
snake 1
so 2
solemnized 1
solitary 1
some 3
somewhat 1
son 3
soon 4
spirit 1
splash 1
spyglass 1
stained 1
still 2
struggles 1
studies 1
successful 1
sum 1
summer 1
sure 1
surrounding 1
sweetnatured 1
take 2
takes 2
taking 1
talking 1
tell 1
tells 2
temporarily 1
term 1
that 7
the 61
then 3
there 1
they 4
think 1
thinking 2
this 1
thomasin 13
through 1
throws 1
time 2
timethe 1
to 46
together 1
too 3
town 1
trade 2
tragedy 1
travels 1
tries 1
turn 1
turns 1
two 5
unaware 1
underneath 1
unexpectedly 1
unmarried 1
unsuccessfully 1
unworthy 2
up 4
ushers 1
van 2
venn 9
venom 1
visit 1
visitand 1
visitor 1
visits 1
vows 1
vye 1
waits 1
walk 1
walks 1
wants 1
was 1
waters 1
way 2
weeks 1
weeping 1
weir 1
well 1
wellmeaning 1
were 2
when 9
where 2
while 4
who 4
whom 1
wife 3
wildeve 19
wildevehe 1
will 1
willing 1
wind 1
window 1
witch 1
with 13
without 1
woman 4
wooed 1
word 1
working 1
year 3
years 1
yeobright 7
yeobrights 1
yet 1
you 1
young 3
