2999014
/m/08jp8c
/m/08jp8c
Dav Pilkey
gives 2
giving 2
go 2
goes 2
going 1
gone 1
grade 2
grading 1
great 1
had 2
hair 4
hands 1
hangs 1
happened 1
happens 1
happy 1
harm 1
harold 28
harolds 1
has 8
hatchet 3
have 6
having 1
he 20
head 1
heads 1
hear 1
hearing 1
hell 1
help 1
her 20
herself 1
him 5
himself 1
his 8
history 1
holding 1
hostage 1
hosting 1
house 1
how 4
humorous 1
hung 1
hypno 2
hypnotize 1
i 1
idea 1
ideal 1
identical 1
in 17
indifferent 1
inside 1
instead 2
intelligence 2
interest 1
into 6
involving 1
ironically 1
is 17
it 15
japanese 1
joke 1
juice 1
just 3
kept 1
kidnaps 1
kill 1
kind 1
king 2
knocks 1
krupp 10
lack 1
lame 1
lamp 1
land 1
large 1
larger 1
last 2
later 2
lets 1
letters 1
letting 1
like 3
literally 1
local 1
longer 1
look 1
lose 1
lot 1
loudly 1
lower 1
luckily 1
lunch 1
made 2
magic 2
mainly 1
make 8
makes 1
making 1
marker 1
marriage 1
married 1
marry 3
meanwhile 1
memo 2
mental 1
midair 1
might 1
miss 2
mistakenly 1
monday 1
monster 1
more 1
morning 1
movie 1
mr 10
mrkrupp 1
ms 19
mustaches 1
name 1
never 1
newest 1
newscast 1
newsletter 1
nicest 1
night 3
no 4
nose 2
noses 1
not 2
novels 1
objects 1
occurs 1
of 21
off 1
office 1
officers 1
old 1
on 15
once 2
one 1
only 3
onto 1
opinion 1
opposite 2
out 5
parents 1
pass 1
people 1
perfectly 1
personally 1
pick 1
picture 1
pizza 1
placebo 1
placenta 1
planet 2
planned 1
planning 1
police 2
pose 1
post 1
power 1
powers 4
primate 1
principal 1
privately 1
proposal 1
psychology 3
puts 1
pyjamas 1
queen 1
rather 1
react 1
reader 1
reads 1
real 1
really 1
regains 1
remains 1
remarked 1
remover 1
restarts 1
result 1
resulting 1
retirement 1
retiring 1
retrieves 1
returned 1
revealed 2
reveals 1
reverse 4
ribble 19
rid 1
ring 6
robo 1
robogeorge 1
robot 1
robots 6
rope 1
ropes 1
run 2
sandwich 1
saturday 1
save 2
say 2
saying 1
says 5
schedule 1
school 9
secretary 1
secretly 1
sees 2
seizes 1
sells 1
sending 1
sent 1
sets 1
several 2
she 10
shelf 1
shocked 1
shop 1
shouts 1
showdown 1
shows 1
shutting 1
sign 2
signs 1
similarity 1
simply 1
size 1
smiles 1
smoke 1
snap 1
snapped 1
snaps 1
so 2
softener 3
some 2
someone 1
son 2
soon 1
spend 1
spills 1
spray 8
sprayed 1
sprays 1
starch 7
states 1
stating 1
stay 1
steals 1
store 1
story 3
stretching 1
students 1
subsequently 1
such 1
suggests 1
summon 1
superman 1
superpower 1
superpowered 2
superpowers 1
surprised 1
system 1
take 1
taken 1
tank 1
teacher 2
tell 3
tells 1
terms 1
than 1
thanks 1
that 19
the 94
their 8
them 18
then 3
there 3
they 21
thing 2
thinks 2
this 2
though 1
through 2
thursday 1
ties 1
time 2
tiny 1
to 52
told 2
too 1
took 1
toothbrush 1
town 1
traffic 1
tralala 1
trap 1
treehouse 1
trick 1
tricks 1
tries 1
trips 1
trouble 1
try 1
tuesday 1
turn 1
turns 1
tv 1
two 8
unable 1
underpants 10
underpanty 1
underpantyworld 1
up 2
upcoming 1
use 4
used 3
uses 1
using 1
version 1
villain 1
want 2
wanted 1
warlords 1
was 4
watching 2
wear 2
wedding 3
wedesday 1
wedgie 14
wedgies 1
week 2
weekly 1
weeks 1
were 1
what 1
when 9
where 2
whereas 1
which 5
while 1
who 2
whoever 1
will 3
winding 1
with 8
woman 12
women 2
wont 1
word 1
words 2
world 1
would 1
wrote 2
year 1
your 2
