9507319
/m/02ph2mg
/m/02ph2mg
Derek Robinson
seek 1
sees 1
sends 1
sentries 1
serious 1
set 1
shape 1
sheer 1
short 1
shown 1
since 1
single 3
skelton 2
soldiers 1
some 1
soon 2
sortie 1
southwards 1
speeds 1
spring 1
squadron 6
squadrons 2
start 1
storch 1
story 1
strafe 1
strafing 2
stretching 1
success 1
suffers 1
supplies 1
supply 2
surprise 2
tackle 1
take 4
takes 3
taking 2
takoradi 1
target 1
targets 3
tendency 1
territory 1
than 1
that 5
the 81
their 5
them 3
there 1
they 7
thin 1
third 1
this 1
through 1
throughout 1
to 41
toll 1
tomahawks 1
towards 1
trail 2
transit 1
treated 1
tries 1
troops 1
truck 2
two 9
uncertainty 1
undefended 1
under 2
unlike 1
up 1
upon 1
usbuilt 1
variety 1
vehicles 3
veteran 2
virtually 1
vital 1
volunteers 1
walking 1
wander 1
war 1
warn 1
warnings 1
warweary 1
water 1
way 1
wearandtear 1
when 1
where 1
which 2
whilst 3
who 4
wide 1
widow 1
will 2
wipe 1
wiped 2
with 13
within 1
without 2
wives 1
woman 1
worth 1
wounded 1
zealander 1
