5400938
/m/0dk5fn
/m/0dk5fn
Christopher Bulis
open 4
operating 1
opposite 2
order 2
orders 1
organic 1
osgood 4
other 6
others 1
out 13
outside 5
over 8
overboard 1
overload 1
own 2
pacific 1
package 1
paper 1
paralysed 1
paranoid 1
part 3
party 1
pass 3
passengers 1
passes 2
passing 1
past 3
path 1
pauls 1
people 4
perceive 1
perceived 1
picture 1
pieces 2
pilot 3
pit 8
place 1
planet 1
planted 1
pliant 1
plunes 1
pocketless 1
point 3
polynesian 1
portable 1
position 1
potential 1
power 5
powered 1
powers 4
prepared 1
prepares 3
presentday 2
preserving 1
presumably 2
prevent 2
privately 1
proceeded 1
process 2
producer 1
professor 1
promises 1
promising 1
proof 1
prove 2
proves 1
purpose 1
pursuing 1
questioned 1
quite 1
race 1
radiation 3
radio 1
rage 1
rate 1
rather 1
reach 1
real 1
realises 6
realising 5
realistic 1
reason 2
reconstitute 1
redouble 1
reduced 1
refuses 5
regarding 1
rejection 1
relatively 1
release 1
releases 1
releasing 1
reluctant 1
remain 1
remaining 2
remains 1
remarkably 1
renders 1
repair 1
repaired 2
repairs 1
report 1
reported 1
reports 3
rescue 3
rescues 1
research 1
resembles 1
reserve 1
reshape 1
resonance 1
respond 1
responsible 1
restores 1
resulted 1
retreat 1
return 5
returned 1
returning 1
returns 1
reunited 1
revealing 1
reveals 1
right 1
risk 1
rivals 1
rose 1
ruby 6
rubyred 1
ruled 1
run 1
runs 1
runway 1
ruptures 1
sailors 1
salutua 8
samples 2
satellite 1
scarlet 1
scattered 1
scatters 1
screaming 1
screwdriver 2
sea 1
search 4
searching 2
second 1
seduces 1
see 1
sees 1
seizes 1
selfish 1
selfreproach 1
selfrighteousness 1
semquess 13
sends 1
separate 1
sergeant 2
set 3
sets 2
share 1
shark 2
shatter 1
she 18
shes 3
ship 18
ships 1
shock 1
shoot 1
short 2
shot 1
show 1
shower 1
shrouds 1
shutting 1
side 8
sightings 4
signature 1
silent 1
since 5
single 1
slaughtered 1
slaves 1
slowly 3
slums 1
smoke 1
smuggle 1
snake 1
so 4
soldiers 3
solid 1
some 2
somehow 1
sonic 2
soon 3
space 2
spacecraft 1
spaceship 2
spacetime 1
spectral 3
spider 1
spill 1
spoiled 1
spot 1
spotted 1
spread 1
squadrons 1
st 1
standin 1
standing 1
star 2
stardom 1
starlet 1
start 1
statue 3
steal 2
sternberg 5
sternbergs 1
still 2
stolen 1
stone 1
stop 1
stops 1
storage 1
stories 1
story 1
stranded 1
strange 2
struck 2
structure 1
studies 1
stumble 1
subdues 1
successfully 1
suddenly 1
suffering 1
suggests 2
suit 2
support 2
surface 1
surrender 1
surrounded 1
surrounding 2
surroundings 1
survival 1
survive 2
take 3
taken 1
takes 1
taking 3
tamed 1
tank 4
tanks 2
tardis 2
team 11
tearful 1
technology 1
telepathic 1
tells 1
tending 1
terminating 1
terminus 1
terrified 1
test 1
than 1
that 38
the 307
their 8
them 4
themselves 1
then 5
theorises 1
these 1
they 12
theyre 1
things 1
third 2
this 9
threat 1
through 15
throughout 1
thus 2
tilly 2
time 28
timeline 2
timelines 1
to 127
took 2
trace 1
tracked 1
tracks 1
transformation 2
transition 1
trapped 1
travelled 1
tries 2
triggering 1
trip 1
troops 1
truth 1
try 2
trying 4
tube 1
tuned 1
tunes 1
turning 1
turns 1
two 3
ufo 1
unable 5
under 1
understand 1
underwater 1
unfamiliar 1
uniforms 1
union 1
unit 13
united 1
units 5
universe 1
unnatural 2
until 3
unwilling 2
up 3
upon 1
use 1
used 2
uses 2
using 4
utopia 1
valuable 1
veer 1
vegetable 1
vegetation 1
version 1
very 1
vial 1
vials 7
visions 1
visualiser 1
visualisers 1
volcanic 1
volcano 6
volunteers 1
voracious 1
wait 1
wanted 1
warn 1
warp 1
wary 1
was 8
wasteland 1
water 2
way 4
weapon 1
well 4
went 1
west 1
what 8
when 12
whether 1
which 17
while 9
who 8
wife 2
will 10
window 1
wiped 1
with 12
within 1
without 1
woods 1
word 1
working 1
world 6
worlds 1
yates 8
year 1
years 2
yet 1
