930137
/m/03q_qg
/m/03q_qg
Charles Dickens
gigolo 1
girl 1
give 4
gives 1
glean 1
glee 1
go 2
goes 2
going 1
grandfather 1
gratitude 1
great 1
greatest 1
greta 1
gride 6
grides 2
gruff 1
guests 1
guiltridden 1
had 3
hall 5
hand 1
handed 1
happened 2
harming 1
has 16
hates 1
hatred 1
have 3
hawk 11
hawks 1
he 37
head 1
health 2
hearing 2
heiress 1
help 8
her 33
herself 2
high 1
him 28
himself 3
hired 1
hires 1
his 62
home 2
honeymooning 1
horrible 1
horses 1
hosting 1
house 6
housekeeper 1
humiliate 1
humiliates 1
husband 2
idea 1
if 2
ill 1
illegally 1
illegitimate 1
illness 1
illusion 1
immediately 1
implicate 1
in 30
include 1
includes 1
infant 1
infatuated 1
influence 1
information 1
informing 1
inheritance 1
initially 2
injured 1
inn 1
innocent 1
insinuates 1
insistence 1
instead 1
insult 1
intent 1
intention 1
intervenes 1
into 8
investments 1
invites 1
involvement 1
is 43
it 7
job 3
john 4
johnson 2
join 1
joins 1
juliet 1
just 1
juvenile 1
kate 21
kates 1
kenwigs 1
kept 2
kidnaps 1
killed 1
kindly 1
knag 3
la 1
lacreevy 2
lacreevys 1
large 1
last 1
later 3
lead 1
leaps 1
leave 2
leaving 1
left 3
legal 1
letter 6
lifestyle 1
linkinwater 2
live 1
lives 1
lodgings 1
london 12
long 1
longlost 1
look 1
lord 5
loses 2
losing 1
lost 1
love 3
lowpaying 1
luckily 1
madame 2
made 1
madeline 4
madelines 1
make 2
making 1
man 6
manager 1
mantalini 3
mantalinis 1
many 2
marriage 1
married 1
marries 1
marry 2
matter 1
meagre 1
meaning 1
meanwhile 2
meets 2
melodramatic 1
merchant 1
met 1
milliner 1
milliners 1
minimal 1
miser 1
misfortune 1
miss 7
mistreats 1
modifying 1
money 7
moneylenders 2
monstrous 1
more 1
morning 2
most 1
mother 6
move 2
mr 2
mrs 3
mulberry 2
name 5
named 2
ned 1
need 1
neighbours 1
nephew 2
new 2
newman 3
news 1
next 1
nicholas 51
nicholass 3
nickleby 3
nicklebys 3
no 3
nobleman 2
noggs 8
not 4
now 3
obtaining 1
occurred 1
of 49
off 2
offends 1
offensive 1
offers 3
office 5
offices 1
older 1
on 12
once 2
oncewealthy 1
one 4
only 4
onto 1
opportunity 2
or 3
order 1
ostracised 1
other 5
out 5
over 1
overhears 1
owed 2
own 3
owns 1
packing 1
pad 1
painter 1
parents 1
partner 1
party 1
pay 1
paying 1
peace 1
peacefully 1
peg 2
penitent 1
penniless 1
penny 1
pens 1
phenomenon 1
piece 1
plain 1
playwright 1
plot 3
plots 1
plotting 1
pockets 1
poor 1
portrait 1
portsmouth 1
position 1
possession 1
predicament 1
prefers 1
presenting 1
pretty 1
price 1
promise 1
prove 1
proves 2
provide 1
provincial 1
putting 1
quarrel 1
quell 1
quickly 1
quits 1
rakes 1
ralph 31
ralphs 3
rapidly 1
rather 1
reacts 1
reading 1
realise 1
realises 1
reason 1
rebel 1
received 1
receives 1
reckless 1
reckoning 1
reclaim 1
recognises 1
recover 2
recovered 1
recovers 1
refuses 4
refusing 2
regularly 1
relations 1
relationships 1
relative 1
remains 1
remorseful 1
repents 1
requires 1
rescue 1
respectability 1
respectively 1
respond 1
restaurant 1
result 2
resulting 1
retire 1
return 3
returned 1
returning 2
returns 2
reveal 1
revealed 1
reveals 1
revenge 1
right 2
robbed 1
romeo 2
rotten 1
rudely 1
run 1
running 2
runs 3
ruthless 1
sacrifice 1
sailors 1
salary 1
save 1
scam 1
scheme 1
schemes 1
school 3
schoolmaster 1
search 2
searches 1
secret 1
see 1
seek 1
seeks 1
seen 1
sell 1
send 1
sent 1
sentence 1
sentenced 1
series 1
servant 1
served 1
services 1
set 1
several 1
she 10
showroom 1
shows 2
shrewish 1
sight 2
simple 1
sir 2
sister 2
sisters 1
slandering 1
sliderskew 1
slum 1
small 2
smike 19
smikes 1
snaps 1
snawley 1
so 1
socialclimbing 1
some 2
son 5
spending 1
spoiling 1
spooking 1
squeers 20
squeerss 2
staff 1
stagecoach 1
startled 1
starves 1
stays 1
still 1
stop 2
stopped 1
story 1
street 1
strike 1
strikes 2
strikingly 1
students 1
subject 1
suburb 1
succeed 1
successfully 1
suicide 1
sum 1
summoned 1
sums 1
supply 1
suspicions 1
switch 1
take 2
takes 3
taking 2
task 1
tastes 1
teach 1
teacher 1
tell 1
telling 1
tells 5
temper 1
tenderness 1
terms 1
than 2
that 18
the 107
theatrical 1
their 18
them 5
then 2
there 1
thespians 1
they 8
things 1
thinking 1
this 5
thought 1
threat 1
thus 1
tilda 3
tim 2
to 97
toasting 1
told 2
too 2
took 1
towards 4
town 1
track 1
tragedies 1
transportation 2
travel 2
treatment 1
tries 1
trip 1
troop 1
troops 1
troupe 1
tuberculosis 1
twin 1
two 2
tyrannical 1
uncle 6
uncles 1
under 2
unexpected 1
unexpectedly 2
unknown 1
unpaid 1
unpleasant 1
unsuccessful 1
until 2
unwanted 1
up 4
upon 2
uproariously 1
uses 2
using 1
vague 1
vain 1
various 1
vengeance 1
verisopht 5
very 1
vicious 1
viciously 1
vincent 1
violent 1
violently 1
visits 1
vows 2
wackford 3
walking 1
walter 2
warmly 1
warns 1
wary 1
was 3
way 3
wealthy 1
wedding 4
what 3
when 10
where 3
which 2
while 4
whip 1
who 19
whom 2
whose 1
wife 5
will 7
wishes 2
with 24
withdraw 1
wittiterly 2
wittiterlys 1
woman 4
work 1
working 1
worming 1
writes 1
written 1
yorkshire 1
young 5
younger 1
