13757473
/m/03chbb4
/m/03chbb4
Brian Jacques
fall 1
father 2
feast 1
fellow 1
female 1
fight 2
fimiliar 1
finally 2
find 5
finds 1
finish 1
fire 2
fixa 1
flee 1
footpaw 1
for 7
foremole 6
fortunately 1
four 1
frantically 1
freeing 1
frequently 1
friar 3
friend 1
friends 1
from 7
frubb 1
garul 1
gatehouse 1
gatekeeper 1
gatherers 1
get 2
gets 2
giant 2
gives 1
giving 1
glisam 5
go 2
gobbo 1
goes 4
going 1
gonfelins 8
gonff 9
goody 1
grabul 1
grace 1
great 4
green 2
griv 3
group 1
guard 1
guided 1
gullub 2
guosim 7
gurrpaw 1
had 4
handicap 1
hands 1
hard 1
hare 1
has 4
have 6
having 3
he 10
head 3
headbutts 1
hear 1
heavily 1
hedgehog 1
help 3
her 10
hiding 1
him 11
himself 2
his 14
holes 1
home 2
how 2
however 9
humiliated 1
husband 2
idol 2
illiterate 1
immediately 1
in 25
included 1
infirmary 1
inform 1
inhabitants 1
insane 1
inside 3
inspection 1
instead 1
into 2
irritated 1
is 27
it 5
jeg 5
jewel 5
jewels 7
join 1
joined 2
journal 1
juice 2
just 4
keeper 1
kidnap 1
kill 1
killed 4
killing 2
kills 3
kitchen 1
korvus 13
lady 1
lair 9
laird 1
lake 1
lands 1
last 1
later 1
leader 1
leading 1
leads 2
leave 1
leaves 1
leaving 1
led 1
less 2
like 1
listeners 1
listens 1
lives 1
loads 3
location 1
logalog 2
logboat 1
look 1
luck 1
lurking 1
lying 1
mad 1
made 1
madness 2
magpie 1
mainly 1
make 3
makes 3
manage 2
manages 1
many 1
marries 1
mcscutta 1
mead 1
meal 1
meet 1
meets 1
member 2
memory 1
mentally 1
mentions 1
mice 1
mittee 1
mole 1
moles 7
momentarily 1
more 1
moss 1
mossflower 2
most 1
mother 1
mourns 1
mousethief 1
much 3
named 1
near 1
nearly 1
next 2
nokko 6
not 4
now 2
of 34
off 2
offered 1
offering 1
offers 2
older 1
on 9
one 3
ones 10
only 1
operation 1
order 1
ordered 1
others 1
otter 1
out 2
outnumbered 1
outside 1
over 1
overhears 2
owl 1
own 1
pact 1
pain 1
painted 10
panic 2
part 1
party 3
perrit 3
pet 1
pikehead 1
pillowfight 1
place 2
plotting 1
position 2
pot 2
potent 1
pour 1
preparing 1
promptly 2
prompts 1
proved 1
quick 1
quickly 1
rations 1
ravenwyte 1
ravenwytes 3
read 1
recess 1
records 1
redwall 9
redwaller 1
redwallers 4
reenter 1
refuses 2
relative 1
relatives 1
reporting 1
reports 1
reptiles 1
reptilian 1
rescue 5
rest 2
resting 1
resulting 1
retired 1
retreat 1
return 3
returns 1
revealed 1
revealing 1
reveals 1
revenge 2
riddle 1
riddles 1
ring 1
river 1
rock 1
rooks 1
rooter 1
rorgus 6
rorzan 1
ruby 1
ruttur 1
sail 1
samolus 5
saved 1
saving 1
scare 1
search 1
searchers 2
searching 2
seasons 1
see 1
seeing 3
seen 3
sees 2
sends 2
sense 1
sensing 1
serious 1
services 1
she 8
shrew 2
sicariss 4
side 1
similar 1
single 1
sister 1
situation 1
skilled 2
skipper 1
skurpul 3
skurr 4
slaying 1
smashes 1
smell 1
smoothsnake 2
so 1
solve 1
son 2
soon 1
spared 1
spikes 2
spikkle 3
spingo 8
splits 1
squash 1
squirrel 3
starved 1
stays 1
steal 2
stealing 1
stickle 1
still 1
sting 1
stole 1
stop 1
storm 1
story 6
subsequently 1
successfully 1
suffers 1
suffocating 1
surrender 1
swears 1
sweet 1
tala 2
tarul 7
teacher 1
teaching 1
tell 1
tells 3
than 1
that 9
the 130
their 8
theirs 1
them 14
then 8
there 4
therefore 1
they 8
thinking 1
this 4
thrashing 1
three 2
through 2
time 2
title 1
to 65
too 4
top 1
torilis 2
touch 1
trap 1
trapped 2
tribe 1
tricked 1
truth 1
trying 1
tugga 6
tunnel 3
tunneling 1
turns 2
two 2
umfry 5
unaffected 1
unbeknownst 2
underground 1
unfortunately 1
up 1
upon 4
uses 1
veeku 2
verify 1
very 1
violet 1
wall 1
warrior 1
warriors 1
was 7
water 1
way 1
welzz 1
when 3
where 1
which 7
while 4
who 9
whom 1
whose 1
wife 2
wild 1
with 9
within 1
won 1
wood 1
woodlanders 1
work 1
worked 1
wound 1
write 1
wytes 4
young 2
zaran 7
