1390418
/m/04yrp0
/m/04yrp0
Derek Robinson
height 1
heinkel5 1
her 2
him 4
his 17
hitting 1
hornet 10
horribly 1
hospital 1
hostility 1
hurricane 4
hurricanes 1
husband 1
impatient 1
impending 1
impotency 1
in 18
inadequate 2
inadvertently 1
incident 1
inclined 1
including 3
incoming 1
increasingly 1
inexperienced 2
infuriates 1
injured 1
intact 1
intelligence 1
intense 1
intensify 1
intercept 1
into 5
invasion 2
irishman 1
is 37
it 4
its 3
jackie 3
joke 1
journalist 1
just 1
keen 1
killed 7
kills 1
kull 1
lack 1
ladder 1
larger 1
lasting 1
later 3
latter 1
launches 1
leader 3
leads 1
leave 2
leaves 1
lifestyle 1
lift 1
local 1
london 1
lost 2
low 1
luftwaffe 3
luxury 1
macfarlane 2
made 1
manages 1
many 1
marry 1
mary 4
massed 2
may 1
me10 1
meets 1
men 2
mentallyfragile 1
mere 1
mildmannered 1
miller 1
mk 1
moggy 1
moke 1
moran 3
more 2
most 2
mother 1
motorcyclist 1
much 1
named 1
naval 1
neck 1
nervous 1
new 6
news 1
nicknamed 1
nicole 2
nim 1
no 1
not 3
now 5
numbers 1
obvious 1
odds 1
of 32
offensive 1
officer 2
on 3
only 2
operational 1
ordered 1
ordering 1
orders 2
original 1
other 5
others 1
out 3
outmoded 1
over 2
overconfident 1
painfully 1
painkillers 1
pairs 2
particularly 2
partly 1
patterson 4
performs 1
perimeter 1
phase 1
phoneywar 1
piece 1
pilot 6
pilots 21
pip 1
plane 2
planes 1
point 1
pole 1
poor 2
portray 1
possibility 1
practical 1
practise 1
pregnant 1
preventing 1
problems 1
proved 1
raf 5
raid 1
rally 1
ramsey 1
range 1
ranks 1
reach 1
reaching 1
realise 1
rear 1
reckless 1
recklessly 1
reduced 1
reformed 1
refugee 1
refusal 2
refuses 3
rejected 1
reluctant 2
remain 2
remaining 1
remorse 2
renouf 3
replacement 2
replacements 1
rescue 2
respective 1
rest 1
retaliates 1
return 1
returning 1
returns 1
rex 7
rigid 1
roll 1
romances 1
royal 1
same 2
sceptical 1
schoolteachers 1
sea 1
seeing 2
seen 1
sent 1
sept 1
september 2
seriously 1
seriouslyminded 1
sets 1
several 3
sexual 1
she 1
shoot 2
shooting 1
shoots 1
shot 1
show 1
shows 1
shrapnel 1
single 2
six 1
skelton 3
skills 2
sky 1
slittrench 1
so 1
some 1
sometimes 1
soon 5
sortie 1
southeast 1
spanish 1
squadron 17
starr 3
steelestebbing 4
stickwell 5
still 1
story 1
strafing 1
strain 1
strict 1
strong 1
stunt 1
suffer 1
survivors 2
sweeping 1
switches 1
tactics 6
take 2
takes 1
taxis 1
temporary 1
terrified 1
textbook 1
that 5
the 74
them 2
then 1
they 2
third 1
this 1
three 1
ticky 1
to 42
too 1
training 1
transferred 1
tries 1
truce 1
two 5
twoseater 1
unarmed 1
unauthorised 1
under 1
understand 1
unimpressed 2
unit 3
unmanned 1
unofficial 1
unpopular 1
up 2
upending 1
uppercrust 1
using 1
vanishes 1
very 2
veteran 1
victim 1
victory 3
vigil 1
village 1
wait 1
war 5
was 1
what 1
when 4
which 2
whilst 3
who 2
whose 1
wife 2
winter 1
with 12
without 1
woman 1
world 1
wounded 2
wounds 1
yet 1
young 3
zab 1
zabarnowski 2
zealander 1
