31184460
/m/0gh6vs8
/m/0gh6vs8
Simone Weil
pairs 1
part 8
participate 1
particular 1
particularly 1
parts 1
penalties 2
people 10
performance 1
permanent 1
person 1
physical 1
place 1
poorest 1
possibilities 1
possible 1
power 1
preeminent 1
privilege 1
probity 1
profession 2
propaganda 1
property 1
protect 1
provide 2
providing 1
public 2
punished 1
punishment 3
punishments 1
punitive 1
purely 1
purpose 2
puts 1
rather 1
read 1
realm 1
recognition 1
recognized 1
referred 1
regardless 1
reinforce 1
reintegrate 1
relates 1
relation 1
relative 1
relevance 1
reliable 1
remainder 1
removed 1
represents 1
requirement 1
requirements 1
resembling 1
respect 4
respected 1
respecting 1
responsible 1
rest 1
restrict 1
restricted 1
revolution 1
reward 1
richest 1
right 2
rights 6
risk 1
role 1
rules 6
rural 1
sacred 1
sake 1
satisfied 4
satisfy 1
says 11
second 1
sections 3
security 1
seen 1
selfadvancement 1
semiparalysis 1
sense 2
serve 2
servility 1
set 1
severe 1
severely 1
shaping 1
shared 2
she 7
shortcomings 1
should 13
show 1
side 1
similar 1
situated 1
situations 1
small 1
so 2
social 4
societies 1
society 5
solutions 1
some 2
sort 3
sorts 1
soul 8
sources 1
special 1
specific 2
spent 1
standard 1
starved 1
state 1
store 1
strong 1
struck 1
structure 1
subdivided 2
subject 1
subordinate 1
such 4
suffers 1
sufficient 1
suggesting 1
superiors 1
support 1
symbols 1
system 2
take 1
teach 1
terror 1
than 4
that 31
the 80
their 12
then 1
there 4
therefore 1
these 2
they 5
things 1
this 6
those 3
three 2
throughout 1
time 1
to 48
too 1
tools 1
towards 1
trade 1
tradition 1
traditions 1
truly 2
truth 1
turn 2
two 1
type 1
under 1
undivided 1
unemployed 1
unique 1
universe 1
up 4
uprootedness 1
urban 1
useful 1
useless 1
value 1
vary 2
varying 1
verify 1
very 1
vice 1
views 2
vital 1
warmth 2
weil 20
well 3
were 2
what 1
when 5
where 3
which 8
while 3
who 6
will 4
with 7
work 2
working 1
world 1
would 4
writers 1
writes 3
