4792251
/m/0cnk36
/m/0cnk36
Larry Niven
implementation 11
implied 1
importance 1
in 19
including 1
influence 1
insane 1
instead 1
intending 1
intends 2
intensify 1
interest 1
interjection 1
interrogating 1
into 4
invited 1
involuntary 1
involve 1
is 18
it 9
its 1
itself 1
jesus 1
jump 1
jumping 1
just 3
justice 1
keeping 1
keller 4
kept 1
kill 1
kills 1
knock 1
known 2
landing 2
laney 6
layer 1
lead 1
leaders 1
leading 1
learn 1
learns 1
least 1
leave 2
leaves 1
led 2
levels 1
life 1
light 1
little 1
liver 1
lives 1
living 1
local 1
locals 1
location 1
longdefunct 1
lookitthat 2
lose 2
loses 1
loss 1
love 1
made 1
maintains 1
make 1
makes 3
malevolence 1
man 1
manages 3
many 3
master 1
matt 13
matthew 1
meanwhile 2
medical 2
members 1
memory 1
mesa 2
method 1
middle 1
might 1
mile 1
miles 1
millard 5
miner 1
mistake 1
monolithic 1
most 1
motors 1
mount 2
multispecies 1
named 3
necessity 1
need 1
negotiate 1
nerves 1
nervousness 1
neutron 1
new 3
no 1
not 4
nothing 1
now 1
nuclear 1
observed 2
obsolete 1
of 51
off 1
on 10
once 1
one 2
only 5
optic 1
or 1
ordinary 1
organ 2
organs 1
original 1
others 1
otherwise 1
out 3
outcome 1
outsiders 1
over 3
overreact 1
parlette 5
parts 1
party 1
passengers 1
people 1
perfectly 1
perish 1
perpetuity 1
photographed 1
pietro 1
planet 2
planetfall 2
plateau 7
plot 1
point 1
poisonous 2
police 2
political 2
polly 4
population 1
portrayed 1
position 2
possible 1
possibly 1
power 6
powerful 1
powerhungry 1
powers 1
precise 1
prevent 1
problem 3
procyon 1
prologue 1
prominent 1
psi 1
psionic 2
punishable 1
punished 1
pupils 1
putting 1
raid 1
ramjet 1
ramship 3
reach 1
reactor 2
real 1
realized 1
rebels 4
recaptured 1
receive 1
reduce 1
reducing 1
regenerates 1
rejection 1
remove 1
repairs 1
replacement 1
rescue 3
rescued 1
rest 1
restores 1
resurface 1
returns 1
reveals 1
revolt 1
ringworld 1
rises 1
robot 1
room 1
sale 1
same 1
scalp 1
second 1
see 1
seeing 1
selling 1
sensory 1
sets 2
settled 1
settlement 1
settles 1
several 1
severely 1
sex 1
she 9
ship 5
ships 1
shortterm 1
side 2
sides 1
sight 1
sign 1
significant 1
size 1
skin 2
slowboat 1
slowboats 1
slowerthanlight 1
so 2
society 1
some 2
someone 2
sons 8
spacecraft 1
spare 1
star 1
steal 1
still 2
stolen 1
story 2
strange 1
strikes 1
stun 1
such 3
suddenly 2
surprisingly 1
survive 1
suspended 1
symbiote 2
system 6
take 1
taken 1
tall 1
tau 1
technological 1
technology 2
teeth 1
than 1
that 11
the 107
their 4
them 7
then 1
there 2
thereby 2
these 2
they 8
this 8
those 4
though 1
threaten 1
threatened 1
thrusts 1
thus 3
time 1
to 51
too 1
trance 1
transplantable 1
transplantation 1
transplants 2
treatment 1
tricks 1
true 1
turns 2
two 2
type 1
unable 1
uninhabitable 1
unknown 1
up 3
upon 1
upper 1
use 1
venusian 1
vessel 2
via 1
vivarium 1
void 2
wants 1
war 1
was 3
way 2
we 1
weak 1
weapon 2
weapons 1
were 3
what 1
when 5
where 5
which 6
who 5
whose 1
will 1
willing 1
with 21
woman 1
world 1
would 8
wrinkle 1
years 1
