2015899
/m/06f7s6
/m/06f7s6
Cornelia Funke
spies 1
spit 2
spits 1
split 1
spotted 1
spy 3
stare 1
stay 2
sticks 1
stone 4
stones 1
stop 1
strangeness 1
strong 1
struck 1
struggle 1
succeeds 1
success 2
suggests 1
summons 1
sure 1
suspicious 1
swept 1
swiftly 1
tailing 1
take 3
taken 2
takes 1
tells 2
terrible 1
terrified 1
than 2
that 12
the 115
their 8
them 8
then 1
there 4
they 16
things 1
this 7
those 1
though 1
thousand 2
threatened 1
three 1
through 1
throws 1
time 1
times 1
tiny 1
to 73
toad 1
together 1
tomb 1
tracks 1
transformation 1
translate 1
travel 1
trek 1
trick 1
turned 1
twenty 2
twentytwo 1
twigleg 13
two 6
ultimately 1
unable 1
uncle 1
underneath 1
understand 1
unfortunately 1
unknown 1
until 1
up 5
upcoming 1
urges 1
used 1
valley 5
variation 1
very 1
village 2
visit 1
visited 1
voyage 1
waiting 1
warehouse 1
warms 1
warns 2
was 1
water 1
way 5
weakening 1
weaker 1
welcomed 1
well 1
went 2
were 1
when 2
where 3
wherein 1
which 7
while 2
whilst 1
who 11
whose 2
wife 1
will 6
wing 1
wisest 1
wishes 1
with 18
within 1
without 1
wonder 1
word 1
worldmap 1
worried 1
worth 1
zealous 1
zubeida 3
