1649691
/m/05klt_
/m/05klt_
Gregory Maguire
killing 1
killings 1
know 1
known 1
ko 2
kumbricia 1
lack 1
laidback 1
lands 1
lately 1
later 2
laws 1
laxness 1
lead 1
leader 1
leads 2
learn 2
learns 1
leave 3
leaves 2
leaving 1
led 1
left 3
life 1
liir 40
like 2
line 1
lion 1
little 1
lives 3
living 2
locks 1
looking 1
lovers 1
maintain 1
man 5
manages 1
manglehand 2
many 1
master 1
maunt 4
mauntery 1
maunts 1
maximumsecurity 1
meet 1
meeting 1
meets 1
menacier 1
mercy 1
middle 1
might 2
minor 1
mission 1
missionary 1
missions 2
monkey 1
moon 1
most 1
mother 2
mouthtomouth 1
munchkinlanders 1
music 1
mysterious 1
name 1
names 1
nanny 1
narrative 3
nastoya 9
nature 2
near 1
needing 1
neither 1
never 1
new 1
newborn 1
newly 1
no 1
none 1
nor 5
not 3
note 1
novel 1
novice 1
now 1
number 1
numerous 1
oatsie 3
object 1
of 53
off 1
old 1
on 11
only 1
operates 1
operation 2
oppose 1
or 2
order 2
ordering 1
orders 1
original 1
ostensibly 1
other 4
others 1
out 2
over 3
oz 5
pair 2
part 2
pass 1
past 2
pay 2
payment 1
perform 1
performs 1
perpetrating 1
perpetrators 1
persuade 1
place 2
plan 1
playing 3
pogrom 1
poisoning 2
poppy 1
population 1
potential 1
predator 1
pregnant 1
present 1
preserved 1
press 5
prevent 1
princess 6
prison 1
prisoners 1
promised 1
promises 1
provided 1
provokes 1
psychologically 1
punish 1
qhoyre 1
quadling 3
quadlings 4
quietism 1
rain 1
raping 1
reach 2
receive 1
recently 1
recognizes 1
recollection 1
recover 2
recovered 1
references 2
refusing 1
relatively 1
release 1
reluctantly 1
remains 1
remembers 1
removal 1
report 1
representation 1
request 1
residence 1
resists 1
respects 1
responsibility 1
responsible 2
resuscitation 1
retreat 1
return 3
returned 1
returning 4
returns 1
reveals 1
revives 1
road 1
room 1
ruler 3
safe 1
saint 3
save 1
saying 1
says 1
scarecrow 1
scraped 1
scraping 1
scrapings 4
scrow 5
second 1
secret 1
sections 2
see 1
seeks 1
seen 1
sending 1
sent 2
servant 1
service 2
seventh 3
sex 3
shale 1
shallows 1
shattered 1
she 16
shell 3
shifts 1
show 1
sickroom 1
side 1
signing 1
since 1
sing 1
sister 2
sisters 2
slaughtered 1
slowly 1
snow 1
so 2
soldier 1
some 3
somehow 1
son 1
soothe 1
southstairs 5
spared 1
spear 3
state 1
staying 1
stead 1
still 1
stole 1
stops 1
story 1
streets 1
strength 1
structure 1
submission 1
subterranean 1
suddenly 1
superior 3
swans 2
take 2
taken 2
takes 1
taking 1
tell 1
telling 1
tells 1
terrorize 1
than 1
that 22
the 160
their 9
them 6
then 1
there 3
they 13
thinks 1
this 5
those 3
threat 1
three 1
through 1
throughout 1
time 4
tin 1
to 67
told 2
toto 1
train 1
training 2
transform 1
trapped 1
traveling 1
tribe 3
tribes 1
tried 1
trism 10
try 1
two 2
ultimately 1
unconscious 1
unconvinced 1
under 3
undermayor 1
undertakes 1
unit 1
unlocks 1
unsuccessfully 1
until 1
up 8
via 1
viceroy 2
victims 1
village 2
villagers 1
vinkus 6
wants 1
was 4
wash 1
watch 1
way 1
were 6
what 3
when 10
where 3
which 4
while 6
who 12
why 2
wicked 1
wife 1
will 4
witch 3
with 15
witnessed 1
wizard 5
woman 1
women 1
work 1
would 3
wrapped 1
wraps 1
yackle 2
years 1
young 4
younger 1
yunamata 3
