8206943
/m/026w5cb
/m/026w5cb
Colin Dann
fly 1
follow 2
followed 1
following 1
follows 1
food 1
for 20
forced 1
former 1
fortunately 1
found 1
fox 36
foxes 3
free 1
friends 3
frogs 1
from 8
gather 1
gathering 2
get 9
gets 1
getting 1
go 3
goes 2
going 3
grass 1
group 4
groups 1
guide 2
guilt 1
guilty 3
had 5
half 1
happened 2
happening 1
happens 1
hares 1
has 3
have 8
having 2
he 31
head 1
heads 2
heard 1
heath 1
hed 1
hedgehogs 1
help 3
helps 1
her 3
herbivores 1
here 1
heron 2
hidden 1
hill 2
him 16
himself 7
his 14
hole 2
homing 2
hope 3
hoping 1
horse 3
hours 2
housing 1
how 1
huge 1
humans 7
hunt 8
hunting 3
i 1
if 2
in 51
incident 1
information 1
informing 1
inhabitants 1
inhabitted 1
inside 3
insists 2
instinct 2
instincts 1
into 6
invites 1
is 34
it 28
its 1
itself 1
jam 1
jar 1
join 2
joint 1
journey 11
jumping 1
jumps 1
keep 3
keeps 1
kestrel 6
kills 1
knew 1
know 5
knowing 1
knows 1
laced 1
lammenting 1
land 5
large 1
larger 2
largest 1
last 1
later 7
lead 1
leader 2
leaders 1
leadership 1
leads 1
learn 1
learned 1
leave 3
leaving 2
left 1
life 2
little 6
lived 1
lizards 2
located 1
lock 1
loner 1
looking 1
looks 2
lose 1
maintain 1
make 4
making 1
malicious 1
manage 4
managed 1
many 1
marshes 1
marshland 1
mass 1
master 3
mate 2
meeting 2
meets 1
member 1
met 1
mice 3
middle 1
military 1
misadventures 1
mischief 1
mole 4
more 2
morning 2
most 2
mostly 1
mothers 1
motorboat 1
motorway 6
much 2
mutual 1
named 1
natural 2
naturalist 2
nature 1
near 1
nearby 1
nearer 1
needed 1
nervous 1
new 1
newborns 1
news 1
next 2
night 8
nights 1
nimals 1
no 3
none 2
not 17
notice 1
noticed 1
now 2
oath 6
obstacle 1
occurs 1
of 53
off 3
old 2
oldest 1
on 18
once 1
one 5
ones 2
ongoing 1
only 6
onto 1
open 1
or 3
order 12
organ 2
organist 1
organize 1
other 9
others 1
out 11
over 3
overwhelming 1
owl 7
own 1
pandemonium 1
panic 1
park 8
partly 1
party 11
perished 1
pesticide 2
pheasants 1
photographed 2
piggybacking 1
place 2
playing 1
point 2
pond 4
pool 1
possible 1
practicing 1
precautions 1
pregnant 1
prepared 1
presents 1
presumed 1
prickly 1
problem 3
problems 1
proceed 1
process 1
protection 1
published 1
pursued 1
pursuit 1
put 1
putting 1
quarry 1
quite 1
rabbits 2
rain 1
raining 1
reach 2
read 1
realise 1
reason 1
redbacked 1
reduced 1
refreshed 1
refuge 1
refuse 1
refusing 1
rejoin 1
relationship 1
remain 1
remarks 1
remembering 1
remembrance 1
replacement 1
reserve 3
resolves 1
respect 1
respects 1
rest 6
resting 1
rests 1
reunited 1
right 1
river 7
road 2
rooks 2
route 1
run 2
runs 1
safe 2
safer 1
safety 1
same 2
save 2
saved 2
saves 2
saving 1
saying 1
scared 1
scent 1
search 2
seeing 4
seen 2
selfinterest 1
set 1
several 2
shared 1
she 5
shelter 3
sherry 1
shot 1
should 8
showing 1
shows 1
shrike 1
side 2
sight 1
sign 1
simply 1
sip 1
site 1
size 1
slow 1
small 3
smaller 4
so 6
solution 2
solve 1
some 10
soon 7
source 1
specifically 1
spent 1
split 1
stand 1
started 1
starts 6
states 1
stating 1
stay 2
stayed 1
stays 2
stick 1
still 5
stop 1
storm 1
strained 1
stream 1
stub 1
such 1
sudden 1
suggest 2
suit 1
supposed 1
sure 1
surrounds 1
survived 1
swallowed 2
sweeps 1
swiftly 2
swim 1
swimming 1
take 5
taken 3
takes 4
taking 5
tangled 1
tasted 1
tawny 6
tell 1
tells 7
territory 2
than 2
thanks 1
that 67
the 206
their 13
them 30
themselves 1
then 1
there 13
they 61
thinks 1
this 3
those 1
through 4
time 2
tired 1
to 103
toad 15
together 2
told 1
too 4
top 1
tormenting 1
towards 2
town 3
trace 1
traffic 1
tragedy 2
transpires 1
trapped 4
travel 2
travelled 1
travelling 1
trek 1
trickle 1
tries 3
trouble 1
truck 1
trust 2
trusted 1
try 2
trying 1
tunnel 1
tunnels 1
turning 1
two 4
uk 1
under 1
understanding 1
unease 1
unfortunately 1
unknown 1
until 4
up 12
upon 3
use 1
very 2
vicious 1
vixen 7
voles 3
wait 2
wakes 1
waking 1
walking 1
walls 1
warden 2
warns 1
was 9
watch 1
waterfall 1
way 8
weakened 1
weasel 4
wedding 1
weeds 1
welcome 1
welcomes 1
well 2
were 8
what 7
when 15
where 12
which 10
while 6
whilst 3
whistler 6
white 6
who 24
wide 2
will 8
wishes 2
with 15
within 1
without 2
wood 9
woods 1
work 1
worms 3
would 5
wrong 1
year 1
years 1
