724284
/m/035w31
/m/035w31
Alessandro Manzoni
seeking 1
sees 3
seize 1
seized 1
send 1
sends 2
sensed 1
september 1
serene 1
servant 2
servi 1
sets 1
she 10
short 2
shortlived 1
showing 1
sick 1
sight 1
signora 1
silkmill 1
silkweaver 1
similarly 1
simplify 1
sleep 1
so 2
some 1
soon 1
spanish 1
spell 1
spends 2
spreading 1
start 2
state 1
still 1
stops 1
storia 1
story 3
strange 1
street 3
struggle 1
study 1
subject 2
succeeds 1
suicide 1
superior 1
supply 1
suspicion 1
swamped 1
sympathetic 2
tablecloth 1
take 6
taken 1
taking 2
tell 1
tells 1
territory 2
terror 1
than 1
that 15
the 132
their 6
them 1
themselves 1
then 1
there 2
these 3
they 13
thirty 1
this 5
those 1
throngs 1
through 3
throws 1
thugs 1
time 3
tired 1
title 1
to 64
told 1
tonio 3
towards 1
town 3
translation 1
travels 1
tries 1
trouble 1
troubled 2
truth 1
try 1
turn 1
turningpoint 1
turns 1
two 5
unable 1
uncertainty 1
uncle 1
under 5
united 1
unnamed 9
unpredictable 1
until 2
up 3
veil 1
venice 1
version 1
victims 1
views 1
village 6
villains 1
vineyard 1
visited 1
visits 1
vow 2
vows 1
walking 2
walks 2
wanders 1
war 1
warn 1
warning 1
warns 1
warrant 1
was 6
way 3
wealthy 1
wed 1
wedding 2
welcomed 1
well 1
welldefended 1
when 11
where 7
which 9
while 2
who 10
whose 3
will 2
window 1
wished 1
with 16
witnesses 1
witnessing 1
women 1
word 1
worse 1
worst 1
would 1
wrecked 1
years 1
young 1
