12320358
/m/02v_541
/m/02v_541
Lee Goldberg
dolores 1
done 1
down 6
dozier 3
dr 3
drive 2
drop 2
drove 1
drown 1
drowned 1
drowning 1
due 2
dull 1
dumped 2
dumping 1
during 4
earlier 2
easy 1
either 1
ellen 9
else 3
employ 1
employees 2
enable 1
encountering 1
end 1
enough 3
entirely 1
equipment 1
even 1
events 3
every 2
everything 2
everywhere 2
evidence 6
examiner 7
examines 2
except 1
exhusband 1
exonerated 1
exonerates 1
expanding 1
explain 3
explaining 1
explains 7
exposes 1
exposing 1
extremely 1
extricate 1
face 1
facial 1
fact 5
fake 2
faking 1
families 1
fan 1
fashion 1
fatal 1
father 2
feeling 1
fellow 2
felt 1
few 9
fight 2
figured 2
figures 6
filled 1
finally 1
find 4
finds 1
fire 6
firefighter 1
firehouse 6
first 1
fit 2
fix 1
fled 1
fleming 1
flips 1
floor 2
fluid 1
folded 1
following 2
follows 1
for 28
force 5
forced 1
forensics 2
found 12
framed 1
frames 2
framing 1
francisco 12
free 1
friday 2
friend 2
from 11
fuel 1
gail 1
game 1
gas 1
gasoline 1
gear 2
get 6
gets 1
getting 1
give 1
giveaway 1
given 1
gives 1
giving 1
go 4
goes 2
good 1
goodbye 1
got 2
grabbing 1
grand 1
grocery 1
guards 1
guesses 2
guessses 1
guilty 3
guy 1
had 11
hadnt 1
handcuffs 1
hands 1
hangs 1
happened 3
happiness 1
has 30
have 22
having 3
he 84
head 5
heard 1
heavy 1
hed 1
help 2
helping 1
her 22
here 2
herself 2
hidden 1
hide 1
him 16
himself 3
hip 1
his 48
hit 3
hitandrun 2
holding 2
home 1
homicide 4
horror 1
hospital 2
hostility 1
hour 1
hours 1
house 11
household 1
how 6
howe 1
however 6
husband 1
hydraulic 2
ian 2
identical 3
identity 1
if 10
illegally 1
immersion 1
impossible 1
in 55
inch 3
incident 1
incidents 1
including 3
indigenous 1
inform 1
informs 3
injuries 2
innocent 1
inside 1
insists 2
intending 1
interesting 1
interrogation 1
into 4
inventory 1
investigated 1
investigating 1
investigation 3
investigators 1
is 49
isnt 2
issues 1
it 21
jaw 1
jaws 12
jealous 1
jeep 1
jersey 1
jewelry 1
job 4
joe 8
joseph 1
judging 2
julie 7
just 1
keep 1
key 2
keys 1
kill 2
killed 12
killer 13
killers 2
killings 1
kills 2
kind 1
kitchen 1
kits 1
knew 2
knocked 1
know 3
knows 3
laced 1
lamp 1
landscaping 1
lapd 1
last 5
later 3
latest 2
lead 1
leading 1
leaking 1
learn 1
learning 1
learns 4
least 4
leave 2
leaving 4
led 1
left 2
less 1
letting 1
lieutenant 3
life 9
like 6
likely 4
likes 1
lines 1
little 2
lived 3
loft 1
long 2
look 2
looked 1
looks 1
los 11
lost 2
lot 5
loving 1
lucerne 1
ludlow 49
lugged 1
lure 1
made 3
make 2
makes 2
making 1
mantooth 2
many 2
marks 1
marshak 1
mask 1
mass 2
matching 1
mauled 2
may 2
meal 1
meaning 1
medical 7
meet 5
meets 2
mention 1
mentions 13
messy 2
met 1
midsection 1
might 2
minutes 1
mission 1
mistakes 1
mo 1
mobilize 1
money 1
monk 78
more 9
morgue 2
morning 2
mos 1
most 1
motive 1
mouths 1
move 1
moved 2
murder 7
murderer 1
murderers 1
murders 1
must 2
mysteries 1
mystery 3
name 4
named 1
natalie 57
near 4
nearby 1
neatly 1
needs 1
neighborhood 2
never 6
new 2
news 1
next 6
nice 1
night 8
nightfall 1
nights 1
no 8
not 10
nothing 1
notices 4
nudists 1
number 3
nurse 1
observes 1
obvious 1
occupant 1
of 65
off 3
office 1
oil 1
old 4
on 24
one 16
only 5
open 3
or 3
order 1
ordered 1
ordering 1
other 5
out 24
outside 1
over 2
overnight 1
own 6
owned 1
owner 1
package 1
page 1
pages 1
painful 1
painter 1
parents 1
park 1
parking 1
part 2
pass 2
pattern 1
paula 1
pay 1
people 2
peoples 1
per 3
perfect 1
perfectly 1
period 1
permanent 1
person 6
personality 4
personally 1
phone 2
pizza 3
pizzeria 1
pleased 1
plot 1
plots 1
pm 1
pocket 1
point 2
points 10
police 4
porch 2
possibly 2
pounds 1
power 1
powered 1
precise 1
premeditated 2
prepares 1
presence 2
present 1
presents 1
prey 1
priest 2
prison 1
probably 2
procedure 1
professor 1
prolific 1
proof 1
property 1
protests 1
prove 2
publishing 1
pulls 1
put 1
question 3
questioning 2
quickly 6
quiet 1
quirk 3
quite 1
rags 1
random 2
randy 5
rather 3
reach 1
reading 2
real 1
realized 1
really 2
reason 1
reasons 1
receipt 5
recently 2
recognized 1
recognizes 1
recover 1
recuperates 1
refuses 1
regained 1
regret 1
relationship 1
release 1
reluctantly 1
remains 1
remarks 2
remarry 1
remembers 1
rent 1
repairs 1
replicate 1
report 1
reproduce 1
request 1
rescue 1
responsible 2
restaurant 1
return 2
reunite 1
reveals 4
rid 1
rig 1
right 2
ripped 1
robbery 2
ronald 14
rubble 1
ruining 1
ruled 1
run 1
sadly 1
said 2
salesman 1
saleswoman 1
salts 1
sam 1
same 6
san 12
satisfaction 1
save 1
saw 1
says 1
scene 9
seasalts 1
see 3
seem 1
seemingly 1
seems 2
sees 1
sending 1
served 1
set 2
several 5
sfpd 1
shadow 1
sharona 23
she 17
shed 1
ship 1
shipping 1
shoe 2
shop 1
shoplifting 1
should 1
shown 1
shows 4
sign 1
signed 4
signing 4
signs 1
similarities 1
sister 1
skinny 2
slices 1
small 1
smog 2
snuck 1
so 9
soccer 1
sold 1
solved 1
solves 2
some 8
someone 8
something 2
somewhat 2
somewhere 2
soon 1
sorrento 4
sort 1
sounds 2
speak 1
speaking 1
special 1
spend 1
spotted 1
spreader 2
square 5
staged 1
standard 1
started 2
starting 1
starts 1
staying 2
steal 2
still 2
stock 1
stolen 7
stop 1
store 7
stories 2
stottlemeyer 16
streaks 2
street 2
strike 1
stripping 1
struggle 2
students 1
stuffed 1
stunned 1
success 1
such 2
suddenly 1
suggest 2
suggesting 1
sundays 1
surgery 3
surprises 1
suspect 3
swiped 2
table 1
take 1
talk 1
tank 1
task 1
teaching 1
team 1
teeger 1
teeth 3
tells 4
than 5
that 121
the 211
theft 6
their 14
them 18
themselves 1
then 13
theorizes 1
theory 2
there 10
these 1
they 32
theyll 1
thief 1
thing 1
things 1
thinks 1
this 16
thorough 1
though 6
threw 1
through 2
throughout 1
thursday 1
tight 1
time 11
tipped 1
title 2
titles 5
to 114
today 1
together 1
too 3
took 2
top 1
towed 2
toyota 1
traces 1
trap 1
trapped 1
travel 2
trevor 11
tried 2
tries 1
trouble 1
truck 1
turns 2
two 5
unable 1
undergo 1
underwater 1
unfold 1
unfortunately 1
unhappy 1
unit 1
unless 1
unlikely 1
unloading 1
unsigned 1
until 4
unusual 1
up 10
used 1
usually 1
validation 1
valuable 1
van 2
very 6
victim 5
wait 1
waiting 2
waits 2
wallet 1
walnut 1
want 1
wanted 2
wants 2
warehouse 1
was 36
washed 1
washington 2
wasnt 2
watched 1
water 4
way 5
wearing 1
webster 47
wednesday 1
week 1
well 1
were 2
what 4
when 17
where 5
which 6
while 8
who 12
whod 2
why 2
wife 1
wild 1
will 2
with 33
without 2
woman 2
women 3
wonder 1
word 3
worked 1
working 2
works 2
worth 1
would 5
wounds 1
wrap 1
wrist 1
writers 1
writing 2
year 1
years 3
you 1
