2759840
/m/0812ng
/m/0812ng
Troy Denning
infiltrator 1
information 1
informed 1
injured 1
injuries 1
insect 4
insectlike 1
inside 1
instead 1
intent 1
interrogates 1
into 7
investigates 1
involved 1
is 21
it 16
jacen 5
jade 2
jae 1
jagged 1
jaina 3
jedi 13
join 1
journey 1
just 1
juun 1
jwlio 1
ka 5
kill 1
killed 1
killik 9
killiks 12
knight 1
knights 13
knocked 2
knocks 1
knowledge 2
knows 1
kr 3
land 1
later 2
leader 2
learn 1
leave 3
leia 10
lend 1
let 1
lie 1
lied 1
life 3
lightsaber 1
locking 1
lomi 2
longlost 1
look 1
looks 1
lost 1
lowbacca 2
luke 9
lurking 1
lying 1
main 1
makes 1
malfunction 1
malfunctions 1
many 1
mara 9
master 1
masters 2
matter 1
meanwhile 3
medical 1
meet 3
meeting 1
meewalh 1
memory 1
millennium 2
mind 4
mission 2
mittwekleoni 1
moon 2
more 2
mother 5
motivation 1
motives 1
much 1
myrkr 2
mysterious 6
name 1
nebula 2
nest 7
never 1
new 2
newly 1
nickname 1
no 3
noghri 2
none 1
now 2
of 47
off 1
offspring 1
on 14
once 2
one 2
oneonone 1
ones 1
onto 1
or 1
order 6
organa 1
ossus 7
other 5
out 7
over 2
part 3
passed 1
plan 1
planet 2
plant 1
plo 3
plot 2
pod 1
populate 1
posts 1
power 1
presences 1
previous 1
previously 1
prompts 1
psychologically 1
purpose 1
put 2
putting 1
qoribu 7
queen 2
quickly 1
r2d2 4
rar 1
rather 1
raynar 6
realizing 1
really 3
recording 2
refers 1
refugee 1
refuses 1
regardless 1
regions 2
relationship 1
relocate 1
remaining 1
rendezvous 1
repair 2
repaired 1
representative 1
respond 1
responsible 1
rest 2
result 1
return 2
revealed 1
reveals 2
rid 1
room 2
rude 1
rushes 1
saba 10
save 1
saw 2
says 1
scarred 1
sebatyne 2
seeks 1
seem 1
sense 1
separates 1
severely 1
shadow 2
shared 1
she 12
shield 1
ship 4
ships 1
short 2
side 1
site 3
six 1
skywalker 2
skywalkers 6
skywalkersolosebatyne 2
sleep 1
slicer 1
smoke 1
sneak 1
sneaked 1
so 1
solo 1
solos 4
some 1
something 1
somewhat 1
son 3
soon 1
space 1
species 1
star 2
stay 2
still 1
strange 3
strangely 2
strongest 1
subtly 1
such 1
suffering 1
suicide 1
surface 1
survive 2
survives 1
survivors 1
suspected 1
suspicion 1
suspicious 2
sustained 1
systems 1
take 3
taken 1
takes 3
talking 2
tarfang 1
tell 1
telling 1
tells 1
tenel 5
territory 1
tesar 1
tested 2
thanks 1
that 27
the 160
their 13
them 3
themselves 1
then 1
there 2
therefore 1
they 20
this 10
those 1
though 2
through 2
thul 1
time 2
title 1
to 60
too 1
took 2
tracking 1
traitor 1
travel 1
travels 1
trilogy 1
trouble 1
tswek 2
turns 2
unable 1
unaware 1
unbreakable 1
unconscious 2
undergoes 1
understand 1
unknown 2
unnamed 2
until 1
unuthul 9
up 7
used 1
vision 3
visited 2
visiting 1
vong 2
war 4
was 13
wasnt 2
watch 1
way 2
we 1
welk 9
well 1
went 1
were 2
what 5
when 6
where 4
which 5
while 2
who 11
whose 1
why 3
wife 2
will 3
wins 1
with 19
withstand 1
woman 2
world 1
wound 1
wounded 3
years 1
yoggoy 8
yuuzhan 2
zakarisz 1
zekk 2
