10994136
/m/02qxk27
/m/02qxk27
Louis Sachar
jason 2
jenny 6
jewls 21
joe 1
john 1
joy 5
kathy 3
keep 1
keyboard 1
kidswatter 1
knowing 1
knowledge 1
languages 1
last 2
leading 1
leaves 1
leslie 3
lesson 1
lightning 1
like 1
line 1
little 1
logic 1
logical 3
logics 1
losing 1
lot 1
loud 1
louis 1
lowering 1
mac 1
mainly 1
majority 1
make 1
manner 1
marathon 1
marked 2
marking 3
material 1
maurecia 3
may 2
meansounding 1
member 1
members 4
memory 1
miss 8
mode 1
monkey 1
more 5
mouse 1
moving 1
mr 1
mrs 21
multiplication 1
mush 1
myron 2
named 1
namely 1
narrative 1
needed 1
new 5
next 4
nine 1
nineteenth 2
no 2
noises 1
nominated 3
nomination 1
nominator 1
nonexistent 1
not 8
novel 1
now 1
occur 1
of 48
off 1
old 1
on 14
one 6
only 2
or 5
order 4
ordering 1
ordinary 1
other 2
others 2
out 2
ovens 1
paired 1
pairing 1
paper 1
papers 2
part 1
partially 1
particular 1
party 1
password 1
paul 2
performance 2
performed 1
pet 1
pieeating 1
plot 1
plus 1
point 1
pop 6
pounced 2
premise 1
premises 1
presence 2
press 1
print 1
problem 7
problems 13
proceeds 1
proposes 1
provided 1
purchased 1
pushed 1
question 1
questions 2
quiz 9
race 4
races 1
raising 1
random 1
range 1
rat 1
reader 8
readers 2
realizes 1
recalled 1
received 1
records 1
recover 1
reference 1
regarding 1
relative 1
relay 1
remainder 1
remaining 1
rendering 1
replacement 1
report 4
resigned 1
responsible 1
revolve 2
revolving 2
right 2
ron 2
rondi 3
runoff 3
sack 1
same 1
sammy 1
saw 1
school 2
scrambling 1
series 5
session 1
set 2
settle 1
seventh 1
several 1
sharie 3
she 1
shorter 1
should 1
show 2
shown 1
sideways 5
silly 2
similar 1
similarly 1
six 3
sleeping 1
software 1
solution 2
solve 1
some 4
somersault 1
specific 1
staff 1
stairs 1
statement 2
statements 2
stephen 5
still 1
stories 2
student 11
students 19
style 1
stylefloatleft 1
success 1
such 2
sue 4
taking 3
talk 1
taller 1
tasked 3
taught 1
teach 1
teacher 2
teachers 1
teaches 1
teaching 1
team 1
teams 5
terrence 2
test 2
tests 1
than 2
that 28
the 144
their 4
them 2
theme 1
then 2
there 1
these 1
they 1
this 4
those 1
three 4
throwaway 1
thursday 2
to 51
todd 6
together 1
toss 1
track 1
treating 1
true 1
truth 1
tuesday 1
twelfth 1
two 8
ultimately 1
unbeatable 2
undocumented 1
unique 1
unlike 1
unrecoverable 1
unusual 1
up 4
uses 2
using 5
variations 1
varied 1
verbal 1
very 2
vote 2
voted 1
votes 3
voting 1
wanted 1
was 7
watermelon 2
watermelons 1
wayside 8
weather 1
wednesday 1
week 1
well 7
were 8
what 1
whatever 1
when 2
where 9
whether 1
which 14
while 6
who 1
whole 1
will 1
win 1
windows 1
winner 2
winning 1
wins 1
with 3
without 3
worm 7
would 11
write 1
wrong 2
yard 1
zero 1
