12653
/m/03b1x
/m/03b1x
Frank Herbert
measures 2
meets 1
melange 3
merge 1
might 1
military 1
millennia 1
millenniaspanning 1
moments 1
moneo 4
moral 1
more 3
moves 1
nayla 3
never 2
new 2
no 1
nodes 1
nonexistent 1
noree 1
noroom 1
not 2
nothing 1
now 1
number 2
obey 1
obeys 1
occupants 1
of 65
offer 1
old 1
on 3
one 3
only 1
oppressive 1
or 2
oracles 1
orders 2
organs 1
original 1
other 1
otherwise 1
out 1
over 4
overthrow 1
overwhelms 1
owes 1
own 2
part 1
pass 1
passage 1
path 5
paths 1
peace 2
people 1
perceive 1
perception 1
perusing 1
phase 1
physical 1
place 2
plan 1
plots 1
powerful 1
prescience 3
prescient 3
preserving 1
previous 1
preworm 1
private 1
procession 1
produce 1
protect 1
purity 1
purpose 3
quickly 1
race 1
raid 1
realize 1
realizes 1
realizing 1
rebel 1
rebellious 1
rebels 1
rebuffed 1
reclusive 1
reduced 1
reign 2
remain 1
remains 2
remind 1
remnants 1
renders 1
replace 1
reporting 1
repression 1
resemble 1
rest 1
restless 1
result 1
resulted 1
revealed 2
revealing 1
reveals 1
ribbed 1
river 1
rocks 1
roguish 1
rule 1
ruled 1
same 1
sandtrout 3
sandworm 1
sandworms 3
scaly 1
scatter 1
secret 1
see 1
seeking 1
seemingly 1
self 1
send 2
sent 3
separated 1
series 3
servants 1
serve 3
served 1
service 1
shadow 1
share 1
she 6
shielded 1
shields 1
shown 1
significant 1
since 1
siona 13
sister 1
skin 1
slowly 1
small 2
some 2
spacing 1
speaker 1
speakers 1
spice 2
spilling 1
stagnation 2
state 1
steal 1
still 1
stolen 1
struggle 1
struggles 1
struggling 1
subjects 1
supports 1
surprise 1
surrounding 1
survival 2
survive 2
survives 1
swordmaster 1
sympathy 1
system 1
take 2
takes 1
task 1
test 2
than 2
that 20
the 80
their 4
them 3
these 2
they 3
things 3
this 4
though 2
thousands 1
through 3
throughout 3
thus 2
tight 1
time 4
tleilaxu 2
to 53
token 1
tortured 1
toward 1
trained 1
transformation 2
transformed 1
trap 1
triggered 1
tuono 1
twin 1
two 1
tyrannical 1
unable 1
unbeknownst 1
under 2
uneasy 1
unite 1
universe 1
unknown 1
until 1
upon 1
use 2
useful 1
usually 1
utterly 1
various 1
vast 1
version 1
very 1
view 2
village 1
virtually 1
visions 1
vulnerability 1
vulnerable 1
warns 1
was 1
watcher 1
water 2
weaken 1
weapon 1
wedding 1
what 1
whatever 1
whatsoever 1
when 1
where 1
which 1
while 2
who 3
whole 1
will 1
with 10
without 2
workings 1
worships 1
would 4
years 2
