105309
/m/0qdh6
/m/0qdh6
Petronius Arbiter
decay 1
decides 2
declamatory 1
defence 1
delights 1
departure 1
depiction 1
desired 1
despite 1
devotee 1
dildo 1
dining 1
dinner 3
disarmed 1
discovered 1
discovers 2
disdain 1
disguise 1
disguised 1
disgusted 1
dispute 1
does 2
driving 1
drowned 1
drunk 1
education 3
elderly 1
elevated 1
emblematic 1
employed 1
enchantress 1
encolpius 39
encounters 2
ends 3
enemy 1
engage 1
enormous 1
ensues 1
enter 1
entering 1
entertains 1
ephesus 1
escapades 1
escape 1
estate 1
eternity 1
eumolpus 19
everyday 1
evidently 1
examples 1
exchange 2
exchanging 1
excuse 1
exposing 1
extant 1
extravagance 1
extravagant 1
fails 1
fall 1
falling 1
falls 1
false 1
feelings 1
fight 1
fighting 1
figure 1
final 1
finally 2
find 1
fire 2
first 2
flask 1
flaunts 1
flee 1
flees 1
flirts 1
flogged 1
following 2
food 1
for 12
foretell 1
forgives 1
former 2
forth 1
fortunata 1
freedman 1
freedmen 1
friends 2
from 6
funeral 1
further 1
future 1
gallery 1
games 1
geese 1
get 2
girl 1
giton 15
gives 1
gladiator 1
go 1
good 1
goose 1
got 1
great 1
greek 1
grotesque 1
group 1
guarding 1
guest 1
guests 4
habinnas 2
halls 1
hand 1
hard 1
has 6
have 2
having 2
he 20
healing 1
health 1
help 1
her 9
herself 2
hides 1
him 10
himself 1
hired 1
his 24
historical 1
holds 2
home 1
horns 1
horrified 1
hospitable 1
host 1
how 2
however 1
husband 2
identified 1
identity 1
if 2
ill 1
illiterate 1
illustrates 2
impotence 2
in 31
incontinent 1
indicating 1
inferiority 1
inhabitants 1
inherit 1
inn 1
insightful 1
instructions 1
insula 1
into 4
invited 1
invites 1
involved 1
irritants 1
is 26
it 2
its 2
jewellery 1
join 1
joined 1
julius 1
keyhole 1
kills 1
kinds 1
kisses 1
later 1
lavatory 1
leads 1
learn 2
learning 1
leather 1
leave 1
lectures 1
left 1
legacyhunters 4
legacyhuntress 1
letters 1
lichas 2
life 1
lines 1
listens 1
literature 1
liver 1
locates 1
lodging 1
lodgings 2
looking 1
love 3
lover 3
lovers 1
lull 1
made 1
magical 1
maid 1
maids 1
maintain 1
make 1
makes 1
man 2
manager 1
market 1
masters 1
meets 2
menippean 1
millionaires 1
misfortunes 1
mistaking 1
mistress 1
mock 1
money 1
monument 1
mostly 1
much 2
municipal 1
naked 1
named 5
narrated 1
need 1
negotiation 1
neighbourhood 1
neighbours 1
next 3
nonetheless 1
not 3
notorious 1
novel 2
now 2
numerous 1
oenothea 5
of 48
offending 1
offer 1
offered 1
old 3
on 10
once 1
one 2
only 3
open 1
or 3
ordinary 1
organ 1
orgy 1
ostensibly 1
ostentatious 2
other 3
others 1
out 6
outside 1
over 2
overpower 1
overpowered 1
pacifies 1
painters 1
parents 1
part 1
passage 2
passes 1
patience 1
peace 1
penetration 1
pergamon 1
perhaps 1
petronius 1
philomela 1
picture 2
place 1
places 1
planned 1
poem 1
poet 2
poetry 1
pompey 1
porter 1
pose 1
prays 1
preliminaries 1
prepare 1
preserved 3
pretence 2
pretentiousness 1
prevailing 1
prevented 2
priapus 2
priestess 2
proceed 1
property 1
proposes 1
proselenos 2
prove 1
provide 2
pry 1
public 1
pursued 1
puteoli 1
quarrels 1
quartilla 3
railing 1
rankin 1
read 1
real 1
reconciled 1
referred 1
regarded 1
replacement 1
request 1
requires 1
resemble 1
residence 1
residents 1
resumed 1
resumes 1
return 1
returning 1
returns 2
reveal 2
reveals 4
revenge 1
rid 1
rivalry 1
roman 1
room 1
running 1
sacred 1
safely 1
satire 1
satyricon 1
saw 1
scene 1
school 1
scintilla 1
search 1
secretly 1
secrets 1
section 1
sections 1
seduced 1
seduces 1
seeks 1
separate 1
sequence 1
servant 1
served 1
sets 2
sever 1
sex 2
sexual 2
sexually 1
she 5
shifts 1
ship 2
shocked 1
shore 1
sibyl 1
sickly 1
signal 1
signs 1
situation 1
slave 2
slaves 2
sleeping 2
soldier 2
some 4
somehow 1
someone 1
son 1
sophist 2
sorceress 1
sound 1
space 1
speaks 1
spent 1
spy 1
standing 1
starve 1
stay 1
stolen 2
stonemason 1
stones 1
stories 1
storm 1
story 3
street 1
students 1
style 1
succession 1
such 1
sudden 1
sulking 1
supernatural 1
surviving 1
suspended 1
sword 1
system 1
take 1
takes 2
taking 1
talk 1
talking 1
tarentum 1
taste 1
teachers 1
tears 1
tells 2
temple 2
temporarily 1
tempted 1
text 1
that 14
the 94
their 9
them 5
theme 1
themselves 1
then 5
there 1
thereby 1
these 1
they 13
this 6
those 1
threatens 1
three 2
through 1
throughout 1
time 1
times 1
to 42
together 2
toilet 1
told 1
tomb 1
too 1
torture 1
town 1
travel 1
traveling 1
trimalchio 9
troy 1
try 1
tryphaena 1
tutor 1
two 4
under 1
up 2
use 1
uses 1
using 1
various 1
verses 1
vigiles 1
virgin 1
vulgarity 1
wakes 1
walking 1
want 1
war 1
warns 1
was 4
washed 1
wealth 4
wearied 1
weary 1
weather 1
were 1
werewolf 1
when 9
where 2
which 4
while 5
who 16
whom 1
whose 1
widow 1
wife 2
will 3
wine 1
witches 1
with 25
without 1
woman 1
women 2
work 1
wrecked 1
writers 1
youth 1
zodiac 1
