2528252
/m/07l47v
/m/07l47v
Timothy Findley
gas 2
gate 1
german 6
germans 2
get 1
gets 2
ghost 1
given 2
gives 1
goes 4
going 1
goods 1
guilty 2
gun 1
guns 3
had 9
half 1
hands 1
harris 3
has 10
haunted 1
have 2
having 1
he 46
head 1
heads 1
hears 1
hedgehogs 1
help 2
her 6
herd 2
hero 2
hides 1
hiding 1
him 22
himself 3
his 35
hit 1
hold 1
holding 1
home 3
hopelessly 1
horrible 1
horrified 1
horse 6
horses 17
hours 1
house 1
however 1
hundred 1
hurting 1
if 4
imitation 1
in 35
inch 1
injured 2
innocent 1
instead 1
institution 1
instructed 1
instructs 1
into 6
introduced 1
invitation 1
is 39
it 9
its 2
joins 1
juliet 9
jumping 1
just 4
kept 1
kill 4
killed 2
killing 1
knees 2
knocking 1
knows 1
lady 2
land 3
landing 2
large 1
laying 1
least 1
leather 6
leave 4
leaves 1
leaving 2
left 1
leg 1
legs 1
let 2
levitt 3
light 2
lit 1
location 1
locked 1
longterm 1
look 1
looking 1
looks 1
loses 2
lost 3
lot 1
love 3
loved 2
majority 1
make 1
makes 1
making 1
man 4
many 3
massanabie 1
matches 1
may 1
meaning 1
meets 1
member 1
men 8
mental 1
messed 1
met 1
middle 1
military 2
mind 1
mines 1
misses 1
missing 1
moment 2
more 1
mother 2
motion 1
moves 1
mr 2
muddy 1
must 1
named 2
nearby 1
nearly 1
neat 1
next 1
night 2
not 6
nothing 1
now 2
number 1
nurse 1
occurs 1
of 40
off 2
offer 1
on 15
once 1
one 3
only 2
open 2
opens 1
or 2
order 1
ordered 1
orders 2
other 3
our 1
out 12
over 5
overhead 1
own 1
pack 2
pain 1
painfully 1
pair 1
pants 1
people 1
pg 1
pick 1
picture 1
pillows 1
pistol 2
place 2
placed 1
play 2
playing 1
poole 1
prank 1
pretending 1
pretty 1
prior 1
prison 1
prologue 1
proper 1
prostitute 1
provide 1
pulls 2
puts 1
quick 1
rabbitkilling 1
rabbits 7
rained 1
raped 1
rarely 1
rather 1
raw 1
reaches 1
reaching 3
realizes 1
reasoning 1
receives 2
recently 1
reception 1
refused 1
refuses 1
relays 1
release 1
remind 1
request 2
respects 1
rest 3
return 1
returns 1
ride 1
rider 1
riding 1
rifle 5
right 1
robert 61
rodwell 4
roof 2
room 7
ross 7
rowena 4
rubbed 1
run 1
running 2
runs 3
safe 1
said 1
salient 1
save 1
saved 1
saves 1
saving 1
says 1
scared 1
scares 1
scheduled 1
screaming 1
screams 1
sea 1
second 1
seconds 1
section 1
see 5
seeing 1
seem 1
sees 6
sent 1
set 5
setting 1
sex 1
she 16
shelling 2
shells 2
shooting 1
shoots 3
shortly 1
shots 1
should 1
shown 1
shows 1
side 2
since 3
sinkhole 1
sister 2
slide 1
slips 1
slowly 1
small 1
smashes 1
smoking 1
sneak 1
sniper 1
so 3
soaked 1
soldier 4
soldiers 5
soldiersintraining 1
some 3
someone 1
something 1
soon 1
sorrel 2
sound 1
speak 1
squatting 1
ss 1
st 1
start 1
starts 2
stay 2
steloi 1
sticking 1
still 1
stones 1
stop 3
stopped 2
stops 1
storm 1
strategical 1
strategically 1
streaks 1
string 1
strong 1
struggles 1
struggling 1
stumps 1
such 1
suicide 1
sure 1
surrounding 1
table 1
taffler 9
take 1
takes 2
talk 1
tattered 1
teddy 1
tell 1
telling 1
tells 2
tests 1
than 1
that 14
the 118
their 2
them 6
themselves 1
then 6
there 5
these 1
they 4
thinks 3
thirty 1
this 7
thought 1
three 1
through 2
throwing 1
time 1
times 1
to 70
toads 1
together 1
told 2
track 1
train 4
training 1
traitor 1
transcripts 1
travelling 1
treason 1
treatment 1
trench 1
tried 1
tries 1
trying 2
turns 2
two 2
unable 1
understand 1
uniform 1
unknown 1
until 1
up 9
upon 1
urinate 2
very 1
via 1
violence 1
walk 1
walks 4
wall 1
walls 2
wanted 2
wanting 1
war 4
warfare 1
was 15
watched 2
water 1
way 3
we 1
webley 1
weeks 1
went 1
were 1
wet 1
what 3
wheelchair 2
when 9
where 4
whether 1
which 2
while 7
who 2
whole 1
will 2
window 1
winter 1
with 16
without 1
witnessed 1
won 1
world 1
worst 1
would 5
wrath 1
wrong 1
