29991
/m/07ctj
/m/07ctj
John Brunner
is 20
it 6
just 1
kate 10
kickbacks 1
kind 1
known 4
last 1
late 1
later 1
leader 1
least 1
leaves 1
left 1
lie 1
lifestyle 2
live 2
lives 1
local 2
location 1
locke 2
longer 1
lover 1
major 2
make 1
making 1
manufacture 1
many 1
massive 1
meet 2
meeting 1
military 2
modern 1
money 2
monitored 1
monstrous 1
months 1
moral 1
more 3
morris 1
most 2
move 1
name 1
nannies 1
nationwide 1
nearest 1
need 1
needed 1
network 7
new 4
nick 21
nines 1
no 3
nobody 1
not 3
novel 1
now 1
nuclear 1
number 2
of 38
off 1
official 1
officials 1
old 1
on 7
once 1
one 6
only 3
operations 1
optimistically 1
or 2
orders 1
other 1
others 2
out 2
outage 1
over 1
overload 2
overwhelmed 1
own 1
paid 2
panoply 1
particular 1
pastor 1
paul 2
penetrate 2
people 6
perceptive 1
performed 2
perpetual 1
persona 1
personal 1
personas 1
phage 1
phone 2
place 1
places 3
plain 1
plan 1
plane 1
playboy 1
plebiscite 1
point 1
policing 1
policy 1
popular 1
possessions 1
possibly 1
powerful 2
precipice 6
precipitating 1
prepared 1
prevents 1
prisoner 1
privileged 2
processing 1
produce 2
produces 2
product 1
program 4
projects 1
promise 1
propagates 1
public 1
pupil 1
questioning 1
raid 1
rant 1
rather 1
rationalizer 1
reaches 1
ready 1
realize 1
realizes 1
rebuild 1
recapture 1
recover 1
remorse 1
removed 1
representative 2
research 2
researchers 1
residents 1
responds 1
response 1
results 1
returns 1
reveals 1
revenge 1
rewrites 1
rich 1
risks 1
role 1
roles 1
roman 1
run 2
running 1
sandy 2
scramble 1
secrecy 1
secret 2
secrets 1
seek 1
seems 1
selfreplicating 1
sense 1
service 2
set 1
sets 1
settle 1
several 1
she 4
shortly 1
signs 1
simple 1
simply 1
since 1
single 1
six 1
skillet 1
smell 1
so 1
socialism 1
society 1
some 3
someone 1
space 1
spend 1
spending 1
star 1
steals 1
still 2
stolen 1
stop 1
strategy 1
strike 1
student 1
studies 1
study 1
suffering 1
suicide 1
supposed 1
sure 1
surveillance 1
sympathy 2
symptom 1
system 2
systems 1
take 1
takes 1
talk 1
tall 1
tame 1
tapeworm 1
tarnover 6
technology 1
telephone 1
ten 1
term 2
than 2
that 13
the 76
their 4
them 1
then 1
there 2
these 3
they 3
this 8
those 1
though 1
thousand 1
threaten 1
time 1
to 39
together 1
told 1
top 1
town 3
traffic 1
trails 1
tranquilizers 1
traveling 1
tribes 1
trying 1
turns 1
type 1
umkc 1
up 1
use 1
used 1
uses 2
using 2
utilitarian 1
utopian 1
valid 1
views 1
visits 1
warn 1
warned 1
was 4
weapons 1
weeks 1
were 1
what 1
when 4
where 2
which 4
while 3
who 6
whom 1
why 1
will 2
william 1
wish 1
with 9
without 3
worked 1
worm 7
worth 1
would 1
years 2
yet 1
