15514492
/m/03mcxn0
/m/03mcxn0
Flint Dille
trap 2
treasury 1
triggered 1
trip 1
troubled 1
true 1
truth 1
trying 1
turned 1
undecided 2
undisputed 1
unerringly 1
unimaginable 1
unknown 1
untraceable 1
unwitting 1
us 1
usa 1
use 1
using 3
valiantly 1
vanguard 1
virtually 1
vulnerable 1
walters 4
wanted 1
war 2
was 27
waters 1
watery 2
way 2
weapon 1
weimar 1
were 2
westron 1
what 1
when 2
where 1
whether 1
which 5
while 2
white 5
who 3
whole 1
with 11
world 8
worst 1
would 2
wrecked 1
written 1
years 2
york 1
