2279287
/m/070dsp
/m/070dsp
Roger Zelazny
survives 1
switches 1
synthetics 1
system 1
take 2
talk 1
talking 1
teacher 1
ted 4
teeth 1
telepath 1
telepathic 2
telepathically 2
television 1
tell 1
tells 2
tentacles 1
test 1
text 1
that 15
the 104
their 5
them 2
themselves 1
then 2
therapy 1
there 1
thereby 1
they 10
think 1
thinks 2
third 1
thirteen 1
this 2
those 1
threatens 2
three 1
through 6
throughout 1
time 3
times 2
to 62
together 1
torture 1
trade 1
transplants 1
travel 1
trying 1
turned 1
two 2
uncle 1
uncles 1
unique 1
uniquely 1
united 3
university 2
unknown 1
until 2
up 3
upward 1
us 2
use 1
useful 1
usually 1
various 1
versa 1
vice 1
vision 1
visit 1
visits 1
vital 1
voice 2
waking 1
wall 1
want 2
warns 1
was 4
way 3
weakening 1
well 1
wexroth 1
what 2
where 4
whereabouts 1
while 2
whillowhim 4
who 4
width25em 1
wife 1
will 3
window 1
with 15
without 2
wombat 1
work 2
world 2
worldrenowned 1
would 1
wound 1
years 1
york 1
you 4
younger 2
your 1
zeemeister 6
