2608809
/m/07rfsc
/m/07rfsc
Thomas More
live 1
located 1
locks 1
longer 2
longitude 1
made 2
main 1
mainland 3
mainly 1
make 1
makes 1
makeup 1
making 1
many 1
marry 1
masonry 1
mature 1
may 1
meals 1
men 3
mention 1
met 1
metalsmithing 1
middle 1
might 2
military 2
minimised 1
modern 1
monarchs 1
money 1
monotheists 1
month 1
months 1
moonworshipers 1
more 11
most 3
murder 1
must 4
nations 2
natives 2
need 1
new 1
no 6
nonexistent 1
not 7
now 1
numbers 1
obliged 1
observing 1
occasion 1
of 56
offence 1
officials 1
old 1
on 10
once 1
one 2
only 5
or 6
originally 1
other 6
others 1
out 3
over 1
overpopulation 1
own 1
ownership 1
parallel 1
part 3
parts 1
passport 2
peninsula 1
people 10
periodically 1
permissible 1
permitted 2
person 1
peter 1
philosophers 1
philosophically 1
phylarchus 1
picked 1
placed 2
places 1
plain 1
planetworshipers 1
plato 1
plausibility 1
poetry 1
point 1
points 1
political 1
popular 1
population 1
pots 1
poverty 1
practice 1
prayer 1
premarital 1
priests 4
primary 1
prince 3
principles 1
privacy 1
private 2
problems 1
protophylarchus 1
punish 1
punished 2
punishment 2
purpose 1
radical 1
raphael 10
rather 2
real 2
reason 1
recalled 1
recently 1
recite 1
redistributed 1
regarded 1
released 1
religions 1
religious 1
remove 1
removed 1
reported 1
representing 1
requesting 1
restricted 1
return 1
returned 1
reward 1
right 1
rob 1
role 1
rotated 1
royal 1
ruling 2
sake 1
same 5
saying 1
says 4
scholars 1
second 1
secret 1
seems 1
seen 2
sees 1
send 1
separate 1
set 1
several 2
sex 1
shameful 1
share 1
sheep 1
should 1
significant 1
simple 2
simplicity 1
since 1
sins 1
situations 1
six 2
slavery 2
slaves 3
so 1
society 1
some 1
someone 1
specimen 1
spends 1
spirit 1
start 2
starvation 1
state 3
stay 1
stays 1
steal 1
stored 1
subject 3
subsequent 2
such 1
suffers 1
suggests 1
sunworshipers 1
suspicion 1
syphogranti 2
syphograntus 1
systems 1
take 1
taken 1
talk 1
tasks 1
taught 1
taverns 1
teachings 1
tells 1
ten 2
tendency 1
than 2
that 11
the 92
theft 2
their 10
them 4
themselves 1
then 1
there 6
these 6
they 19
thieves 1
things 1
thirty 1
this 2
thomas 1
though 1
through 2
thus 1
time 3
to 48
together 1
tolerant 1
toleration 1
too 1
topic 1
town 1
towns 1
trades 2
tradition 1
trained 1
traniborus 1
travel 2
traveler 1
travels 2
tries 1
try 1
turn 1
two 2
types 1
tyranny 1
underpopulation 1
understand 1
unemployment 1
universal 1
unless 1
until 1
up 2
upset 1
use 1
using 1
utopia 12
utopian 4
utopians 2
utopos 1
v 1
vespucci 2
victory 1
view 3
views 1
voyages 2
war 3
warehouses 1
wars 1
was 3
wealth 2
wear 1
weaving 1
weighed 1
welfare 1
well 2
what 2
where 1
which 3
while 1
who 2
whom 3
wide 1
widespread 1
widowed 1
will 2
willingly 1
wish 1
with 10
within 1
without 1
witnesses 1
wives 2
women 6
work 7
working 1
world 1
worn 1
would 2
written 1
wrong 1
wronged 1
years 3
