16028070
/m/03ql89w
/m/03ql89w
Kaza Kingsley
hidden 1
hiding 2
him 30
himself 3
hind 2
his 57
hit 1
hits 1
holds 2
hole 1
home 4
hope 1
hoping 1
horde 1
house 1
how 4
however 1
hundred 1
hurt 1
hurting 1
hydra 2
hydras 2
hypnotized 1
if 8
impossible 2
impostors 1
in 35
including 1
info 1
information 1
ingredients 1
initially 1
inkle 1
instead 1
intelligence 1
interfering 1
into 10
is 51
it 18
its 3
jack 1
jam 1
just 5
keep 1
keepers 3
keeps 1
kept 2
kidnapped 2
kids 2
kill 4
killed 2
killing 1
kindred 1
king 9
kingdom 3
kissed 1
kisses 1
know 2
knowing 1
knowledge 2
lackey 1
laid 1
landsaorth 1
last 3
later 2
latest 1
laugh 1
law 1
lead 1
learn 1
learned 1
learns 3
leaving 2
let 1
letter 1
letters 1
lies 1
life 2
like 5
lives 1
look 1
looking 1
loophole 1
loses 2
lost 4
love 1
loved 1
luring 1
machine 1
madder 1
made 1
magic 8
magical 5
mail 1
make 1
makes 6
making 1
man 2
manages 3
manticore 2
many 1
massed 1
matter 2
matters 1
may 2
means 1
meanwhile 1
meets 1
memories 1
mention 1
metal 1
might 3
mine 1
minotaur 1
missing 2
mistake 1
mixed 1
mob 2
moments 1
monsters 3
more 5
morning 1
most 4
mother 11
moved 1
movie 1
mr 1
much 4
multiplies 1
multiply 1
must 8
mysterious 1
mystical 2
necessary 1
needs 1
nestful 1
new 1
next 5
nice 1
nightmare 1
no 2
none 1
not 21
now 3
obey 1
odd 1
odds 1
of 49
off 1
old 2
on 11
once 2
one 9
only 4
open 2
opens 1
or 2
ordeals 1
orders 1
oscar 2
other 5
otherness 3
out 14
outside 1
outsmarted 1
outstretched 1
over 3
own 2
owned 1
parents 1
past 2
path 1
peebles 1
people 1
perfect 1
perils 1
person 1
persuade 1
pillows 1
piter 3
places 1
plan 2
planning 2
play 1
pleading 1
plenty 1
pluto 4
power 2
president 1
pretty 1
prince 1
prisoner 2
pro 1
process 2
promptly 1
protected 1
protecting 1
pull 1
pulls 1
puppies 1
purposes 1
put 2
puts 1
putting 1
quest 4
quests 2
quite 2
rayson 1
read 2
ready 1
real 4
realization 1
realizes 1
realm 1
received 1
recent 1
release 1
removes 1
renewed 1
reprimanded 1
rescue 4
resist 1
resulting 1
retrieve 4
return 1
returned 2
returns 1
reveals 1
revenge 1
rex 6
rid 1
right 3
ring 1
roam 1
rock 1
room 1
rosco 1
royal 1
rule 2
rulers 1
running 1
safe 1
sammy 5
save 11
saves 3
says 1
screen 1
scroll 3
search 1
searching 2
secret 7
secrets 2
see 2
seeing 1
seems 3
seer 1
series 1
set 1
sets 1
shadow 2
she 12
shell 1
shock 1
shocking 1
shot 1
shots 1
shows 2
siblings 1
side 1
silencehe 1
since 4
single 1
sister 1
sleep 1
sleeps 1
small 1
smallest 1
smell 1
snail 2
sneak 1
so 10
some 1
somebody 1
someday 1
somehow 1
someone 1
something 5
son 1
soon 1
sort 1
soul 3
souls 1
speak 1
speaking 1
spell 3
spirit 1
spread 1
stacked 1
stain 3
stairs 1
stands 1
staring 1
start 1
starts 1
stays 1
steps 2
still 1
sting 1
stings 1
stop 1
strange 3
strategy 1
strikes 1
stuck 1
substance 4
such 1
suddenly 1
support 1
sure 1
survived 1
swamp 1
tackle 1
take 6
taken 1
takes 1
taking 1
talk 1
tartarus 3
task 4
tasks 2
tell 1
tells 3
terrible 3
than 1
thanatos 1
thanks 1
that 20
the 137
their 3
them 10
then 3
there 7
these 2
they 10
things 6
think 1
this 5
those 1
though 3
thought 2
thoughts 1
three 5
through 3
thrown 1
time 6
times 1
tina 2
tiny 1
to 102
together 1
told 1
too 2
top 1
torn 1
tremble 1
trevor 1
trial 2
trials 1
trick 1
trickier 1
tries 4
triplets 2
trouble 1
truly 1
trust 2
try 2
trying 1
tumble 1
turn 2
turned 1
turns 2
tutor 1
twelve 2
twin 1
twins 1
twists 1
two 2
twyth 2
ugry 4
under 3
understand 1
undertaking 1
undisclosed 1
unite 1
universe 1
unless 1
until 3
up 6
upon 1
upset 1
urge 1
using 6
usually 1
valkyries 1
vanishes 1
very 1
visit 1
vogum 1
waits 1
wakes 1
want 1
wants 1
was 6
washing 1
waste 1
way 6
well 6
what 5
when 5
where 5
wherever 1
whether 1
which 7
while 2
who 7
why 1
wild 1
will 13
win 1
wind 1
winners 1
wishes 1
with 21
without 1
won 1
wonders 1
wont 2
words 2
working 1
works 1
world 4
worlds 2
worry 1
worse 2
worst 2
would 2
writing 1
written 1
year 1
you 1
