7090867
/m/0h3ppd
/m/0h3ppd
Katherine Kurtz
increasing 1
independent 1
inflicted 1
influence 2
initially 1
inner 1
interrupted 1
into 2
invaders 2
invasion 2
involved 1
iomaire 1
is 17
it 3
itself 1
jaffray 1
january 1
joram 8
june 1
just 1
keep 1
kin 1
king 12
kingdom 3
knows 2
lashing 1
late 1
law 1
leaves 1
legitimate 1
legitimize 1
lived 1
lives 1
logical 1
lord 2
lover 1
macrorie 6
macrories 1
magic 1
makes 1
man 4
managed 1
march 1
mass 1
matter 1
meet 2
meets 1
memories 4
memory 1
michaelines 1
might 1
mind 1
miracle 2
miracles 1
misery 1
mistrust 1
momentary 1
month 1
more 6
morning 1
most 1
mourning 1
move 1
much 3
must 1
neighboring 1
new 3
newlyordained 1
next 2
night 3
nobody 1
nonetheless 1
not 1
novel 2
now 2
observed 1
of 46
off 1
offered 1
old 1
on 4
once 1
one 2
only 3
opposing 1
or 1
ordained 1
orders 1
other 1
out 3
outnumbered 1
over 2
overtures 1
paid 1
particular 1
peace 1
people 1
perform 1
performing 1
period 1
persona 1
pity 1
place 1
placed 1
placing 1
plain 1
plains 1
possession 1
potential 1
preparations 1
prepare 1
preparing 1
pretending 1
priest 2
priestly 2
princess 1
private 1
procedure 3
process 1
promises 1
provide 2
public 1
publicly 1
realized 1
realizes 2
realm 2
rebuffed 1
receives 1
refuge 1
relates 1
relatives 1
reluctantly 1
remain 1
remaining 1
remains 2
request 1
resentment 1
resists 1
resolve 1
responsible 1
rest 1
restoration 2
resulted 1
retake 1
retrieve 1
return 1
returned 1
returning 1
returns 2
reveal 1
revealed 1
reveals 1
revelation 1
rhys 3
risk 1
rites 1
rivers 1
role 3
room 2
royal 1
ruler 1
safety 1
saint 2
sanctity 1
scene 1
secret 2
secretly 1
seeing 1
seeks 1
seems 2
september 1
served 1
service 1
settles 1
shapes 1
she 3
sheds 1
shocked 1
shortly 3
shows 1
side 1
signs 1
silence 1
silent 1
since 1
sinned 1
sister 1
sitting 1
slain 2
slightly 1
slips 1
small 1
so 2
some 3
somehow 1
son 2
soninlaw 1
soon 3
soothe 1
sought 1
spans 1
speak 1
spends 1
squire 1
stand 1
starts 1
statue 1
status 1
still 1
stop 2
stunned 1
succeed 1
successor 1
such 1
supporters 1
supposed 2
surprise 1
sweep 1
switch 2
take 1
takes 1
taking 1
tale 1
temper 1
than 3
that 25
the 99
their 3
then 2
these 1
they 2
this 1
those 1
three 1
throne 4
through 1
throughout 1
thuryn 1
time 1
to 64
tomb 3
too 2
torenth 1
tortured 1
toward 2
true 1
trust 2
truth 3
two 2
ultimately 1
unable 2
unaware 1
unsuccessful 1
unwilling 2
up 1
upon 1
using 1
valoret 3
vehemently 1
venerate 1
very 2
vicar 1
victorious 1
visit 2
visits 1
vocation 1
vows 1
was 2
watch 1
weather 1
when 2
where 2
while 1
will 3
wins 1
wishes 1
with 9
withdrawn 1
without 1
witness 1
witnesses 1
world 1
year 2
years 1
