6530966
/m/0g93tx
/m/0g93tx
David Weber
increasingly 1
incubation 1
independent 1
indigenous 1
infected 1
infrastructure 1
inhabitants 1
inhabited 1
inheritance 1
initial 1
inserted 1
instigating 1
instructed 1
instructions 1
intending 1
into 4
introduction 1
intruders 1
investigating 1
is 9
issue 1
it 7
its 11
itself 1
jefferson 3
jettisoning 1
jiltanith 2
kickstarting 1
kill 2
killed 2
killing 1
kilometers 1
knowledge 2
known 1
lack 1
landing 1
language 2
large 2
largely 3
later 2
launch 1
law 1
lawrence 1
leadership 1
lieutenant 1
life 1
lifebearing 1
like 3
line 1
lines 1
little 1
lives 1
load 1
local 1
locals 1
long 5
loses 1
loyal 1
macintyre 1
macmahan 1
made 1
maiden 1
main 2
maintenance 1
malagor 2
man 1
managed 2
manning 1
many 1
march 1
massed 1
massive 1
master 2
matters 1
mattrans 1
meantime 1
meet 1
members 1
men 2
merely 1
message 1
messages 1
meteorology 1
middle 1
midshipman 1
midshipmen 1
military 2
mini 1
minions 2
minor 1
miracle 1
missed 1
moderately 1
modern 1
modernization 1
monopoly 1
moot 1
more 4
most 1
moves 1
murdered 1
must 1
narhan 1
narhani 5
near 1
nearest 1
need 1
never 1
new 1
newly 2
next 1
ninhursag 1
no 1
not 3
now 1
nowunarmed 1
nullified 1
odd 1
of 50
offering 1
offers 1
ointment 1
old 1
on 10
once 1
one 5
only 2
onslaught 1
onto 1
open 1
opens 1
operate 1
operational 1
oppression 1
or 3
orbital 2
order 1
orders 1
ortak 6
other 2
others 1
out 4
outgunned 1
outnumbered 1
outoftheway 1
overjoyed 1
overrides 1
own 1
pardal 9
pardalian 3
partway 1
peace 1
people 1
perform 1
period 1
permitted 1
personal 1
perversion 2
pg 1
piece 1
pikes 1
pincer 1
placed 1
plan 2
planet 3
planetoid 2
planted 1
populace 2
portion 2
position 2
possesses 1
potentially 1
preaching 1
preserved 1
priest 1
priestly 1
prince 1
princedom 1
priority 1
programmer 3
prolonged 1
proportion 2
prospered 1
protecting 1
provide 1
quarantine 5
quasicountry 1
quickly 1
quite 1
race 2
rammed 1
range 2
ranks 1
reactivated 1
reacts 1
rear 2
reason 2
rebellion 2
reborn 1
receives 1
recolonized 1
reconciles 1
records 1
recovered 1
recruits 1
reinforcements 1
relieve 1
religious 3
remain 1
reminiscent 1
renamed 1
repulsed 1
rescuing 1
rest 1
rested 1
restraint 1
retreat 1
retrieved 1
revolt 1
revolutionize 1
rifles 3
rings 1
ruins 1
sabotage 2
safe 1
sandy 4
satellite 1
scattered 1
scientific 1
sean 14
secretly 1
secular 1
security 1
see 1
seem 1
seems 1
seizing 1
semaphore 1
sending 1
sent 1
serve 1
shattered 1
she 1
short 1
shot 2
shut 1
shuts 1
shuttle 1
siege 3
sincerely 1
situation 1
slaughter 1
slowly 1
small 1
smoothbore 1
sneak 1
so 3
some 3
son 1
sorts 1
source 1
spaceborne 1
speak 1
spirit 1
states 1
statue 1
step 1
stomald 2
story 1
straight 1
strike 1
studied 1
stymied 1
succession 2
such 3
superior 1
supporting 1
suppression 1
surely 1
surety 1
surreptitiously 1
survive 1
surviving 1
swampsecured 1
swollen 1
sword 1
system 8
systems 1
take 1
takes 1
tamman 3
tap 1
task 2
technological 3
technology 2
templatecomputer 1
temple 4
terra 4
terrorists 1
than 1
that 9
the 132
their 12
them 4
themselves 1
then 1
theocracy 1
these 2
they 17
thinking 1
third 1
this 7
thought 2
thousand 1
throne 1
through 4
time 2
to 55
together 1
too 1
took 1
trap 1
truce 1
true 1
tsien 1
two 4
unbeknownst 1
uncharted 1
under 2
unfortunately 1
uniforms 1
unsuitable 1
up 3
use 1
valley 2
various 1
very 1
via 2
victory 1
village 1
violent 1
violently 1
volatile 1
voyage 1
walks 1
want 1
war 2
warfare 1
warnings 1
warship 1
was 5
way 5
weapons 1
well 1
wellfortified 1
wellstocked 1
went 1
were 7
when 3
where 1
which 4
while 2
who 1
whom 1
with 12
within 1
without 1
wore 1
worked 1
working 1
world 2
worlds 1
worrying 1
woundable 1
years 2
yortown 1
