1945819
/m/0681rq
/m/0681rq
Jacqueline Carey
into 4
intrigues 2
invade 1
invasion 1
involving 1
ire 1
is 48
isidore 9
island 1
it 13
italian 1
jareth 1
joccelin 1
joint 1
joscelin 30
journey 2
keeps 2
kept 1
kill 1
killed 2
killing 1
kills 4
king 1
kinsmen 1
kneel 1
knew 1
knifepoint 1
knighted 1
knights 2
know 4
knowing 2
knowledge 1
knows 4
kusheth 3
kushiel 1
la 2
language 2
larne 1
last 2
later 2
latin 1
laveauperrin 1
le 1
league 1
learn 1
learned 1
learning 3
learns 5
leave 3
leaves 1
leaving 1
left 1
lenvers 1
let 3
lets 1
letter 2
like 3
likely 1
liliane 1
line 1
lines 3
loathe 1
location 1
longest 1
look 1
looking 1
looks 1
lord 4
lords 2
loses 1
lost 1
love 3
luck 1
mab 2
machinations 1
made 1
maelcon 1
make 6
makes 1
man 1
manages 2
manner 1
march 1
marmion 1
marque 7
marquis 1
marquist 2
marrying 1
masque 1
master 7
matter 2
may 3
means 1
meet 1
meeting 1
meets 1
melisande 21
men 8
mendacant 1
mentally 1
mentioned 1
merchant 1
message 6
midst 1
midwinter 1
might 1
mind 1
mission 1
moiread 3
money 2
montrve 2
more 2
morhban 2
mornay 3
morning 5
most 3
mostly 1
mote 1
mother 2
much 2
murders 1
must 4
mystery 1
n 3
naamah 7
name 2
names 2
nations 1
nature 3
necthana 4
need 1
needs 1
never 2
newly 1
next 6
night 12
nightblooming 2
no 5
nobles 1
none 1
not 17
now 1
obedience 1
of 96
off 1
offers 1
officially 2
old 2
on 16
once 2
one 16
only 8
onto 1
open 1
or 3
order 3
other 1
others 1
out 7
outcast 1
outside 1
over 2
own 1
pain 1
palace 1
parades 1
part 1
party 2
pass 2
passage 3
password 1
patches 1
patron 1
patrongift 1
pay 1
pays 1
peers 1
people 2
persia 1
person 1
personal 1
persuades 3
phdre 89
phedre 4
physically 1
pierre 2
pin 1
place 1
places 1
plan 5
plans 2
playing 1
pleasure 1
pledge 1
pledged 1
poem 2
poet 1
point 1
political 2
pony 1
poverty 1
present 2
presenting 1
previous 1
price 2
pricks 1
proceed 1
prophetic 1
proposing 1
prostitute 1
protect 1
protected 1
prove 1
proves 1
provides 1
pupil 1
queen 2
questions 1
quickly 1
quincel 1
quintilius 5
raiding 1
rather 1
reach 5
realize 1
realizes 1
realizing 1
realm 1
recapture 1
receive 1
recites 1
reclaim 1
recognize 1
reconciled 1
red 1
refer 1
refugees 2
refuse 1
refuses 1
regain 1
reigning 1
relationship 1
reluctantly 1
remaining 1
remembering 1
reminds 1
render 1
requests 1
rescue 1
rest 1
rested 1
result 1
return 3
reunited 1
reveal 1
reveals 3
riddle 2
riders 1
right 1
ring 1
road 2
robert 1
rolande 1
room 1
rousse 10
routes 1
royal 1
rule 1
rush 1
sacrifice 1
safe 1
safely 1
safeword 1
said 2
sailor 1
same 2
sangoire 1
saw 2
saying 1
says 2
scholar 1
scholars 1
secret 4
secretly 2
secure 1
see 2
seeing 1
seek 1
seeks 1
seen 1
sees 4
seizing 1
selig 16
sells 1
sends 1
sense 1
sentenced 1
separated 1
serenissima 1
servant 3
servants 1
serve 1
served 1
service 4
set 1
seth 1
settling 1
seven 1
seventeen 1
several 3
severity 1
sex 1
sexually 1
shahrizai 6
share 1
she 47
shelter 2
ships 1
shore 1
should 1
shout 1
sigil 1
signale 1
silently 1
since 1
siovale 1
sister 1
situation 1
sixteen 1
skaldi 14
skaldia 4
skaldic 4
skills 1
skin 1
slavery 1
sleeps 2
slips 1
small 3
sneak 1
so 5
sold 3
soldier 1
solve 3
some 2
somehow 1
something 1
somewhat 3
son 1
songs 1
soon 2
sorrow 1
souverain 1
speak 2
spends 4
spendthrift 1
spies 2
spite 1
spoke 1
stand 1
steading 2
steps 1
stolen 1
stories 1
storm 1
story 1
straight 1
straits 7
stregazza 1
strikes 1
strong 1
stumble 1
submit 1
suggests 1
suicidal 1
support 2
supposed 1
sure 1
suriah 1
survive 1
survived 2
suspicion 1
swears 1
sword 1
symbol 2
taavi 1
take 4
taken 2
takes 2
talent 1
taught 1
teach 2
tell 2
tells 4
ten 1
terminus 1
terre 12
terrible 1
than 1
thanks 1
that 59
the 198
their 19
thelesis 4
them 21
themselves 2
then 4
there 1
these 2
they 27
thirteen 1
this 12
those 5
though 1
thousand 1
threat 1
throne 4
through 2
throw 1
thus 1
tielhard 1
time 5
title 1
to 135
toll 1
tongue 1
too 2
took 1
town 2
trained 1
traitor 1
traitorous 1
translating 1
transport 1
trap 1
travel 1
traveling 3
travels 1
treason 1
trefail 1
trek 1
trevalion 1
trevalions 1
tribute 1
tried 1
tries 1
troops 2
trouble 1
troyeslemont 1
truer 1
truly 1
trust 3
trusted 2
tsingani 4
two 2
unanimously 1
understand 1
understanding 1
understood 1
unfortunately 1
unknown 1
unsafe 1
unsuitable 1
until 2
unwillingness 1
up 7
upon 5
use 1
uses 4
usurper 1
valuable 1
verreuil 1
view 1
virginprice 1
visit 1
visitor 1
vows 1
wagon 1
waiting 2
waldemar 4
wall 2
walls 1
wanderings 1
wants 1
war 1
ward 1
warn 1
warrior 1
was 3
watched 2
watches 1
water 4
waves 1
way 4
weak 1
wedding 1
weeks 1
well 2
were 1
western 1
what 3
when 14
where 4
whether 1
which 7
while 3
who 13
wholly 1
whom 2
why 2
wife 1
will 18
wins 3
with 31
without 2
witnessing 1
women 2
won 1
word 1
work 4
working 2
would 5
wounded 2
wounds 2
written 2
yavin 1
years 1
yeshuite 3
yeshuites 1
yet 2
young 1
younger 1
ysandre 25
