4021422
/m/0bcyl7
/m/0bcyl7
Jacqueline Carey
resist 1
resistance 1
respect 2
respected 2
respects 1
responds 1
return 2
returned 1
returns 4
ribbon 1
ride 3
rides 1
right 2
risk 3
risking 1
roads 3
room 1
rose 1
rough 1
royal 4
rule 1
ruler 1
rumored 1
rumours 1
rus 1
rushes 1
sacred 1
sacrifice 1
sacrificed 1
sad 2
saddened 1
sadness 1
safe 1
safety 1
said 2
salt 1
same 3
sane 1
satisfied 1
saw 1
saying 1
says 10
scars 1
scene 1
scion 1
sea 1
search 2
second 1
secrecy 1
secret 2
secretive 1
secretly 1
see 8
seed 2
seeing 1
seeking 1
seem 2
seemingly 2
seems 3
sees 8
selfconsumed 1
send 1
sensing 1
sent 1
service 1
severely 1
shahrizai 3
shapeshifter 1
share 1
she 52
sheltered 1
shocked 3
shoes 1
shores 2
short 1
should 2
show 1
showing 2
shrine 1
side 2
sidonie 26
sight 1
sign 1
significantly 1
silence 2
sinks 1
sitting 1
skaldia 1
skaldic 1
sky 1
sleep 1
small 4
so 7
soil 3
solace 1
soldiers 2
some 4
someone 2
son 5
soon 1
soothe 1
sorrow 2
sorry 1
sort 1
south 1
spell 6
spends 1
spilling 1
spirit 1
spreading 1
spring 2
spy 1
stable 1
staged 1
stages 1
staging 1
standing 4
starts 1
starves 1
stay 5
stayed 1
stays 1
steal 1
still 17
stone 4
stones 5
stop 2
stops 1
story 1
straits 2
strong 2
strongly 1
stuck 1
stuns 1
stupid 1
successfully 1
succession 1
successor 1
such 2
suddenly 2
sufficient 1
summer 1
sunset 1
supplies 2
sure 2
swear 2
swears 2
sweet 1
swim 1
swiped 1
sword 1
table 2
taisgaidh 4
take 7
taken 2
takes 6
talorcan 6
tarkov 6
tartar 4
tartars 1
tattoos 1
tea 4
teen 1
tell 3
telling 3
tells 8
telltales 1
temple 3
ten 1
terre 7
terribly 1
than 2
that 44
the 217
their 21
theirs 1
them 13
themselves 1
then 13
there 12
thereby 1
therefore 1
these 5
they 27
things 2
think 1
thinks 1
this 23
those 3
though 12
thousand 1
throne 1
through 3
throws 1
thumbsdown 1
thus 2
ties 1
time 6
times 1
timing 1
to 151
together 5
too 2
tools 1
torched 1
torches 1
toward 1
town 1
traditional 1
trail 3
traitors 1
transported 1
travel 3
travels 2
treated 1
trek 2
trente 1
tribes 1
tries 2
trip 1
troismille 1
troops 4
truce 1
trudging 1
true 5
trust 2
trusted 2
try 3
trying 3
turmoil 1
turn 1
two 4
typical 1
ultimately 1
unborn 2
uncomfortable 1
unconscious 1
under 4
understands 1
unfortunate 1
unsuccessful 1
untamed 1
until 1
up 4
upon 5
urist 7
using 1
valerian 2
vambraces 2
vengeance 1
verify 1
verreuil 1
very 4
victims 1
vision 1
visions 3
visit 2
visits 1
voices 1
volition 1
vows 1
vral 1
vralgrad 2
vralia 3
waist 1
wait 1
waiting 2
waits 1
wakes 1
walks 2
wander 1
wandering 1
wane 1
want 1
wanted 1
wants 4
war 1
warm 1
warn 1
wars 1
was 12
watching 2
way 1
weakness 1
wear 2
weather 1
wed 6
wedding 6
weeps 1
welcomed 1
well 8
wellhidden 1
were 6
what 4
when 8
whenever 1
where 4
whether 2
which 2
while 13
who 9
whole 1
why 3
will 17
willing 4
winning 1
wishes 2
with 53
within 2
without 4
woken 1
woman 9
women 1
wonder 1
wonderful 1
wooded 1
woods 3
work 1
working 1
works 2
worth 1
would 13
wouldnt 1
wounded 1
wrapped 1
wraps 1
wrists 1
writes 1
written 1
ximon 1
year 3
years 2
yelling 1
yeshuite 1
yeshuites 1
yet 1
you 4
your 2
ysandre 3
