157837
/m/014sfd
/m/014sfd
Luo Guanzhong
hao 1
has 2
have 1
having 1
he 20
headed 1
heaven 1
heavily 1
help 3
hidden 1
highlights 1
him 9
himself 6
his 43
hold 1
home 1
hostage 1
however 3
huainan 1
huan 1
hubei 1
hui 1
huo 2
if 1
illness 3
imperial 7
impetuosity 1
in 59
including 2
incompetent 3
indiscriminate 1
induces 1
inept 1
influence 1
inherits 1
initial 1
innocents 1
inspires 1
intends 1
intention 1
interest 1
internal 1
into 7
is 29
issues 1
it 4
its 1
jealousy 1
ji 1
jian 3
jiang 3
jiangdong 4
jiangxia 1
jiao 1
jin 6
jing 11
join 3
joins 1
jue 1
junior 1
ke 1
keeps 1
kill 2
killed 2
king 4
kingdom 2
kingdoms 3
known 3
l 5
lady 1
land 6
lands 1
large 1
last 4
later 3
lead 2
leadership 3
leading 3
leads 8
leave 1
leaves 1
leaving 1
led 2
legacy 1
levels 1
liang 13
life 1
lin 1
ling 1
liu 46
long 2
longzhong 1
loses 3
loyalty 1
lu 2
luoyang 2
lure 2
magician 1
magistrate 1
maicheng 1
maiden 1
major 1
make 1
makes 1
making 1
manage 1
manages 2
many 3
marking 1
marry 1
maze 1
meantime 1
meanwhile 2
men 1
meng 7
merely 1
military 3
missing 1
mission 1
mistakes 1
moreover 1
most 1
moving 1
murder 1
name 1
named 1
nanman 2
near 1
nemesis 1
new 3
newly 1
newlywed 1
nine 1
noble 1
nobles 1
north 3
northern 1
not 4
novel 2
numbered 1
numerous 1
oath 2
occasions 1
of 91
off 1
offering 1
officially 2
officials 2
on 9
once 1
one 1
only 1
open 1
or 2
order 3
orders 2
other 2
others 1
out 2
outnumbered 1
over 7
own 1
pacifying 1
palace 3
part 2
participate 1
passes 1
peace 2
peach 1
penultimate 1
people 1
period 3
persecute 1
persecuted 1
persists 1
personally 2
persuade 1
persuades 1
pi 2
pinnacle 1
placed 2
places 2
plains 2
plan 1
planning 1
plans 2
pledge 1
plot 2
plots 1
plunging 1
point 1
poor 1
post 1
power 6
powers 1
preparation 1
presentday 1
pretender 1
pretext 1
previous 1
prince 4
probably 1
proceeds 2
proclaimed 1
proclaims 2
promising 1
proposed 1
protecting 1
proves 2
province 18
pursuing 1
qian 1
qiang 1
quan 19
quelling 1
rang 1
rash 1
reaches 1
realized 1
realizes 1
rebellion 3
recognised 1
recognized 1
recruits 1
red 1
refrains 1
refuge 1
refusals 1
refuses 2
refusing 1
regional 1
reign 2
reinforcements 1
relations 1
releases 1
remain 1
remains 1
ren 1
renames 1
renew 1
renounce 1
repeated 1
repeatedly 1
replaces 1
rescues 1
resist 1
respond 1
response 1
restore 2
restored 1
retaliation 1
retreat 2
retreating 2
retreats 2
return 2
reveals 1
revenge 1
rich 1
rise 2
rising 1
rivals 1
riverlands 1
romance 1
royal 2
rui 1
rule 1
ruler 5
rules 1
ruling 1
runan 1
ruxukou 1
safely 2
same 1
saviour 1
scare 1
scheme 1
scoring 1
seal 2
secondary 1
secret 1
secretly 1
secures 1
seek 1
seen 1
sees 1
seize 2
seizes 3
send 1
sends 3
sentinel 1
series 1
serve 2
service 1
seven 1
seventh 1
several 1
shan 2
shao 7
shi 1
shortly 2
shrinks 1
shu 18
sides 1
siege 1
significant 2
sima 10
since 1
sister 1
situation 1
size 1
skilled 1
slaughter 1
sleep 1
soldiers 1
some 1
son 4
sons 1
south 2
southern 2
southwards 1
sovereign 1
stability 1
stalemate 2
starting 1
starts 1
state 9
statue 1
stone 1
stories 2
story 1
strategic 1
strategies 1
strategist 1
strategy 2
strengthen 1
stress 2
strife 1
strong 2
struggle 1
stunned 1
su 1
subordinates 1
subsequently 1
subtly 1
succeeds 2
success 1
successor 1
such 3
suffer 1
suffering 1
summary 1
sun 35
suppressed 1
surrender 1
surrounded 1
swear 2
swears 1
sworn 2
tactical 1
take 4
takes 1
talents 1
tao 1
temporarily 1
temporary 1
terrifying 1
terror 1
that 2
the 159
their 4
them 2
then 2
there 1
they 3
this 1
those 1
threat 1
three 6
throne 3
through 1
thus 1
time 7
times 2
tiring 1
title 3
to 86
tokens 1
tragically 1
treacherous 1
tribes 1
tribute 1
tries 2
troops 8
trust 1
trusted 1
tuberculosis 1
tumor 1
turban 2
turncoat 1
turns 1
twice 1
tyrant 1
uncle 1
under 8
undermined 1
unhappy 1
unites 1
uniting 1
until 2
up 4
upcoming 1
urge 1
use 1
uses 1
usurp 2
usurps 2
vassal 1
vast 1
vastly 1
venerable 1
vengeance 1
victories 2
victory 4
violently 1
vying 1
war 4
warlord 1
warlords 3
weakening 1
weakens 1
wei 17
well 1
wellknown 1
wellversed 1
west 2
when 1
where 2
which 5
while 5
who 7
whom 1
widespread 1
will 4
win 1
with 18
without 3
worsens 1
would 1
wu 9
wuzhang 1
xian 3
xiaoting 1
xiaoyao 1
xiapi 1
xinye 4
xiu 1
xu 3
xuchang 1
xun 1
yan 2
year 2
years 2
yellow 2
yi 5
young 1
younger 1
yu 11
yuan 8
yunmeng 1
zan 2
zhang 8
zhao 4
zhi 1
zhong 1
zhou 7
zhuge 23
zhuo 7
