16575287
/m/03ych3d
/m/03ych3d
Richard Kelly
fields 1
film 2
films 1
final 2
finally 1
find 1
finds 3
first 5
fluid 10
for 29
forever 1
form 1
former 1
fortunio 21
forward 1
found 3
fourth 1
friend 3
friends 3
from 15
frost 2
frosts 1
futureat 1
futureman 1
game 2
gang 1
gee 1
gellar 1
general 1
generator 1
get 11
gets 3
getting 1
giant 1
gig 1
girl 2
give 1
given 2
gives 2
go 6
god 1
goes 5
going 4
got 2
government 1
great 2
grenade 1
ground 3
guard 1
guests 1
guide 1
guided 1
guinea 1
had 4
hand 1
happening 1
has 10
have 6
having 2
he 77
head 1
helicopter 1
help 1
her 24
here 1
hermosa 3
hes 1
hesitant 1
hide 1
him 40
himself 5
himselfbefore 1
hired 1
his 32
hit 1
holding 1
holiday 1
hollywood 1
home 2
honour 1
hospital 1
hotel 1
house 2
houseboat 2
how 1
hq 1
huge 1
hunt 2
huntington 1
husband 3
hypnotised 1
i 2
if 6
impersonate 1
in 46
incidents 1
indian 3
infiltrate 1
information 1
inga 2
inject 1
injected 1
injection 2
injections 2
injects 2
inside 6
inspecting 1
instead 1
instructs 1
intelligent 1
interested 1
interstate 1
inthe 1
into 9
introduced 1
introduces 1
investigate 1
involved 1
ipod 1
iraq 1
iraqi 1
is 70
isboxer 1
isnt 1
it 22
ive 1
january 1
jericho 4
jimmy 2
johnson 1
july 5
june 3
kane 4
karma 10
keep 2
keeps 1
kevin 1
kicks 2
kidnap 1
kidnapped 1
killers 1
killing 1
know 4
krysta 22
krystas 2
lake 1
lamp 1
lands 1
lapd 1
las 1
last 1
later 2
lawyer 1
leaders 1
leading 1
leads 1
learn 2
leaves 2
left 1
letter 1
light 3
lighthouse 1
like 2
likes 1
listen 1
literature 1
long 2
looking 1
lord 1
los 4
lose 1
loses 2
loss 1
lost 1
lots 1
lottery 1
lying 1
macarthur 1
made 1
madeline 3
make 2
makes 1
man 5
mandy 1
many 2
map 1
married 1
mayor 1
maze 3
mcbride 1
means 1
mechanical 1
meet 3
meeting 2
megazeppelin 1
member 1
memory 1
met 2
michelle 1
middle 3
mind 1
mirror 4
missing 1
mission 2
mistress 2
moments 1
money 1
monica 1
months 1
moore 1
more 1
morning 2
movement 1
movie 2
much 1
murmurs 1
naive 1
name 1
named 3
nativeamerica 1
natural 2
nearby 2
neck 1
need 2
needs 1
neomarxist 3
neomarxists 3
nephew 1
nervous 1
nevada 3
never 3
new 1
next 3
night 4
no 2
not 4
now 8
numerous 1
nutjob 1
occurred 1
of 55
off 6
on 26
once 3
one 5
onlinepoker 1
only 2
onto 1
or 3
oratorical 1
oteria 1
other 3
our 1
out 14
outside 2
over 2
overdose 1
owes 1
own 1
pacification 1
park 1
parlour 1
part 3
party 1
partying 1
passed 1
pay 1
people 2
performing 1
person 1
persons 1
phone 2
picked 1
pier 1
pig 1
pilot 4
pissed 1
places 1
plan 1
player 1
plays 2
plaza 2
pleonastical 1
poem 1
poetry 1
portal 1
possible 1
power 5
powered 2
pragmatic 2
preparation 1
pretend 2
prevaricator 1
prevaricatorstay 1
private 1
producer 1
program 2
propensity 1
prophecy 1
prototype 1
psychic 1
pulls 1
puts 1
quote 1
ranger 1
read 2
reading 2
reason 1
receives 1
recently 1
recognize 1
red 1
reelected 1
reign 1
remain 1
remember 3
remembers 1
remote 1
renegade 1
research 2
researching 1
restaurant 1
return 1
reuse 1
revelation 2
revolution 1
revolves 1
rick 5
ride 1
ridealong 1
rig 1
right 1
ring 1
road 2
roads 1
robert 1
roland 8
roller 3
ronald 18
room 3
ruin 1
runs 1
rupture 1
rushing 1
s 1
same 4
sand 1
sang 1
santa 1
santaros 6
santarosa 1
sarah 1
sasso 1
saw 3
say 1
saying 2
says 8
scanner 1
scavenger 2
scientists 1
scott 1
script 9
seann 1
see 3
seeing 1
seems 4
sees 2
selected 1
senator 2
sends 1
seniority 1
sent 2
serpentine 4
set 1
settle 1
several 6
shadows 3
shall 1
she 30
sheena 1
shining 1
shockedits 1
shoot 1
short 1
shoshanna 1
shot 2
should 1
show 2
shows 1
shrapnel 1
side 2
sign 1
signed 1
signs 1
simon 2
sing 1
singing 1
situated 1
situation 1
sleeping 1
smith 1
snake 1
so 6
soldier 1
soldiers 2
solely 1
some 3
someone 1
something 2
sometime 1
son 1
song 2
soon 1
sponsored 1
stage 5
stairs 1
standing 2
star 1
starring 1
started 1
state 1
stating 1
stay 1
still 3
stirs 1
stops 1
storm 1
story 1
stripping 1
substance 1
successfully 1
sudden 3
suffer 1
suffering 1
suggests 1
sun 1
sunlight 1
survival 1
suv 5
syria 1
syringe 4
syringes 1
system 1
t 1
tab 4
take 2
taken 2
takes 7
taking 3
talking 4
talks 1
tattoo 1
tattoos 1
taverner 7
tavernerformer 1
tawna 5
tawnas 1
teena 1
telepathy 1
telephone 1
tell 3
telling 1
tells 20
that 45
the 179
their 5
them 9
themand 1
then 7
theory 3
theoryall 1
there 5
these 2
they 33
thing 1
things 2
this 6
three 4
through 1
throws 1
thumb 4
thumbs 1
tied 2
tiedup 1
time 7
times 1
tipped 1
title 1
to 90
together 2
told 1
too 2
took 2
top 1
topsecret 1
towards 1
treer 4
tribe 1
troupe 1
turning 1
twin 1
twins 1
two 8
type 1
unconscious 1
uncovered 1
underneath 1
unequivocal 1
unit 1
unpleasant 1
until 1
up 12
upset 1
upu 1
urban 1
use 1
used 1
usident 3
using 1
utopia 1
van 1
vaughn 1
vegas 3
vehicle 2
venice 2
veracities 1
very 3
video 1
visa 2
visas 2
vision 2
visiona 1
visit 2
volunteered 2
volunteers 1
von 2
wakes 2
walking 2
wandering 1
wants 1
war 1
was 20
waves 1
way 1
waysthis 1
we 5
weekend 2
weeks 1
wellknown 1
were 4
westhouse 1
westphalen 2
what 4
whatever 2
when 3
where 11
whereabouts 1
whether 1
which 7
while 2
whimper 1
who 12
whoever 1
why 2
wildly 1
will 14
william 1
win 1
winner 1
with 25
wizard 1
woman 2
word 1
work 3
working 2
world 2
would 5
written 1
wrong 1
wrote 1
years 1
yet 1
you 4
your 2
zinneman 1
zora 9
