2761684
/m/0816fx
/m/0816fx
Mario Puzo
reserve 1
respect 1
respects 1
responsible 1
rest 1
retaliation 2
return 1
returned 1
right 1
road 1
robbing 1
robs 1
rose 1
safe 1
said 1
saint 1
salvatore 2
san 1
save 1
saying 1
scarce 1
seats 1
second 1
sends 1
september 2
sergeant 2
set 2
she 2
shoot 3
shooting 2
shot 1
sicilian 2
sicily 15
silvestro 4
sister 1
six 1
small 2
smuggling 1
snuck 1
so 2
socialist 1
socialists 2
sold 1
soldiers 1
solidified 1
some 2
son 1
soon 1
sought 1
spared 2
spoken 1
spy 1
stages 1
starved 1
stationed 1
statue 2
stature 1
status 1
stefan 2
still 1
stopped 2
storehouses 1
strict 1
strip 1
strongly 1
successful 1
suicidal 1
summoned 1
supporters 1
suppress 1
surely 1
surrounded 1
suspecting 1
suspicious 1
swears 1
swing 1
take 3
taken 3
task 1
teaches 1
terms 1
terranova 2
test 1
testament 4
than 1
that 19
the 116
their 7
them 7
then 3
there 1
these 3
they 15
this 7
though 3
through 2
throughout 2
time 1
to 67
told 3
too 2
tormented 1
toward 2
town 7
towns 2
traffic 1
trapani 1
travelled 1
treated 1
trezza 2
tries 1
truck 1
turi 23
two 3
ultimately 1
undying 1
university 1
unjustly 1
up 6
upcoming 1
use 2
usher 1
utmost 1
valuable 1
velardi 2
vendetta 1
very 3
via 1
victories 1
village 1
virgin 2
vito 1
vouches 1
was 32
way 4
were 3
west 1
western 1
when 2
where 4
while 2
who 13
whom 1
whose 1
will 1
with 13
women 1
word 2
would 6
wouldbe 1
