57344
/m/0frym
/m/0frym
Jane Austen
vacation 1
very 3
vicar 1
village 1
visit 3
want 1
warmed 1
was 1
wealthy 1
wedding 2
welcomed 1
wellmeaning 1
wellspoken 1
went 1
were 2
weston 7
what 2
whatever 1
when 8
whenever 1
where 1
while 2
who 12
whole 1
why 1
widowed 2
wife 3
will 3
wing 1
wishes 1
with 20
witty 1
woman 1
women 1
wonders 1
woodhouse 2
word 1
would 1
wrong 1
wrongdoing 1
year 2
yorkshire 1
young 3
