4206153
/m/0bpy44
/m/0bpy44
Leigh Brackett
tells 1
temporary 1
term 1
terra 1
terran 1
terrovenusian 1
than 1
that 23
the 124
their 4
them 10
then 4
there 10
they 19
thirst 2
this 2
though 2
threatens 1
three 3
throttles 2
through 3
throws 1
to 73
together 5
tracing 1
transfer 1
trap 2
treachery 2
tribe 1
tribes 1
tries 1
trusted 1
truth 1
two 4
unable 1
unconvinced 1
uncover 1
under 4
underground 1
uninhabited 1
uniting 1
unknown 2
unseat 1
unveils 1
up 2
upon 1
using 1
valkis 8
venus 2
versions 1
vice 1
villains 1
waiting 3
waits 1
wakes 1
wallinscription 1
want 1
wants 1
war 5
warning 1
warns 5
warrior 1
was 2
water 3
way 3
well 5
what 1
when 4
where 7
which 3
while 3
who 10
whom 1
wilderness 1
will 3
wind 1
window 1
winter 1
witch 1
with 18
without 1
word 2
wordforword 1
would 1
wounded 2
years 1
yet 1
young 1
