901778
/m/03n8bd
/m/03n8bd
Jo Nesbø
together 1
told 1
toll 1
tom 1
township 1
traitors 1
travels 1
trench 2
trenches 2
trial 1
tried 2
tries 1
trilogy 1
trouble 1
true 1
truth 1
try 1
two 2
unexplained 1
until 1
up 4
ups 1
uriah 1
us 2
very 2
vienna 1
vital 1
volunteers 1
waaler 3
waffen 1
wait 1
waiting 1
wanted 1
wants 1
war 4
was 5
watch 2
way 1
wearing 1
were 2
western 1
when 7
where 1
which 6
while 1
white 1
who 12
whom 4
whose 1
wife 1
will 1
willing 2
with 18
within 1
without 1
woman 1
work 2
would 5
wounded 2
wrong 1
wwii 1
yasser 1
year 1
years 1
young 2
