24694823
/m/0805pzk
/m/0805pzk
Andreï Makine
raped 1
rather 1
re 1
read 1
reading 1
reads 1
real 1
reality 2
realized 1
realizes 2
reason 1
received 1
receives 3
red 2
refuses 2
regime 1
rejected 1
rejection 1
relapses 1
relationship 1
relatives 2
relics 1
remind 1
reminder 1
reminds 1
request 1
resourceful 1
rest 2
restaurants 1
retelling 1
return 5
returning 1
returns 4
reunion 1
revealed 1
reveling 1
revolutions 1
river 1
romantic 2
room 2
roughly 2
routine 2
royalty 1
running 1
russia 10
russian 13
russians 1
rusting 1
sadly 1
saiga 2
same 1
saranza 15
saved 3
saw 1
saying 1
says 1
school 1
schooling 1
scorned 1
scorns 1
seamlessly 1
searches 2
second 1
secret 1
see 3
seem 1
seems 2
seen 2
sees 3
seizes 1
sensibility 1
sentence 1
september 2
sergei 1
settle 2
settles 1
several 4
shade 1
she 28
shelf 1
shoes 1
shoot 1
short 2
should 1
showcasing 1
siberia 2
siberian 4
sides 1
sights 1
since 2
sister 3
sit 1
situated 1
slept 1
slip 1
small 2
smells 1
so 2
soldiers 3
solitude 1
some 2
son 2
soon 5
sounds 1
soviet 1
speak 1
speaking 1
spend 1
split 1
spy 1
stalinist 2
start 1
starts 2
starvation 1
states 1
stepanovna 1
steppe 2
still 5
stories 4
story 4
strange 1
stream 1
streets 2
struck 1
study 1
studying 1
style 1
submits 1
sudden 1
suddenly 1
suicide 1
suitcase 4
summer 5
summers 1
sumra 2
superfluous 1
supposedly 1
surprise 1
survive 1
take 1
takes 2
talking 4
talks 1
taught 1
taunted 1
teased 1
teenagers 2
tell 1
telling 1
tells 4
temple 1
temporarily 2
temporary 1
ten 1
tests 1
text 1
than 3
that 43
the 194
their 5
them 4
theme 1
then 3
there 1
therefore 1
these 2
they 7
thing 1
things 2
thinks 2
thirtyfive 1
this 16
though 1
thoughts 2
three 1
through 7
throughout 1
thus 2
time 7
times 1
titled 1
to 90
together 1
told 1
tolerate 1
tomb 1
too 1
tough 1
town 10
tractor 1
traditional 1
train 2
translated 1
transporting 1
travel 1
traveled 1
travelers 1
traveling 1
travels 1
tried 1
tries 1
trip 1
truth 1
tsar 1
turned 1
turns 1
twenty 1
twentyfive 1
two 4
unacceptable 1
uncle 2
unclear 1
under 1
underneath 1
understand 3
understands 2
undisturbed 1
unimaginable 1
uninhabited 1
unknown 1
unnamed 1
unsold 1
unstable 1
until 3
up 2
use 1
used 2
uzbek 1
vain 1
val 1
very 4
view 1
vincent 1
violence 1
violent 1
volga 2
walk 2
walks 2
wander 1
wandered 1
wandering 1
wanted 1
war 3
warm 1
warning 1
wartime 1
was 14
way 2
weaponry 1
weeks 1
welcome 1
well 1
what 3
when 12
where 7
which 6
while 1
who 3
will 1
winter 1
with 19
within 1
without 2
woman 6
womans 1
women 1
wondering 1
word 1
words 3
working 1
works 1
world 2
wounded 1
wounds 1
write 1
writes 2
writing 1
written 2
wrote 2
year 6
years 8
yell 1
yet 3
young 5
youth 2
