34031264
/m/0hrb8mj
/m/0hrb8mj
Alicia Ostriker
fear 1
feel 3
feelings 1
feminist 1
fights 1
first 1
fly 2
folk 1
for 9
forever 1
forgotten 1
friend 1
from 6
fulfilling 1
furious 1
gabriel 3
gabriels 2
given 1
gives 1
giving 2
goes 1
going 1
group 1
grow 1
grows 1
guest 1
had 1
has 3
hate 1
having 1
he 3
heat 1
help 1
helping 1
her 33
herself 1
him 3
himself 1
his 7
hoisted 1
home 1
horseback 1
hospital 2
how 3
human 1
husbands 1
hymn 1
ideal 1
ideological 1
if 1
immediate 1
imperialism 1
in 36
inadvertently 1
inanimate 1
incredibly 1
indian 1
indicts 1
infant 1
infants 2
inherent 1
injected 1
innocence 1
intellectual 1
interrupted 1
intertwined 1
intimate 1
into 2
invasion 3
is 14
it 6
its 4
january 1
jealous 1
kent 2
kids 1
kill 1
kind 1
kisses 1
kurosawas 1
labor 1
lamb 1
largely 1
last 5
leaf 1
lecture 1
leech 1
left 1
lengthy 1
lessons 1
letter 1
life 6
like 3
listening 1
little 1
live 1
local 1
lockstep 1
longest 1
lost 1
love 3
m 1
macbeth 2
made 1
maintains 1
make 1
male 1
mamas 1
mark 1
marriage 1
marries 2
mary 2
masculine 1
material 1
may 1
maybe 2
medical 2
meditates 2
memory 1
messages 1
midwife 1
mold 1
more 2
most 3
mother 4
motherchild 1
motherhood 3
mothers 5
motif 1
mouth 1
murderous 1
muses 1
must 1
my 1
n 1
natural 1
nature 2
necessary 1
necessity 1
never 1
new 3
next 3
no 1
not 3
notably 1
notion 1
now 1
number 2
nursery 1
nursing 1
occurred 1
october 1
of 52
older 2
oliveskinned 1
on 11
once 2
one 8
ones 1
operation 1
optimism 1
ostriker 26
ostrikers 3
other 1
others 2
overtaking 1
own 1
pacifist 1
paragraphs 1
parallels 1
parent 1
parenting 1
parents 1
part 4
parts 1
patriarchal 1
penh 1
penultimate 1
percy 1
perfect 1
perfection 1
person 1
personally 1
perspective 3
pervade 1
phnom 1
piece 3
pieces 2
pile 1
play 1
playing 1
pleasure 1
poem 12
poems 5
poet 1
poetry 1
point 1
political 1
ponders 1
possible 1
postscript 2
potential 1
power 2
powers 1
pregnancy 1
prescribed 1
pressures 1
procedure 1
production 1
professionals 1
progressive 1
propaganda 2
prose 6
psychiatrist 1
purely 1
purpose 1
put 1
quote 2
radio 1
rage 1
raising 2
range 1
ranging 1
reached 1
reacted 1
read 1
reads 1
recalls 3
receive 1
recounting 1
recounts 3
references 1
refuse 1
refuses 1
related 1
relates 3
relationship 3
remain 1
remember 1
remembers 1
repeated 1
report 1
resentment 1
respect 1
reveals 1
revulsion 1
riding 1
role 2
samurai 2
savage 1
says 1
school 1
second 1
section 5
sections 4
sedative 1
seeing 1
sees 1
sense 1
series 2
seven 2
shakespeares 1
shame 1
shaped 1
she 16
shelleys 1
shocked 1
shooting 1
shootings 1
short 1
should 1
sibling 1
simple 1
simply 1
sky 1
slapped 1
snowy 1
so 1
social 1
societys 1
some 1
something 1
son 5
song 1
songs 1
southern 1
spaces 1
speaker 1
speaks 1
speed 1
spinal 1
stabbed 1
stages 2
stanza 1
state 2
states 1
streamofconsciousness 1
strength 2
students 1
such 1
suddenly 1
take 1
talk 1
tandem 1
tells 2
tension 1
that 16
the 105
their 3
then 3
there 3
these 2
they 1
things 2
thinking 1
thinks 2
third 2
thirtyseventh 1
this 5
thoroughly 1
those 1
three 4
through 1
throughout 1
time 2
titled 3
titular 1
to 51
together 1
total 1
towards 3
traditional 1
transcendent 1
transformation 1
tries 1
trying 3
turn 1
two 5
ultimate 1
unable 1
under 1
understanding 1
unhappy 1
united 1
universe 1
untitled 1
up 2
upon 3
us 1
using 1
very 1
victory 1
violence 1
visiting 1
vivid 1
waist 1
waking 1
want 1
war 2
was 5
waste 1
watching 1
wb 1
wears 2
well 2
were 1
what 3
when 3
where 1
which 6
while 2
white 1
who 4
why 1
will 2
william 1
windy 1
winter 1
wisconsin 1
wish 1
wishes 1
with 18
without 1
woman 4
women 1
womens 1
wondering 1
work 1
workings 1
works 1
would 1
written 1
yeats 1
you 2
young 1
